name,RA,DEC,Plate,MJD,FiberID
b'J122546.2+123930',186.44319,12.658157,1615,53166,388
b'J092343.0+225436',140.92928,22.91012,2290,53727,578
b'J141759.5+250817',214.49829,25.13811,2127,53859,85
b'J120114.5-034039',180.31066,-3.67754,331,52368,121
b'J162347.7+410436',245.94902,41.07686,1171,52753,76
b'J092512.2+521715',141.30124,52.28775,767,52252,418
b'J230443.5-084105',346.18154,-8.6848,725,52258,510
b'J094652.9+132000',146.72082,13.33347,2582,54139,125
b'J153551.9+575404',233.96659,57.90113,615,52347,108
b'J114116.2+215626',175.31755,21.94056,2504,54179,639
b'J165551.7+214559',253.96545,21.7666,1415,52885,144
b'J075938.7+505048',119.91145,50.8467,1869,53327,11
b'J145108.4+270932',222.78533,27.15897,2142,54208,637
b'J092603.4+124406',141.51431,12.73501,2578,54093,195
b'J161413.0+260411',243.55452,26.0699,1393,52824,35
b'J134952.7+020447',207.46984,2.07973,530,52026,165
b'J142746.9+050223',216.94577,5.03973,585,52027,368
b'J101303.2+355130',153.26348,35.85833,1951,53389,614
b'J121044.4+382010',182.68491,38.336248,2108,53473,120
b'J134737.2+301243',206.90502,30.21204,2094,53851,630
b'J084518.3+142029',131.32649,14.341448,2429,53799,236
b'J135553.2+383427',208.97174,38.57434,2014,53460,616
b'J124211.3+331703',190.5471,33.28426,2020,53431,51
b'J121754.5+583935',184.47747,58.65982,1315,52791,403
b'J012159.9-010222',20.4999,-1.03968,398,51789,10
b'J134917.3+220038',207.32215,22.01067,2783,54524,242
b'J130258.5+162417',195.74405,16.40486,2603,54479,259
b'J152754.8+060944',231.97855,6.16241,1819,54540,140
b'J021433.6-004601',33.64006,-0.76708,1073,52649,132
b'J093701.0+010547',144.25428,1.09666,476,52314,523
b'J103438.6+393833',158.66107,39.64255,1430,53002,485
b'J111751.7+291814',169.46574,29.30394,2213,53792,629
b'J152907.4+561604',232.2809,56.26787,2883,54525,524
b'J112109.9+535126',170.29146,53.8574,1012,52649,74
b'J132254.5+081001',200.72734,8.16721,1799,53556,369
b'J083810.9+245334',129.54563,24.89288,1930,53347,218
b'J083045.0+340523',127.68755,34.08991,1197,52668,52
b'J095955.5+130245',149.98165,13.04602,1744,53055,372
b'J120556.0+495954',181.48283,49.998221,969,52442,156
b'J105519.0+402737',163.82948,40.46052,1435,52996,158
b'J171601.3+311214',259.00558,31.20399,978,52441,524
b'J143736.1+301155',219.4008,30.198596,2138,53757,436
b'J102531.1+514039',156.38,51.67753,1008,52707,558
b'J075526.0+391112',118.8585,39.18682,544,52201,344
b'J145843.0+213615',224.67925,21.60425,2148,54526,56
b'J101645.9+421023',154.19153,42.17313,1218,52709,54
b'J153141.0+201931',232.92086,20.32548,2164,53886,457
b'J094203.7+234106',145.51581,23.68509,2296,53735,168
b'J142624.7+153630',216.60325,15.608327,2746,54232,633
b'J112813.0+102305',172.05425,10.38493,1223,52781,471
b'J122342.9+581456',185.92895,58.24914,1315,52791,568
b'J083658.3+442612',129.24314,44.43684,762,52232,498
b'J122324.3+024041',185.85147,2.67811,519,52283,487
b'J172239.7+305252',260.66571,30.88134,2974,54592,133
b'J123203.6+200930',188.01527,20.15847,2613,54481,342
b'J143452.2+483939',218.71776,48.66104,1047,52733,300
b'J114755.2+090236',176.98037,9.04337,1225,52760,9
b'J163338.4+371310',248.41016,37.21965,1173,52790,218
b'J153118.5+072720',232.82712,7.45569,1820,54208,373
b'J122604.4+250645',186.51859,25.11269,2658,54502,111
b'J104043.5+330056',160.18163,33.01568,2025,53431,292
b'J015950.5+002337',29.96053,0.39362,403,51871,550
b'J111907.0+413017',169.77952,41.50474,1439,53003,622
b'J132908.3+295018',202.28477,29.83859,1978,53473,325
b'J151921.8+590823',229.8409,59.13993,613,52345,99
b'J214054.9+002535',325.2291,0.4265,990,52465,427
b'J004719.5+144212',11.83131,14.7034,420,51871,314
b'J115205.3-033004',178.02233,-3.50121,330,52370,257
b'J100710.0+220311',151.79183,22.05323,2364,53737,458
b'J100855.3+373931',152.23051,37.65864,1426,52993,551
b'J220103.4-005303',330.26448,-0.88439,372,52173,91
b'J105006.8+113230',162.52871,11.54179,1601,53115,118
b'J123741.3+264230',189.42249,26.70841,2236,53729,213
b'J124145.6+320253',190.44015,32.04813,1975,53734,225
b'J114548.6+290646',176.45286,29.11293,2222,53799,194
b'J075245.8+261728',118.19107,26.29115,858,52316,104
b'J105755.8+191527',164.48264,19.25768,2485,54176,411
b'J162409.6+260420',246.04001,26.07242,1575,53493,640
b'J085828.2+342355',134.6178,34.39862,1211,52964,96
b'J152416.5+045118',231.06912,4.8550125,1834,54562,30
b'J104925.9+245132',162.35832,24.85899,2355,53792,105
b'J112536.6+542243',171.40262,54.37872,1014,52707,302
b'J123341.6+310104',188.42354,31.01779,2234,53823,566
b'J101717.9+291438',154.3249,29.24412,2348,53757,612
b'J131135.5+142432',197.89817,14.40915,1772,53089,77
b'J084206.6+075936',130.52787,7.9936,1298,52964,327
b'J083224.8+370737',128.10362,37.12716,827,52312,23
b'J134356.7+253844',205.98645,25.64556,2246,53767,66
b'J101912.1+635803',154.80053,63.96757,488,51914,161
b'J112209.4+011721',170.53933,1.28926,511,52636,126
b'J073623.6+392610',114.0987,39.43615,432,51884,246
b'J155625.4+090309',239.10602,9.05276,1726,53137,634
b'J134420.4+663719',206.085,66.62218,497,51989,466
b'J081651.3+180251',124.21397,18.04777,2271,53726,343
b'J130155.3+214342',195.48061,21.72844,2650,54505,265
b'J091955.1+552122',139.97996,55.35625,451,51908,133
b'J112357.2+382301',170.98857,38.38384,2037,53446,524
b'J120347.5+520747',180.94801,52.12988,883,52430,320
b'J143804.6+483325',219.51935,48.55714,1047,52733,247
b'J004236.9-104919',10.6541,-10.82215,655,52162,58
b'J111858.7+580325',169.74466,58.05716,951,52398,129
b'J140545.1+272522',211.43814,27.42283,2123,53793,436
b'J020615.7-001728',31.56573,-0.2913,404,51812,141
b'J230845.5-091121',347.18961,-9.18923,725,52258,632
b'J073308.6+455511',113.28622,45.91981,1866,53314,508
b'J124726.5+070524',191.86044,7.09014,1790,53876,154
b'J102946.5+401912',157.444,40.3201,1360,53033,206
b'J114342.4-014438',175.92673,-1.74407,328,52282,575
b'J074906.5+451039',117.2773,45.17759,8276,57067,795
b'J141950.4+194421',214.96015,19.73934,2773,54533,466
b'J084026.2+033315',130.10934,3.55436,564,52224,322
b'J154508.1+170939',236.28381,17.16101,2167,53889,139
b'J090723.0+171610',136.84611,17.26958,2437,53848,438
b'J123840.7+092851',189.66982,9.48102,1233,52734,178
b'J114429.9+365313',176.12459,36.88722,1997,53442,126
b'J140622.1+222346',211.59223,22.39616,2784,54529,10
b'J094528.8+093617',146.37037,9.6048539,1305,52757,179
b'J161846.4+253856',244.69345,25.64902,1574,53476,350
b'J155434.4+101409',238.64365,10.23611,2520,54584,72
b'J102403.0+062952',156.01278,6.49798,998,52750,192
b'J131823.5+334744',199.5981,33.79571,2093,53818,618
b'J150744.4+512709',226.93534,51.45274,1165,52703,231
b'J222537.4+225913',336.40605,22.98704,7586,57186,489
b'J094726.3+211932',146.85998,21.32581,2295,53734,201
b'J095439.0+403203',148.66287,40.534117,1216,52709,120
b'J002244.1-030310',5.68411,-3.05302,7902,57362,554
b'J110108.9+154420',165.28723,15.73895,2487,53852,220
b'J103134.2+284711',157.89264,28.7864,2354,53799,123
b'J133700.8+181024',204.25372,18.1735,2641,54230,10
b'J093509.0+481911',143.78756,48.31994,7298,56661,415
b'J094732.7+100528',146.88659,10.09111,1305,52757,548
b'J134426.3+441624',206.10992,44.27342,1345,52814,367
b'J105143.8+335936',162.93268,33.99347,2025,53431,637
b'J154003.4+355034',235.01449,35.84292,1401,53144,638
b'J082308.1+421532',125.78376,42.25899,761,54524,396
b'J112439.5+420149',171.16491,42.03043,1443,53055,358
b'J120333.4+022940',180.88952,2.49449,517,52024,360
b'J114434.6+070520',176.14453,7.08908,1621,53383,189
b'J122313.2+540905',185.80525,54.15165,8220,57432,650
b'J135625.2+251525',209.10513,25.25717,2119,53792,479
b'J161658.9+230740',244.24582,23.12786,1657,53520,144
b'J014645.5-004040',26.6897,-0.67779,401,51788,31
b'J131407.4+434642',198.53157,43.778389,1375,53084,177
b'J090421.2+170927',136.08871,17.157464,2435,53828,435
b'J095941.2+003513',149.92179,0.58697,268,51633,504
b'J083949.6+484701',129.95671,48.78385,550,51959,535
b'J130052.7+564100',195.21972,56.68335,1318,52781,161
b'J151023.1+005848',227.59643,0.98009,311,51665,443
b'J130947.0+081949',197.44618,8.3303,1795,54507,457
b'J134628.2+192306',206.61776,19.38515,2755,54507,376
b'J142924.4+451827',217.35168,45.30754,1287,52728,33
b'J154351.2+363139',235.963,36.527463,1416,52875,433
b'J120719.3+241205',181.83081,24.20158,2656,54484,131
b'J171226.9+355256',258.11232,35.88249,2972,54586,558
b'J090151.8+103019',135.46611,10.50553,1738,53051,419
b'J140259.8+172040',210.74954,17.34459,2757,54509,132
b'J113108.9+311409',172.78738,31.23585,1974,53430,174
b'J080059.2+184853',120.24675,18.81499,1923,53319,382
b'J101558.3+154702',153.9936,15.783935,2588,54174,542
b'J152217.3+164838',230.57244,16.8106,2781,54266,369
b'J131447.7+260627',198.69832,26.107356,2243,53794,140
b'J225332.6+004834',343.38601,0.80954,676,52178,453
b'J130802.9+035124',197.01237,3.85671,850,52338,245
b'J140106.7+104845',210.27825,10.81277,1703,53799,275
b'J155417.9+323852',238.57496,32.648,1404,52825,235
b'J154214.0+183446',235.55867,18.57954,2167,53889,484
b'J120013.0+100132',180.05432,10.02565,1227,52733,29
b'J160503.9+330537',241.26629,33.0937,1418,53142,53
b'J122011.8+020342',185.04931,2.06183,519,52283,280
b'J235156.2-010911',357.98455,-1.15322,386,51788,86
b'J093017.6+470725',142.57365,47.12378,7315,56685,958
b'J171304.4+352334',258.26874,35.39303,2972,54586,148
b'J135550.5+204546',208.96078,20.76288,2770,54510,433
b'J104439.4+384540',161.1642,38.76128,1432,53003,6
b'J113913.6+335552',174.80695,33.93129,2098,53460,582
b'J123156.0+353004',187.98348,35.50127,2010,53495,272
b'J162825.0+275551',247.10444,27.93099,1408,52822,565
b'J132552.3+113718',201.46823,11.62181,1699,53148,309
b'J151900.6+220015',229.75256,22.00441,2158,54209,88
b'J005708.8+144551',14.2868,14.76438,421,51821,307
b'J151750.8+050623',229.46199,5.10643,1834,54562,278
b'J164927.2+380918',252.36352,38.15526,632,52071,309
b'J144825.3+355951',222.10564,35.99768,1383,53116,476
b'J135152.1+212216',207.9674,21.37132,5869,56064,340
b'J115349.3+112828',178.4555,11.47471,1610,53144,249
b'J105800.6+202936',164.50267,20.49334,2488,54149,308
b'J123651.1+453907',189.21316,45.65213,1372,53062,412
b'J130020.9+613917',195.08743,61.65499,782,52320,59
b'J123020.2+662150',187.58445,66.36404,494,51915,124
b'J115535.0+125253',178.89601,12.88144,1610,53144,469
b'J161047.6+330329',242.69861,33.05815,1419,53144,552
b'J162013.1+400859',245.05467,40.14986,1171,52753,138
b'J094841.4+502927',147.17276,50.49107,902,52409,134
b'J112841.5+575017',172.17324,57.838027,1309,52762,443
b'J152139.2+033730',230.41382,3.6249964,592,52025,376
b'J074541.2+314246',116.42186,31.71284,755,52235,46
b'J131349.7+365357',198.45714,36.89927,2032,53815,220
b'J095457.5+093016',148.7397,9.50459,1306,52996,62
b'J121339.4+422743',183.41458,42.46208,1450,53120,167
b'J081517.7+460431',123.8238,46.07529,6391,56329,988
b'J022700.4-042028',36.75167,-4.34123,6369,56217,92
b'J092933.6+095617',142.39031,9.93806,1303,53050,378
b'J005118.1+135437',12.82576,13.91035,420,51871,248
b'J161301.7+371701',243.25711,37.2838,1056,52764,444
b'J090320.6+045758',135.83604,4.96616,1192,52649,183
b'J215101.5-083724',327.75644,-8.62346,644,52173,202
b'J115137.3+561341',177.90546,56.22815,1312,52781,121
b'J080327.6+084156',120.86518,8.6988631,2419,54139,83
b'J132820.2+240926',202.08447,24.15743,2664,54524,39
b'J163952.3+284854',249.96804,28.81503,2948,54553,605
b'J153146.8+062259',232.94536,6.38309,1819,54540,36
b'J130154.4+320546',195.47703,32.09638,2029,53819,398
b'J163116.3+095544',247.81802,9.9291,2532,54589,599
b'J095708.0+243319',149.28345,24.55553,2341,53738,30
b'J084622.2+031317',131.59288,3.22147,564,52224,508
b'J102836.6+630255',157.15281,63.04864,773,52376,353
b'J131305.1-021028',198.27157,-2.17469,340,51990,485
b'J170102.5+340409',255.26081,34.06927,972,52435,520
b'J222500.4+241831',336.25188,24.30886,7648,57329,176
b'J144202.5+433707',220.51053,43.61877,1289,52734,184
b'J121930.7+064336',184.87857,6.7265554,1625,53140,134
b'J102012.5+342838',155.0524,34.47735,1955,53442,545
b'J021359.5+004245',33.49816,0.71261,7830,57043,449
b'J114134.4+152653',175.3936,15.44826,1761,53376,342
b'J082913.2+500716',127.30505,50.12115,443,51873,514
b'J080243.9+310414',120.68295,31.07062,1061,52641,116
b'J104346.6+223005',160.94451,22.50141,2477,54058,156
b'J100438.5+151058',151.16082,15.18285,2586,54169,405
b'J123455.8+153357',188.73256,15.56599,1768,53442,547
b'J010002.6+155051',15.010938,15.847518,421,51821,405
b'J122623.7+372657',186.59889,37.44934,1992,53466,260
b'J004845.5+212714',12.18988,21.45398,7617,56949,48
b'J104120.4+314033',160.33503,31.67591,2019,53430,170
b'J004036.0+181638',10.15016,18.27731,7618,56898,519
b'J113737.3+103926',174.40583,10.65734,1224,52765,412
b'J084312.5+535719',130.80238,53.95538,7276,57061,470
b'J124931.6+523046',192.38194,52.5128,8222,57431,561
b'J101906.8+231854',154.77838,23.31505,2346,53734,45
b'J091715.2+280831',139.31372,28.141885,1937,53388,480
b'J164800.7+295701',252.00324,29.950345,1342,52793,548
b'J171013.2+334409',257.55524,33.7361,974,52427,4
b'J142942.7+474709',217.42816,47.7859,8434,57484,311
b'J123945.2+195432',189.93872,19.90893,2614,54481,350
b'J124126.1+115144',190.35225,11.865613,1694,53472,306
b'J091344.7+405626',138.43642,40.9408,8297,57416,138
b'J160806.7+424104',242.02818,42.68461,1170,52756,162
b'J153118.0+375522',232.82528,37.92304,1294,52753,389
b'J144034.4+242253',220.14358,24.38139,2140,53858,446
b'J132241.7-022527',200.67389,-2.42423,341,51690,425
b'J152135.3+242901',230.3974,24.48367,2160,53885,243
b'J130843.8+190433',197.18261,19.076,2617,54502,143
b'J145531.7+053323',223.88238,5.55661,1830,54560,156
b'J153033.4+263900',232.63948,26.65011,1848,54180,252
b'J093527.3+261721',143.8641,26.28923,2294,54524,577
b'J144254.1+191719',220.72562,19.28884,2776,54554,409
b'J134038.1+403638',205.15879,40.61074,8390,57485,44
b'J090952.7+564241',137.46998,56.71156,450,51908,575
b'J124238.8+152928',190.66174,15.49135,1769,53502,592
b'J135406.6+232542',208.52767,23.42842,2783,54524,517
b'J125720.0+442923',194.33338,44.48977,1373,53063,36
b'J161143.3+494648',242.9305,49.78017,622,52054,512
b'J143704.4+000655',219.2686,0.1154,306,51637,634
b'J143444.4+231741',218.68512,23.29478,2136,53494,160
b'J100508.6+341424',151.28623,34.24001,5793,56337,994
b'J154009.5+141122',235.03968,14.18952,2782,54592,12
b'J082942.0+415442',127.42529,41.91174,761,54524,71
b'J110607.1+253535',166.52995,25.59309,2212,53789,136
b'J142630.5+390347',216.62747,39.06324,1381,53089,447
b'J081738.3+242338',124.40988,24.39399,1585,52962,477
b'J103244.5+391331',158.18558,39.22539,1430,53002,158
b'J095048.3+392651',147.70153,39.44775,1277,52765,332
b'J170320.4+373731',255.83513,37.62539,4983,55836,260
b'J141012.9+081128',212.55393,8.19127,1810,53794,293
b'J132135.1-001306',200.39655,-0.21855,296,51984,158
b'J023923.1-000128',39.84652,-0.02472,706,52199,177
b'J134524.1-025925',206.35081,-2.99048,913,52433,213
b'J125227.2+563433',193.11369,56.57588,1317,52765,20
b'J083418.8+491448',128.57849,49.24669,7311,57038,389
b'J235554.9+143700',358.97902,14.6168,749,52226,117
b'J085439.7+174123',133.6658,17.6898,2281,53711,151
b'J105830.1+601602',164.62559,60.26726,774,52286,283
b'J100137.2+353422',150.40513,35.57293,1951,53389,349
b'J140827.9+240933',212.11625,24.15934,2124,53770,91
b'J101238.3+101722',153.15978,10.28948,1597,52999,227
b'J140135.8+041633',210.39947,4.27586,856,52339,10
b'J150914.0+175713',227.30861,17.95376,2792,54556,89
b'J000727.8+024102',1.86605,2.68393,7852,56987,959
b'J142725.3+194953',216.8557,19.83155,2774,54534,430
b'J100421.2+051315',151.08846,5.22097,995,52731,4
b'J150139.0+102516',225.41276,10.420963,1717,53883,331
b'J114509.3+304725',176.28887,30.79029,2222,53799,453
b'J160456.2+280937',241.23427,28.16029,1578,53496,211
b'J231517.7+182827',348.82409,18.4742,7611,56946,8
b'J103058.7+310304',157.74484,31.05134,1959,53440,66
b'J171448.2+332738',258.70096,33.46064,2973,54591,190
b'J155444.3+082205',238.68472,8.36814,1727,53859,568
b'J131703.4-021538',199.26434,-2.26066,4053,55591,38
b'J131451.5+421819',198.71474,42.30532,1460,53138,481
b'J162704.5+142132',246.76912,14.35914,2202,53566,592
b'J152532.1+174917',231.38407,17.82159,2794,54537,182
b'J134548.5+114451',206.45224,11.74776,1701,53142,200
b'J125520.0+014420',193.83359,1.73891,523,52026,215
b'J154744.1+205201',236.93398,20.86708,2168,53886,484
b'J165102.6+261759',252.76102,26.29991,1692,53473,398
b'J135119.7+033721',207.83224,3.62272,855,52375,205
b'J105151.0+213738',162.96256,21.62738,2484,54144,422
b'J131905.8+310855',199.77425,31.14876,2104,53852,178
b'J142146.1+073856',215.4424,7.64899,1811,53533,122
b'J104058.5+581703',160.24414,58.28428,948,52428,454
b'J154150.9+310036',235.46236,31.01024,1389,53135,611
b'J163233.9+203932',248.14166,20.65894,1659,53224,195
b'J134436.8+594718',206.15344,59.78835,786,52319,201
b'J101408.8+422358',153.5372,42.399358,1218,52709,149
b'J130052.3+192507',195.21807,19.41868,2615,54483,33
b'J145901.9+474310',224.75798,47.71957,1048,52736,66
b'J141908.4+075447',214.78441,7.913125,1811,53533,258
b'J155818.7+255116',239.57795,25.85453,1655,53523,151
b'J113106.8+115848',172.77862,11.98,1606,53055,116
b'J151108.5+045115',227.78562,4.85422,1832,54259,85
b'J131957.1+523533',199.9882,52.59269,1667,53430,537
b'J085632.2+504118',134.13451,50.68854,551,51993,492
b'J125142.0+240439',192.92516,24.07761,2661,54505,197
b'J114232.2+250339',175.63431,25.06084,2505,53856,563
b'J163331.7+245904',248.38218,24.98464,1572,53177,562
b'J105152.5-005112',162.96893,-0.85336,276,51909,251
b'J094838.4+403054',147.16029,40.51503,1216,52709,190
b'J122140.4+043036',185.4186499,4.51,2880,54509,318
b'J134233.8+191337',205.64093,19.22704,2642,54232,517
b'J074948.6+345443',117.45271,34.91214,542,51993,560
b'J121113.7+365740',182.80721,36.96124,8865,57426,620
b'J141403.1+352311',213.51262,35.386254,1643,53143,122
b'J125042.5-024930',192.6771,-2.82526,337,51997,221
b'J083118.1+450038',127.82543,45.01067,6394,56330,220
b'J005346.7+223211',13.4446,22.53655,7620,56904,603
b'J092758.3+220022',141.99326,22.00611,2293,53730,287
b'J081502.4+525304',123.76016,52.88447,7301,56746,564
b'J124611.6+410817',191.54869,41.13813,1456,53115,229
b'J154210.0+130757',235.54184,13.13258,2517,54567,133
b'J151104.6+112142',227.76943,11.36167,1718,53850,494
b'J080727.8+140526',121.86594,14.09057,2268,53682,492
b'J133153.3+111659',202.97244,11.28321,5435,55982,574
b'J084600.6+070442',131.50254,7.07842,1298,52964,155
b'J100255.4-002441',150.73116,-0.41162,269,51910,276
b'J003221.1+242359',8.08822,24.39973,7661,57286,991
b'J123251.2+324042',188.21355,32.67844,1971,53472,494
b'J230747.1+190111',346.9463,19.01983,7611,56946,654
b'J170238.4+245257',255.66051,24.882556,1693,53446,113
b'J134114.2-005311',205.30955,-0.88662,299,51671,133
b'J231954.6+250242',349.97781,25.04513,7703,57333,168
b'J165407.4+392538',253.53122,39.42749,632,52071,409
b'J101202.2+301307',153.0094,30.21868,1953,53358,81
b'J221542.4-003611',333.92695,-0.60316,374,51791,142
b'J150111.3+193502',225.29737,19.5839,2792,54556,394
b'J222246.2-081949',335.69284,-8.33044,720,52206,469
b'J151956.1+001628',229.98387,0.27446,312,51689,588
b'J130621.9+391718',196.59157,39.28851,2021,53475,27
b'J134210.8+564218',205.54534,56.70528,1322,52791,419
b'J122539.9+245835',186.41626,24.97643,2658,54502,154
b'J095932.6+504458',149.88609,50.74969,7282,56660,707
b'J121224.1+185922',183.1008,18.98967,2610,54476,281
b'J015530.2-085719',28.87592,-8.95538,7184,56629,734
b'J105416.5+351100',163.56915,35.18339,2090,53463,8
b'J122749.1+321458',186.95468,32.24955,2013,53818,635
b'J170535.1+334011',256.39642,33.66984,972,52435,40
b'J092740.3+050311',141.91814,5.05316,991,52707,36
b'J004830.7+290536',12.128128,29.093235,7674,57359,628
b'J151611.8+150433',229.04942,15.07603,2766,54242,72
b'J105826.5+223604',164.6108,22.60117,2486,53876,228
b'J090808.7+500911',137.03636,50.15316,766,52247,306
b'J120417.6+560307',181.07341,56.05196,1018,52672,452
b'J094334.3+533440',145.89321,53.57801,769,54530,298
b'J101043.7+004342',152.68234,0.72858,270,51909,537
b'J162348.2+402948',245.95119,40.49689,1171,52753,11
b'J132027.4+051113',200.11418,5.18715,851,52376,549
b'J091702.0-004409',139.25857,-0.736,3821,55535,174
b'J112255.3+160045',170.7305,16.01265,2494,54174,45
b'J100033.6+104725',150.14031,10.79051,1307,52999,494
b'J132509.1+061116',201.28735,6.187904,1799,53556,127
b'J142131.7+240846',215.38232,24.14613,2128,53800,38
b'J075850.4+093522',119.71033,9.5895,2419,54139,357
