Designation (J2000),Name,Type,Redshift,NH,SpectraName
0005+0203,Q0003+0146,Q,0.234,3.00,0005+0203oa
0006+2012,MRK 335,Sy1.2,0.026,3.70,0006+2012oa
0018+1629,QSO 0015+162,Q,0.553,4.00,0018+1629oa
0020+0226,Q0017+0209,Q,0.401,3.10,0020+0226oa
0020+2842,QSO 0020+287,Q,0.513,4.30,0020+2842oa
0029+1316,PG 0026+129,Q/Sy1,0.142,4.90,0029+1316oa
0029+1316,PG 0026+129,Q/Sy1,0.142,4.90,0029+1316ob
0039-5117,WPVS 007,NLS1,0.029,2.40,0039-5117oa
0044-2434,Q0042-248,Q,0.807,1.50,0044-2434oa
0044+1026,MC 0042+101,Q,0.583,5.20,0044+1026oa
0048+3157,MRK 348,Sy2,0.015,5.90,0048+3157oa
0053+1241,I ZW 1,NLS1,0.061,5.00,0053+1241oa
0103+0221,UM 301,Q,0.393,2.40,0103+0221oa
0104-2657,CT 336,Q,0.780,1.90,0104-2657oa
0109-1521,QSO 0107-156,Q,0.861,1.70,0109-1521oa
0110-0216,Q0107-0232,Q,0.728,8.00,0110-0216oa
0110-0219,Q0107-025A,Q,0.960,4.00,0110-0219oA
0110-0219,Q0107-025B,Q,0.960,4.00,0110-0219oB
0120+2133,PG 0117+213,Q,1.493,4.80,0120+2133oa
0120+2133,PG 0117+213,Q,1.493,4.80,0120+2133ob
0122-0421,PKS 0119-04,Q,1.925,4.20,0122-0421oa
0124+0343,NGC 520.48,Q,0.336,2.00,0124+0343oa
0139+0131,PHL 1093,Q,0.260,3.10,0139+0131oa
0143+0220,MRK 573,Sy2,0.017,2.60,0143+0220oa
0201-1132,3C 57,Q,0.669,1.80,0201-1132oa
0206-0017,MRK 1018,Sy1.5,0.042,2.50,0206-0017oa
0217+1104,PKS 0214+10,Sy1,0.408,6.40,0217+1104oa
0235-0402,PKS 0232-04,Q,1.450,2.20,0235-0402oa
0238+1636*,AO 0235+164,BLLac,0.940,7.60,0238+1636ob
0241-0815,NGC 1052,Sy2,0.005,2.90,0241-0815oa
0241-0815,NGC 1052,Sy2,0.005,2.90,0241-0815ob
0251+4315,S4 0248+43,Q,1.310,10.10,0251+4315oa
0256-3315,PKS 0254-33,Q,1.915,2.30,0256-3315oa
0256-3315,PKS 0254-33,Q,1.915,2.30,0256-3315ob
0304-2211,1E 0302-223,Q,1.400,1.80,0304-2211oa
0320-1926,0318-196,Q,0.104,2.80,0320-1926oa
0336+3218,NRAO 140,Q,1.258,14.20,0336+3218oa
0347+0105,IRAS 0345+0055,Q,0.031,8.80,0347+0105oa
0351-2744,PKS 0349-27,NLRG,0.066,0.90,0351-2744oa
0357-4812,PKS 0355-48,Q,1.005,1.10,0357-4812oa
0357-4812,PKS 0355-48,Q,1.005,1.10,0357-4812ob
0417-0553,PKS 0414-06,Q,0.775,4.30,0417-0553oa
0423-0120,PKS 0420-01,Q,0.915,9.40,0423-0120oa
0424+0204,PKS 0421+01,Q,2.044,10.50,0424+0204oa
0452-2953,IRAS 0450-2958,Q,0.286,1.30,0452-2953oa
0456+0400,PKS 0454+039,Q,1.345,6.60,0456+0400oa
0516-0008,AKN 120,Sy1,0.033,10.30,0516-0008oa
0519-4546,PKS 0518-45,Sy1,0.035,4.10,0519-4546oa
0552-0727,NGC 2110,LINER,0.008,18.60,0552-0727oa
0630+6905,HS 0624+6907,Q,0.370,6.30,0630+6905oa
0741+3111,OI 363,Q,0.635,4.90,0741+3111oa
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510oa
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510ob
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510oc
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510od
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510oe
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510of
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510og
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510oh
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510oi
0742+6510,MRK 78,Sy2,0.037,4.00,0742+6510oj
0743-6726,PKS 0743-67,Q,1.510,11.90,0743-6726oa
0804+0506,MRK 1210,Sy2,0.014,3.40,0804+0506oa
0813+4813,3C 196.0,Q,0.871,4.90,0813+4813oa
0830+2410,B2 0827+24,Q,0.939,3.00,0830+2410oa
0830+2410,B2 0827+24,Q,0.939,3.00,0830+2410ob
0838+2453,NGC 2622,Sy1.8,0.029,3.30,0838+2453oa
0851+1612,Q0848+163,Q,1.936,2.40,0851+1612oa
0853+5118,NGC 2681,Q,0.002,2.50,0853+5118oa
0909-0932,QSO 0909-095,Q,0.646,4.50,0909-0932oa
0948+4039,4C 40.24,Q,1.252,1.30,0948+4039oa
0950+3926,PG 0947+396,Sy1,0.206,1.90,0950+3926oa
0955+6903,NGC 3031,Sy1.8,0.000,4.30,0955+6903oa
0955+6903,NGC 3031,Sy1.8,0.000,4.30,0955+6903ob
0955+6903,NGC 3031,Sy1.8,0.000,4.30,0955+6903oc
1001+5553,0957+561A,Q,1.414,0.70,1001+5553oA
1001+5553,0957+561B,Q,1.414,0.70,1001+5553oB
1004+0513,PG 1001+054,Q,0.161,1.80,1004+0513oa
1004+2225,PKS 1001+22,Q,0.974,3.10,1004+2225oa
1017-2046,J03.13A,Q,2.545,6.00,1017-2046oA
1017-2046,J03.13B,Q,2.545,6.00,1017-2046oB
1019+2744,TON 34,Q,1.928,2.60,1019+2744oa
1028-0100,Q1026-0045-A,Q,1.437,4.80,1028-0100oA
1028-0100,Q1026-0045-B,Q,1.437,4.80,1028-0100oB
1030+3102,B2 1028+313,Q,0.178,0.50,1030+3102oa
1034+3938,ZW 212.025,Sy1,0.042,1.40,1034+3938oa
1041+0610,4C 06.41,Q,1.270,2.80,1041+0610oa
1048-2509,NGC 3393,Sy2,0.012,5.80,1048-2509oa
1052+6125,4C 61.20,Q,0.422,0.90,1052+6125oa
1058+1951,PKS 1055+20,Q,1.110,1.80,1058+1951oa
1101+1102,MRK 728,Sy1.9,0.036,2.10,1101+1102oa
1106+7234,NGC 3516,Sy1.5,0.009,2.90,1106+7234oa
1106+7234,NGC 3516,Sy1.5,0.009,2.90,1106+7234ob
1106+7234,NGC 3516,Sy1.5,0.009,2.90,1106+7234oc
1106+7234,NGC 3516,Sy1.5,0.009,2.90,1106+7234od
1106+7234,NGC 3516,Sy1.5,0.009,2.90,1106+7234oe
1117+4413,PG 1114+445,Q,0.144,1.90,1117+4413oa
1117+4413,PG 1114+445,Q,0.144,1.90,1117+4413ob
1118+0745,PG 1115+080A1,Q,1.718,3.50,1118+0745oA
1118+0745,PG 1115+080A2,Q,1.718,3.50,1118+0745oB
1118+4025,PG 1115+407,Sy1,0.154,1.70,1118+4025oa
1119+2119,PG 1116+215,Q,0.176,1.40,1119+2119oa
1121+1236,MC 1118+12,Q,0.685,2.30,1121+1236oa
1124+4201,Q1121+423,Q,0.234,2.30,1124+4201oa
1126+3515,MRK 423,Sy1.9,0.032,1.90,1126+3515oa
1127+2654,QSO 1127+269,Q,0.378,1.40,1127+2654oa
1130-1449,PKS 1127-14,Q,1.187,3.80,1130-1449oa
1135-0318,Q1132-0302,Q,0.237,3.50,1135-0318oa
1139+3154,NGC 3786,Sy1.8,0.009,2.20,1139+3154oa
1141+0148,Q1138+0204,Q,0.383,2.30,1141+0148oa
1147-0132,Q1144-0115,Q,0.382,2.30,1147-0132oa
1148+1047,1146+111B,Q,1.010,3.60,1148+1047oB
1148+1050,1146+111C,Q,1.010,3.60,1148+1050oC
1148+1046,1146+111E,Q,1.100,3.60,1148+1046oE
1148+1054,MC 1146+111,Q,0.863,3.60,1148+1054oa
1151+5437,PG 1148+549,Q,0.969,0.90,1151+5437oa
1151+3825,B2 1148+387,Q,1.303,2.10,1151+3825oa
1153+4931,LB 2136,Q,0.334,2.10,1153+4931oa
1159+2106,TEX 1156+213,Q,0.349,2.20,1159+2106oa
1159+2914,4C 29.45,Q,0.729,1.50,1159+2914oa
1204+2754,GQ COMAE,Sy1,0.165,1.70,1204+2754oa
1204+3110,UGC 7064,Sy1.9,0.025,1.60,1204+3110oa
1210+3924,NGC 4151,Q,0.003,2.10,1210+3924oa
1216+1748,Q1214+1804,Q,0.374,2.70,1216+1748oa
1217+6407,4C 64.15,Q,1.288,2.30,1217+6407oa
1219+0545,QSO1219+057,Q,0.114,1.60,1219+0545oa
1221+0430,1219+047,Q,0.094,1.60,1221+0430oa
1221+0430,1219+047,Q,0.094,1.60,1221+0430ob
1223+1545,1220+1601,Q,0.081,2.30,1223+1545oa
1223+1545,1220+1601,Q,0.081,2.30,1223+1545ob
1230+1223,NGC 4486,NLRG,0.004,2.50,1230+1223ob
1230+1223,NGC 4486,NLRG,0.004,2.50,1230+1223oc
1230+1223,NGC 4486,NLRG,0.004,2.50,1230+1223od
