PLATE,MJD,FIBRID,SDSS_NAME,RA,DEC,Z,SOURCE,Z_PIPE,ZWARNING,EXTINCTION,SN_MEDIAN_ALL
11277,58450,294,000001.01+080422.5,0.0042214009,8.0729291,0.85736370,PIPE,0.85736370,0,0.222911,8.8595667
11277,58450,300,000011.69+081141.5,0.048726156,8.1948871,1.9961933,PIPE,1.9961933,0,0.234368,0.89747000
11277,58450,313,000006.27+082207.7,0.026159385,8.3688296,1.7353573,PIPE,1.7353573,0,0.254866,5.2893353
11277,58450,699,000005.16+093043.7,0.021525303,9.5121389,1.2046643,PIPE,1.2046643,0,0.430838,4.8184934
11277,58450,705,000000.45+092308.2,0.0019139324,9.3856369,2.0241463,PIPE,2.0241463,0,0.372653,22.831877
11277,58450,708,000005.98+090535.5,0.024929652,9.0931947,1.2809576,PIPE,1.2809576,0,0.288202,3.0218577
11277,58450,712,000004.84+090343.2,0.020172119,9.0620121,1.5961623,PIPE,1.5961623,0,0.277494,4.3508940
11277,58450,720,000005.06+085707.6,0.021099501,8.9521321,1.5642813,PIPE,1.5642813,0,0.258032,8.4769554
11279,58449,74,000007.42+064350.6,0.030927953,6.7307315,1.0240411,PIPE,1.0240411,0,0.222751,4.6640434
11279,58449,956,000006.23+073117.1,0.025970531,7.5214188,1.3179637,PIPE,1.3179637,0,0.209777,1.6133460
11279,58449,978,000000.36+070350.8,0.0015353689,7.0641293,1.5742275,PIPE,1.5742275,0,0.243944,1.4206630
11546,58488,42,000005.77+095556.8,0.024065513,9.9324720,1.7996001,PIPE,1.7996001,0,0.417174,3.2291422
11546,58488,91,000010.98+102200.4,0.045754051,10.366789,1.7331870,PIPE,1.7331870,0,0.366186,4.2038808
11546,58488,928,000003.24+113119.1,0.013504737,11.521976,0.48185632,PIPE,0.48185632,0,0.353138,3.8654351
11546,58488,929,000004.14+110846.4,0.017254409,11.146239,1.2100192,PIPE,1.2100192,0,0.383906,1.6921706
11546,58488,936,000001.33+112029.8,0.0055687825,11.341612,0.53840399,PIPE,0.53840399,0,0.351359,2.1931632
4216,55477,292,000005.02-003829.0,0.020928563,-0.64139300,2.6620000,VI,2.6619270,0,0.169815,2.4037552
4216,55477,310,000000.47-002703.9,0.0019783071,-0.45108831,0.2500000,VI,0.24993773,0,0.174611,7.5692363
4216,55477,312,000001.93-001427.4,0.0080666906,-0.24097079,2.1630000,VI,2.1647518,0,0.144124,8.1520948
4296,55499,364,000003.17+011510.6,0.013228995,1.2529671,2.3540000,VI,2.3544679,0,0.115465,4.1189427
4296,55499,616,000009.27+020622.0,0.038657366,2.1061119,1.4320000,VI,1.4363830,0,0.113403,11.477651
4354,55810,344,000010.42-024739.9,0.043428373,-2.7944256,2.2510000,VI,2.2508025,0,0.153117,0.74721670
4354,55810,646,000001.37-011930.0,0.0057462091,-1.3250088,2.3280000,VI,2.3330493,0,0.186441,6.3162899
4354,55810,702,000011.16-014434.1,0.046512650,-1.7428198,2.1720000,VI,2.1728597,0,0.147635,3.2586219
4354,55810,709,000012.05-020014.1,0.050239802,-2.0039299,2.3420000,VI,2.3421187,0,0.162481,2.3026767
4415,55831,464,000000.97+044947.2,0.0040523895,4.8297806,1.6190000,VI,1.6176164,0,0.139207,6.5412421
4415,55831,554,000004.85+061803.7,0.020222682,6.3010453,2.3840000,VI,2.3836546,0,0.176154,0.86842263
