,wave,flux,error,model,cont,narrow,broad,fe,out
0,3000.325,6.689608,0.94201756,6.877299573103985,6.877298340299379,0.0,1.2328046e-06,0.0,0.0
1,3001.0151,7.6991277,2.4406672,6.875278589327978,6.875277212932803,0.0,1.3763952e-06,0.0,0.0
2,3001.707,3.3696706,3.0569472,6.873253679863622,6.873252143485828,0.0,1.5363778e-06,0.0,0.0
3,3002.3977,2.2656379,4.1145,6.871233420809775,6.871231707029809,0.0,1.71378e-06,0.0,0.0
4,3003.0881,9.199164,2.9509506,6.869214953298144,6.869213042644862,0.0,1.9106533e-06,0.0,0.0
5,3003.781,7.936359,1.5872649,6.867190432549649,6.867188302636749,0.0,2.129913e-06,0.0,0.0
6,3004.4717,7.705539,0.8908177,6.865173414460892,6.865171042109673,0.0,2.3723512e-06,0.0,0.0
7,3005.1646,6.1730533,0.7057949,6.863151067079278,6.863148425094258,0.0,2.641985e-06,0.0,0.0
8,3005.856,6.5992866,0.7064165,6.861134082987436,6.861131142838448,0.0,2.940149e-06,0.0,0.0
9,3006.549,7.743292,0.7245139,6.859113206189765,6.859109934978566,0.0,3.2712112e-06,0.0,0.0
10,3007.2407,6.815279,0.72044873,6.857097693484796,6.8570940565430405,0.0,3.6369418e-06,0.0,0.0
11,3007.9326,6.2472095,0.7433138,6.855082564666287,6.855078522943228,0.0,4.041723e-06,0.0,0.0
12,3008.626,6.6466417,0.7382452,6.853064271643869,6.853059781309365,0.0,4.4903345e-06,0.0,0.0
13,3009.3186,6.720024,0.725768,6.8510492156661815,6.851044229941737,0.0,4.9857244e-06,0.0,0.0
14,3010.0122,6.543951,0.72256076,6.849032429289375,6.849026895438394,0.0,5.533851e-06,0.0,0.0
15,3010.7046,6.911187,0.6963571,6.847020305230793,6.847014167154733,0.0,6.138076e-06,0.0,0.0
16,3011.3992,7.82768,0.7219445,6.845002917775476,6.844996110631913,0.0,6.8071436e-06,0.0,0.0
17,3012.0918,7.861435,0.7322558,6.84299232752918,6.842984784317003,0.0,7.543212e-06,0.0,0.0
18,3012.7847,6.753759,0.712446,6.840982157903464,6.8409738028476665,0.0,8.355056e-06,0.0,0.0
19,3013.4795,5.1084504,0.66655636,6.838967462647311,6.838958210305869,0.0,9.252341e-06,0.0,0.0
20,3014.1729,5.3360786,0.67792803,6.836958160805941,6.836947922082024,0.0,1.0238724e-05,0.0,0.0
21,3014.8677,6.223166,0.69198287,6.834945770278663,6.834934443202455,0.0,1.1327076e-05,0.0,0.0
22,3015.561,6.1058187,0.71290386,6.832938784823767,6.832926262593304,0.0,1.25222305e-05,0.0,0.0
23,3016.2563,6.8008394,0.71223867,6.830927321630684,6.83091348108856,0.0,1.3840542e-05,0.0,0.0
24,3016.9507,6.5479145,0.73973,6.828919868827028,6.828904580937773,0.0,1.528789e-05,0.0,0.0
25,3017.6448,6.9463587,0.7428293,6.826914317127031,6.826897439473779,0.0,1.6877653e-05,0.0,0.0
26,3018.3403,7.474306,0.7494121,6.824905744052656,6.824887116718954,0.0,1.8627334e-05,0.0,0.0
27,3019.0347,7.4036555,0.75658846,6.822901918961323,6.822881374298193,0.0,2.0544663e-05,0.0,0.0
28,3019.731,6.9032106,0.72547996,6.820893699063582,6.820871044778379,0.0,2.2654285e-05,0.0,0.0
29,3020.4258,6.648174,0.7039781,6.81889095986063,6.81886599685223,0.0,2.4963008e-05,0.0,0.0
30,3021.122,6.0322824,0.69370025,6.816885274434474,6.816857775551119,0.0,2.7498883e-05,0.0,0.0
31,3021.8174,6.5062423,0.732182,6.814883695888059,6.81485342263841,0.0,3.027325e-05,0.0,0.0
32,3022.5125,6.391721,0.72234094,6.8128841330510825,6.812850823225998,0.0,3.3309825e-05,0.0,0.0
33,3023.2095,6.3410664,0.73403805,6.810880292258201,6.8108436497316625,0.0,3.6642527e-05,0.0,0.0
34,3023.9048,7.304818,0.71919733,6.8088827266817225,6.808842447486049,0.0,4.0279196e-05,0.0,0.0
35,3024.602,7.3059707,0.75075674,6.806880942613502,6.806836676207609,0.0,4.4266406e-05,0.0,0.0
36,3025.298,7.9258113,0.76695085,6.804884082707898,6.804835466672697,0.0,4.8616035e-05,0.0,0.0
37,3025.9956,6.927167,0.738726,6.802884474298207,6.802831097382022,0.0,5.3376916e-05,0.0,0.0
38,3026.6914,5.547179,0.6973493,6.80089124867022,6.800832687328645,0.0,5.856134e-05,0.0,0.0
39,3027.3882,5.8771534,0.7680929,6.798896746633382,6.798832520904234,0.0,6.422573e-05,0.0,0.0
40,3028.0862,7.2034326,0.74086297,6.796900315489661,6.796829901449423,0.0,7.041404e-05,0.0,0.0
41,3028.7827,6.024498,0.70044565,6.794909677952574,6.7948325326983925,0.0,7.7145254e-05,0.0,0.0
42,3029.481,6.0372987,0.6897001,6.792915809586283,6.792831313184742,0.0,8.44964e-05,0.0,0.0
43,3030.1782,7.0942345,0.69324136,6.790926430834055,6.790833940767165,0.0,9.249007e-05,0.0,0.0
44,3030.877,6.7205772,0.7446628,6.788934630563392,6.78883342215305,0.0,0.00010120841,0.0,0.0
45,3031.574,6.293517,0.6922666,6.786949511641195,6.786838842914348,0.0,0.00011066873,0.0,0.0
46,3032.2717,7.191748,0.7274513,6.7849641778785665,6.784843213795386,0.0,0.00012096408,0.0,0.0
47,3032.9707,6.3535204,0.71441936,6.782977313315663,6.782845141878519,0.0,0.00013217144,0.0,0.0
48,3033.6685,6.5278926,0.7140389,6.780995927736398,6.780851605319071,0.0,0.00014432242,0.0,0.0
49,3034.368,6.995522,0.7107223,6.779011779358426,6.778854234081392,0.0,0.00015754528,0.0,0.0
50,3035.0662,7.223743,0.7423725,6.777033261392472,6.776861394426061,0.0,0.00017186697,0.0,0.0
51,3035.7659,6.921727,0.71581256,6.7750528518588915,6.774865421342657,0.0,0.00018743052,0.0,0.0
52,3036.4644,6.0228105,0.7048128,6.773078245185456,6.772873975338438,0.0,0.00020426985,0.0,0.0
53,3037.1628,5.403444,0.6813396,6.77110608298084,6.770883572555466,0.0,0.00022251043,0.0,0.0
54,3037.8635,7.383404,0.7323741,6.769130278585367,6.768887955814721,0.0,0.00024232277,0.0,0.0
55,3038.5623,7.018656,0.77347034,6.767162649443188,6.766898945601705,0.0,0.00026370384,0.0,0.0
56,3039.2627,7.193085,0.758916,6.765193002204152,6.764906115997557,0.0,0.0002868862,0.0,0.0
57,3039.9617,7.0573606,0.73805714,6.763230391062981,6.76291849666247,0.0,0.0003118944,0.0,0.0
58,3040.663,5.5394773,0.7379042,6.761263991622462,6.760924981095803,0.0,0.00033901053,0.0,0.0
59,3041.3623,7.431944,0.7325832,6.759306954958149,6.758938752765673,0.0,0.0003682022,0.0,0.0
60,3042.0623,7.0835304,0.73281884,6.757351226361776,6.756951485425076,0.0,0.00039974094,0.0,0.0
61,3042.7634,6.29287,0.70261496,6.755395620223924,6.7549617963443485,0.0,0.00043382388,0.0,0.0
62,3043.4636,6.5594306,0.72538537,6.753446442181767,6.75297592038015,0.0,0.0004705218,0.0,0.0
63,3044.1655,6.96566,0.7333214,6.751496408565166,6.750986241700324,0.0,0.00051016686,0.0,0.0
64,3044.8662,6.480805,0.7013753,6.74955386042398,6.749001065353291,0.0,0.00055279507,0.0,0.0
65,3045.568,6.322828,0.70053995,6.747612238829604,6.747013473560217,0.0,0.00059876527,0.0,0.0
66,3046.2688,6.4660826,0.7063945,6.745678520038499,6.745030378898381,0.0,0.00064814114,0.0,0.0
67,3046.9697,7.167003,0.729939,6.743748885635545,6.743047632565981,0.0,0.00070125307,0.0,0.0
68,3047.6724,6.5473003,0.7269295,6.741819573104103,6.74106109445328,0.0,0.00075847865,0.0,0.0
69,3048.3733,6.1056294,0.69914657,6.739900229669749,6.739080427269093,0.0,0.0008198024,0.0,0.0
70,3049.0764,7.0640283,0.73515505,6.737980443803519,6.7370945931118165,0.0,0.0008858507,0.0,0.0
71,3049.7776,6.187295,0.723109,6.736071842672556,6.735115313677835,0.0,0.000956529,0.0,0.0
72,3050.4812,7.2474093,0.74511325,6.734162782511215,6.733130184310961,0.0,0.0010325982,0.0,0.0
73,3051.1829,6.400375,0.7292737,6.732265518644465,6.731151603759838,0.0,0.0011139149,0.0,0.0
74,3051.8848,6.086812,0.7353239,6.730374429050687,6.729173371476906,0.0,0.0012010576,0.0,0.0
75,3052.5884,6.757536,0.7898631,6.728485959226203,6.727191362523412,0.0,0.0012945967,0.0,0.0
76,3053.2908,6.5475082,0.7625426,6.726608361294726,6.725213829837973,0.0,0.0013945315,0.0,0.0
77,3053.9949,5.945789,0.7472649,6.724734211811541,6.723232525406151,0.0,0.0015016864,0.0,0.0
78,3054.6973,7.111206,0.74750316,6.722873030304476,6.721257066428229,0.0,0.0016159639,0.0,0.0
79,3055.4016,6.277952,0.7503055,6.721015559218348,6.719277153082647,0.0,0.0017384061,0.0,0.0
80,3056.1047,6.366043,0.72653437,6.719170645806247,6.7173017078267945,0.0,0.001868938,0.0,0.0
81,3056.8096,7.195311,0.7524969,6.717331098465009,6.715322499934344,0.0,0.0020085985,0.0,0.0
82,3057.5125,6.666308,0.7586966,6.7155069785305965,6.713349811464708,0.0,0.002157167,0.0,0.0
83,3058.2158,6.5000052,0.74278855,6.71369244828101,6.7113767864110665,0.0,0.0023156619,0.0,0.0
84,3058.9211,6.2757726,0.78982365,6.711884340888084,6.709399320336254,0.0,0.0024850206,0.0,0.0
85,3059.625,6.73779,0.8064466,6.71009201097706,6.70742699627237,0.0,0.0026650147,0.0,0.0
86,3060.3303,7.111951,0.8410526,6.708308606866278,6.705451603970952,0.0,0.002857003,0.0,0.0
87,3061.0344,6.8880353,0.8442887,6.70654155401655,6.7034806645862055,0.0,0.0030608894,0.0,0.0
88,3061.7402,6.413803,0.8373004,6.704784173412289,6.701505977554287,0.0,0.0032781959,0.0,0.0
89,3062.4446,6.27619,0.8528431,6.703045061757156,6.699536422235259,0.0,0.0035086395,0.0,0.0
90,3063.1492,6.16904,0.8540882,6.701320669141609,6.697567216346982,0.0,0.0037534528,0.0,0.0
91,3063.8557,6.992778,0.82983154,6.699607627038674,6.695593587626533,0.0,0.0040140394,0.0,0.0
92,3064.5605,7.252704,0.8335584,6.697915594126562,6.6936257654200295,0.0,0.0042898287,0.0,0.0
93,3065.267,6.338777,0.77579874,6.696237158114104,6.691654206337421,0.0,0.004582952,0.0,0.0
94,3065.9722,5.6607065,0.7526328,6.694580696405744,6.689687766482955,0.0,0.00489293,0.0,0.0
95,3066.6797,6.9780245,0.7908193,6.692937924129675,6.687715552815954,0.0,0.0052223713,0.0,0.0
96,3067.385,7.7589507,0.7932997,6.69132050802109,6.685750495410685,0.0,0.0055700126,0.0,0.0
97,3068.0906,6.5447702,0.7750762,6.689723676565754,6.683785787347424,0.0,0.005937889,0.0,0.0
98,3068.798,6.2283278,0.78418195,6.688144600964373,6.6818166738517935,0.0,0.006327927,0.0,0.0
99,3069.5044,7.1495757,0.77511364,6.68659137572481,6.679851988901782,0.0,0.006739387,0.0,0.0
100,3070.212,7.0443077,0.7600134,6.685059630803456,6.677884940549424,0.0,0.0071746903,0.0,0.0
101,3070.9182,5.70621,0.70098287,6.683555679917663,6.6759223156239385,0.0,0.0076333643,0.0,0.0
102,3071.6265,7.4442506,0.76453286,6.682073865537398,6.6739552956864765,0.0,0.00811857,0.0,0.0
103,3072.3333,6.3289227,0.751425,6.680622454551308,6.671993373711853,0.0,0.008629081,0.0,0.0
104,3073.0398,5.9512286,0.72907454,6.679199949691902,6.670033156725476,0.0,0.009166793,0.0,0.0
105,3073.7485,6.6889973,0.73889416,6.6778026954045275,6.6680678748300055,0.0,0.009734821,0.0,0.0
106,3074.4556,6.446914,0.762288,6.676439592144708,6.6661083600439826,0.0,0.010331232,0.0,0.0
107,3075.1646,7.533318,0.7764606,6.6751047892312885,6.664144462701249,0.0,0.0109603265,0.0,0.0
108,3075.872,7.5091023,0.7782099,6.673805969431883,6.662185650914794,0.0,0.0116203185,0.0,0.0
109,3076.5813,6.9302044,0.7627984,6.672538568176952,6.660223137498525,0.0,0.012315431,0.0,0.0
