Wavelength (Ang),Flux
1153.92,-4.56209e-15
1155.65,1.34559e-15
1157.38,-1.15305e-15
1159.11,-1.03472e-15
1160.84,-9.38884e-16
1162.57,-4.34733e-15
1164.29,8.14726e-16
1166.02,7.54061e-16
1167.75,3.46534e-15
1169.48,3.23151e-15
1171.21,6.10696e-16
1172.94,-5.57107e-16
1174.67,1.59592e-15
1176.40,1.49912e-15
1178.13,2.34533e-15
1179.86,1.32622e-15
1181.58,4.58075e-16
1183.31,4.30876e-16
1185.04,3.98870e-16
1186.77,-3.60865e-16
1188.50,4.40104e-15
1190.23,2.86830e-15
1191.96,-2.97520e-16
1193.69,3.11748e-15
1195.42,2.40190e-15
1197.15,1.26379e-15
1198.88,1.68456e-15
1200.61,-2.27036e-16
1202.35,-2.15388e-16
1204.08,1.02934e-15
1205.81,3.29969e-15
1207.54,3.12197e-15
1209.27,6.41441e-15
1211.00,8.37548e-15
1212.73,2.20105e-14
1214.46,2.71891e-14
1216.19,3.10195e-14
1217.92,3.21792e-14
1219.65,2.79899e-14
1221.39,2.84974e-14
1223.12,2.33376e-14
1224.85,2.07411e-14
1226.58,1.96741e-14
1228.31,1.21717e-14
1230.04,7.84092e-15
1231.78,4.73697e-15
1233.51,2.82588e-15
1235.24,1.03556e-15
1236.97,1.18493e-15
1238.70,7.96038e-16
1240.44,7.72662e-16
1242.17,1.25324e-15
1243.90,2.43908e-16
1245.63,5.53495e-16
1247.37,1.15538e-15
1249.10,3.76470e-16
1250.83,6.65257e-16
1252.57,6.55123e-16
1254.30,7.87759e-16
1256.03,6.31781e-16
1257.76,-6.87077e-17
1259.50,1.01136e-15
1261.23,6.64812e-17
1262.96,8.55962e-16
1264.70,1.23993e-15
1266.43,1.94259e-16
1268.17,7.08943e-16
1269.90,5.76983e-16
1271.63,-1.91166e-16
1273.37,5.68072e-16
1275.10,1.18626e-15
1276.83,1.17259e-15
1278.57,1.64638e-15
1280.30,4.23016e-16
1282.04,4.18317e-16
1283.77,8.85368e-16
1285.51,9.87425e-16
1287.24,8.57242e-16
1288.97,9.57251e-16
1290.71,9.42748e-16
1292.44,4.92099e-16
1294.18,7.02821e-16
1295.91,5.89593e-16
1297.65,8.00730e-16
1299.38,1.64365e-15
1301.12,6.84323e-16
1302.85,5.72728e-16
1304.59,7.72145e-16
1306.32,6.59762e-16
1308.06,1.05413e-15
1309.79,1.48623e-16
1311.53,1.03512e-15
1313.26,9.27520e-16
1315.00,6.27415e-16
1316.74,7.12328e-16
1318.47,4.20149e-16
1320.21,5.97377e-16
1321.94,4.47330e-17
1323.68,4.88620e-16
1325.41,8.27367e-16
1327.15,3.84806e-16
1328.89,5.47019e-16
1330.62,5.40588e-16
1332.36,4.53505e-16
1334.10,2.04431e-16
1335.83,5.29062e-16
1337.57,6.06694e-16
1339.30,1.00632e-15
1341.04,4.41324e-16
1342.78,1.19523e-16
1344.51,4.38682e-16
1346.25,3.57774e-16
1347.99,5.94226e-16
1349.72,4.34119e-16
1351.46,6.68646e-16
1353.20,8.23414e-16
1354.94,4.28819e-16
1356.67,4.26768e-16
1358.41,2.69736e-16
1360.15,8.07565e-16
1361.88,6.51560e-16
1363.62,2.68333e-16
1365.36,3.46126e-16
1367.10,3.46801e-16
1368.83,2.69744e-16
1370.57,5.79296e-16
1372.31,4.27527e-16
1374.05,5.10603e-16
1375.79,8.32592e-16
1377.52,2.77415e-16
1379.26,6.71333e-16
1381.00,2.74097e-16
1382.74,7.41944e-16
1384.48,6.63329e-16
1386.21,7.41626e-16
1387.95,2.73092e-16
1389.69,5.88149e-16
1391.43,1.96030e-16
1393.17,7.49354e-16
1394.91,-4.03652e-17
1396.64,5.08226e-16
1398.38,2.70868e-16
1400.12,7.31461e-16
1401.86,5.74128e-16
1403.60,4.19109e-16
1405.34,4.94824e-16
1407.08,7.21508e-16
1408.82,5.67130e-16
1410.55,4.88276e-16
1412.29,4.84342e-16
1414.03,7.02352e-16
1415.77,2.55612e-16
1417.51,1.80868e-16
1419.25,4.68251e-16
1420.99,1.25229e-15
1422.73,3.17275e-16
1424.47,3.84234e-16
1426.21,2.40931e-16
1427.95,4.43770e-16
1429.69,3.68951e-16
1431.43,6.29914e-16
1433.17,5.55588e-16
1434.91,1.00378e-15
1436.65,2.23195e-16
1438.39,3.48624e-16
1440.13,2.81254e-16
1441.87,3.39382e-16
1443.61,4.56688e-16
1445.35,7.55566e-16
1447.09,2.70501e-16
1448.83,5.10986e-16
1450.57,3.91160e-16
1452.31,2.70686e-16
1454.05,5.13375e-16
1455.79,5.76394e-16
1457.53,3.35393e-16
1459.27,6.45990e-16
1461.01,1.54040e-16
1462.75,6.56519e-16
1464.49,1.04172e-15
1466.23,3.49005e-16
1467.97,6.05895e-16
1469.71,5.43645e-16
