,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,3235.42,3.750958e-16,2.19722e-17
1,1,3236.18,3.968433e-16,3.07975e-17
2,2,3236.93,3.7503873999999996e-16,2.15971e-17
3,3,3237.68,3.964999e-16,3.03767e-17
4,4,3238.44,3.7501499000000004e-16,1.51694e-17
5,5,3239.19,3.8573189999999996e-16,1.85678e-17
6,6,3239.94,3.9643849999999996e-16,2.14298e-17
7,7,3240.7,3.7499717000000005e-16,1.51034e-17
8,8,3241.45,3.6787616999999997e-16,1.00683e-17
9,9,3242.21,3.6071679999999996e-16,7.143890000000001e-18
10,10,3242.96,3.8219789999999996e-16,1.43589e-17
11,11,3243.71,3.7502504999999996e-16,1.24675e-17
12,12,3244.47,3.534309e-16,2e-17
13,13,3245.22,3.6962831999999996e-16,9.33144e-18
14,14,3245.98,3.535188e-16,2e-17
15,15,3246.73,3.8033181000000003e-16,1.19492e-17
16,16,3247.48,3.7071295999999997e-16,8.540040000000001e-18
17,17,3248.24,3.7071062000000005e-16,8.546690000000001e-18
18,18,3248.99,3.70705e-16,8.57632e-18
19,19,3249.74,3.7070476999999997e-16,8.568180000000001e-18
20,20,3250.5,3.664343e-16,7.40007e-18
21,21,3251.25,3.8347459999999996e-16,1.1257e-17
22,22,3252.01,3.7495046999999997e-16,9.472020000000001e-18
23,23,3252.76,3.833258e-16,1.11145e-17
24,24,3253.51,3.7072887999999997e-16,8.35316e-18
25,25,3254.27,3.8322009999999998e-16,1.10139e-17
26,26,3255.02,4.0838e-16,1.50856e-17
27,27,3255.78,3.8746099999999996e-16,1.18358e-17
28,28,3256.53,3.6654029000000003e-16,7.243160000000001e-18
29,29,3257.28,3.7489138999999996e-16,9.31534e-18
30,30,3258.04,3.582284e-16,4.1653200000000015e-18
31,31,3258.79,3.8322859999999997e-16,1.10298e-17
32,32,3259.54,3.7906158000000005e-16,1.0216e-17
33,33,3260.3,3.6654423999999996e-16,7.229280000000001e-18
34,34,3261.05,3.6653753000000004e-16,7.2366e-18
35,35,3261.8,3.6651171000000005e-16,7.26954e-18
36,36,3262.56,3.7070287999999996e-16,8.42604e-18
37,37,3263.31,3.7070046e-16,8.434020000000001e-18
38,38,3264.07,3.916729e-16,1.25801e-17
39,39,3264.82,3.6654752999999996e-16,7.214850000000001e-18
40,40,3265.57,3.7901085999999996e-16,1.01575e-17
41,41,3266.33,3.8319169999999996e-16,1.10059e-17
42,42,3267.08,3.7904940999999997e-16,1.02163e-17
43,43,3267.83,3.8742809999999996e-16,1.1826e-17
44,44,3268.59,3.7904359000000004e-16,1.02114e-17
45,45,3269.34,3.7486812999999996e-16,9.30431e-18
46,46,3270.09,3.7899866000000004e-16,1.01503e-17
