Wavelength (Ang),Flux
3239.19,7.98436e-18
3239.94,4.25454e-17
3240.70,2.95357e-17
3241.45,6.88742e-18
3242.21,5.05806e-18
3242.96,1.28018e-17
3243.71,3.51221e-17
3244.47,-1.48378e-18
3245.22,3.04860e-17
3245.98,3.03943e-17
3246.73,4.24205e-17
3247.48,-1.33614e-18
3248.24,-1.51251e-17
3248.99,2.35443e-17
3249.74,1.19197e-17
3250.50,6.18397e-18
3251.25,-1.04910e-17
3252.01,6.67659e-18
3252.76,2.92066e-17
3253.51,2.08817e-18
3254.27,1.54026e-18
3255.02,1.05449e-17
3255.78,6.58697e-18
3256.53,-5.28442e-18
3257.28,2.39340e-17
3258.04,2.07245e-18
3258.79,2.68100e-17
3259.54,-1.42468e-17
3260.30,1.10484e-17
3261.05,-2.42068e-18
3261.80,-1.03724e-17
3262.56,-2.99008e-18
3263.31,-2.44816e-18
3264.07,1.16353e-17
3264.82,5.45790e-18
3265.57,-5.79684e-18
3266.33,2.72748e-17
3267.08,2.78854e-17
3267.83,1.73354e-17
3268.59,3.18117e-17
3269.34,2.04837e-17
3270.09,1.04116e-17
3270.85,6.50494e-18
3271.60,7.09009e-18
3272.36,-1.37806e-18
3273.11,-1.16710e-17
3273.86,1.06909e-17
3274.62,6.06134e-18
3275.37,5.45764e-18
3276.12,-6.37005e-18
3276.88,5.39086e-18
3277.63,1.58077e-17
3278.38,-5.22814e-18
3279.14,1.47215e-17
3279.89,2.75287e-17
3280.64,2.55056e-18
3281.40,-2.32047e-17
3282.15,2.02316e-18
3282.91,1.93379e-17
3283.66,6.16036e-17
3284.41,-5.80640e-18
3285.17,3.60227e-18
3285.92,1.47876e-17
3286.67,6.44952e-18
3287.43,-1.91244e-18
3288.18,7.46380e-18
3288.93,6.30798e-18
3289.69,2.96544e-18
3290.44,1.14967e-17
3291.19,5.16204e-18
3291.95,2.17389e-17
3292.70,-1.33162e-18
3293.45,7.74766e-18
3294.21,8.86523e-19
3294.96,1.00767e-17
3295.71,-2.41045e-18
3296.47,-6.25470e-18
3297.22,-5.18726e-18
3297.97,6.27053e-18
3298.73,1.05917e-17
3299.48,2.31232e-17
3300.23,1.44709e-17
3300.99,1.11830e-17
3301.74,2.37388e-17
3302.49,-1.05637e-17
3303.25,1.10595e-17
3304.00,6.72434e-18
3304.75,2.23754e-17
3305.51,2.94558e-18
3306.26,6.20592e-18
3307.01,1.37513e-17
3307.77,7.19411e-18
3308.52,5.11146e-18
3309.27,8.81722e-18
3310.03,2.56618e-17
3310.78,-1.72343e-17
3311.53,7.13469e-18
3312.28,1.17237e-17
3313.04,6.48950e-18
