,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,4573.49,5.27911e-17,2.49581e-17
1,1,4574.59,7.84262e-17,3.24557e-17
2,2,4575.69,5.8305e-17,2.59856e-17
3,3,4576.78,8.989450000000001e-17,3.46149e-17
4,4,4577.88,2.90756e-17,5.91973e-18
5,5,4578.98,3.29623e-17,6.5514200000000015e-18
6,6,4580.08,2.5399760000000004e-17,5.35177e-18
7,7,4581.17,4.28818e-17,1.77133e-17
8,8,4582.27,3.18038e-17,1.26613e-17
9,9,4583.37,1.87769395e-17,3.41833e-18
10,10,4584.46,2.43047e-17,4.3698200000000015e-18
11,11,4585.56,6.49694e-17,2.02464e-17
12,12,4586.66,2.1510190000000003e-17,3.4571400000000008e-18
13,13,4587.76,1.7129499999999998e-17,2.68879e-18
14,14,4588.85,4.42383e-17,1.4076e-17
15,15,4589.95,4.29628e-17,1.2248e-17
16,16,4591.05,2.820069e-17,4.436520000000001e-18
17,17,4592.14,3.97147e-17,1.33128e-17
18,18,4593.24,2.7275530000000003e-17,9.86335e-18
19,19,4594.34,3.16073e-17,1.05986e-17
20,20,4595.44,3.67137e-17,5.32685e-18
21,21,4596.53,3.36722e-17,1.08415e-17
22,22,4597.63,3.15344e-17,1.05395e-17
23,23,4598.73,2.149e-17,3.4395200000000007e-18
24,24,4599.82,4.37911e-17,1.38313e-17
25,25,4600.92,3.8074e-17,1.14638e-17
26,26,4602.02,4.95948e-17,1.54484e-17
27,27,4603.11,4.62129e-17,1.42625e-17
28,28,4604.21,6.01015e-17,1.75371e-17
29,29,4605.31,3.91851e-17,5.62807e-18
30,30,4606.41,1.9316429e-17,3.1182e-18
31,31,4607.5,1.9315151e-17,3.1133100000000007e-18
32,32,4608.6,2.94526e-17,1.02705e-17
33,33,4609.7,2.1492140000000002e-17,3.4500700000000002e-18
34,34,4610.79,5.3902300000000003e-17,1.61178e-17
35,35,4611.89,7.09419e-17,1.90307e-17
36,36,4612.99,2.1528370000000002e-17,3.50014e-18
37,37,4614.08,1.7087850000000003e-17,2.7304200000000004e-18
38,38,4615.18,2.3789180000000003e-17,3.87225e-18
39,39,4616.28,3.41452e-17,1.11959e-17
40,40,4617.37,6.2257e-17,1.62189e-17
41,41,4618.47,3.84031e-17,1.16658e-17
42,42,4619.57,5.19608e-17,1.59054e-17
43,43,4620.66,3.95459e-17,1.32146e-17
44,44,4621.76,3.16265e-17,1.06267e-17
45,45,4622.86,2.150948e-17,3.48183e-18
46,46,4623.95,3.17725e-17,1.07492e-17
47,47,4625.05,3.63225e-17,1.14695e-17
48,48,4626.15,2.97186e-17,1.05377e-17
49,49,4627.24,3.8810300000000004e-17,1.19118e-17
50,50,4628.34,4.32473e-17,1.24032e-17
51,51,4629.44,4.6553400000000004e-17,1.44472e-17
52,52,4630.53,2.94289e-17,1.02582e-17
53,53,4631.63,7.6023e-17,1.99406e-17
54,54,4632.73,4.15954e-17,1.3501e-17
55,55,4633.82,2.368222e-17,3.7951700000000004e-18
56,56,4634.92,1.9304608e-17,3.13668e-18
57,57,4636.02,5.57541e-17,1.56326e-17
58,58,4637.11,4.02116e-17,1.36454e-17
59,59,4638.21,3.42811e-17,1.13036e-17
60,60,4639.31,2.6064550000000002e-17,4.21278e-18
61,61,4640.4,5.04472e-17,1.58869e-17
62,62,4641.5,3.41505e-17,1.12089e-17
63,63,4642.6,4.22785e-17,1.39096e-17
64,64,4643.69,2.824833e-17,4.47216e-18
65,65,4644.79,5.45362e-17,1.64172e-17
66,66,4645.89,2.7263090000000003e-17,9.87993e-18
67,67,4646.98,2.586203e-17,4.09612e-18
68,68,4648.08,3.82091e-17,1.15583e-17
69,69,4649.17,6.43901e-17,1.81984e-17
70,70,4650.27,3.03179e-17,4.676590000000001e-18
71,71,4651.37,1.9295891e-17,3.12759e-18
72,72,4652.46,4.42031e-17,1.40744e-17
73,73,4653.56,2.5941810000000003e-17,4.1446e-18
74,74,4654.66,4.19605e-17,1.37238e-17
75,75,4655.75,6.0136e-17,1.75624e-17
76,76,4656.85,5.65469e-17,1.66353e-17
77,77,4657.95,3.83879e-17,1.16678e-17
78,78,4659.04,7.18478e-17,1.93701e-17
79,79,4660.14,4.69468e-17,1.466e-17
80,80,4661.23,2.75378e-17,1.02116e-17
81,81,4662.33,3.88662e-17,1.19549e-17
82,82,4663.43,2.9744e-17,1.05791e-17
83,83,4664.52,4.67217e-17,1.45434e-17
84,84,4665.62,6.22027e-17,1.62069e-17
85,85,4666.71,3.1805e-17,1.07925e-17
86,86,4667.81,4.08052e-17,1.20504e-17
87,87,4668.91,4.22902e-17,1.39234e-17
88,88,4670.0,1.7045529999999998e-17,2.7553100000000004e-18
89,89,4671.1,4.90749e-17,1.48902e-17
90,90,4672.2,3.27292e-17,5.00757e-18
91,91,4673.29,4.43867e-17,1.41812e-17
92,92,4674.39,2.95413e-17,1.03861e-17
93,93,4675.48,5.166270000000001e-17,1.30968e-17
94,94,4676.58,3.17049e-17,1.07122e-17
95,95,4677.68,5.36505e-17,1.6069e-17
96,96,4678.77,1.319046e-17,1.95906e-18
97,97,4679.87,5.84729e-17,1.84769e-17
98,98,4680.96,4.74604e-17,1.69284e-17
99,99,4682.06,2.1551120000000002e-17,3.9932300000000004e-18
100,100,4683.16,2.7175780000000003e-17,4.8776400000000014e-18
101,101,4684.25,2.43222e-17,4.4225700000000014e-18
102,102,4685.35,3.15531e-17,1.24642e-17
103,103,4686.44,2.4264750000000003e-17,4.37657e-18
104,104,4687.54,4.83237e-17,1.50186e-17
105,105,4688.63,1.309366e-17,1.99113e-18
106,106,4689.73,3.87066e-17,6.3835600000000015e-18
107,107,4690.83,5.40229e-17,1.83197e-17
108,108,4691.92,4.66475e-17,1.52924e-17
109,109,4693.02,2.92227e-17,1.23734e-17
110,110,4694.11,2.91464e-17,1.22826e-17
111,111,4695.21,2.89802e-17,1.20843e-17
112,112,4696.31,2.4291640000000003e-17,4.4012700000000014e-18
113,113,4697.4,3.14489e-17,1.23658e-17
114,114,4698.5,2.4211180000000003e-17,4.33649e-18
115,115,4699.59,2.420303e-17,4.33017e-18
116,116,4700.69,3.02448e-17,4.65465e-18
117,117,4701.78,2.0648570000000002e-17,7.192380000000001e-18
118,118,4702.88,5.65927e-17,1.66632e-17
119,119,4703.98,4.05905e-17,1.19397e-17
120,120,4705.07,6.18753e-17,1.60899e-17
121,121,4706.17,3.60298e-17,1.12987e-17
122,122,4707.26,2.93733e-17,1.02337e-17
123,123,4708.36,3.3687e-17,1.08875e-17
124,124,4709.45,4.16873e-17,1.35734e-17
125,125,4710.55,2.94552e-17,1.03146e-17
126,126,4711.65,5.51081e-17,1.53713e-17
127,127,4712.74,5.06005e-17,1.48324e-17
128,128,4713.84,3.37538e-17,1.09379e-17
129,129,4714.93,5.04989e-17,1.47852e-17
130,130,4716.03,2.147036e-17,3.4792e-18
131,131,4717.12,4.06441e-17,1.19714e-17
132,132,4718.22,3.63235e-17,1.14946e-17
133,133,4719.31,4.10044e-17,1.217e-17
134,134,4720.41,3.20549e-17,1.10173e-17
135,135,4721.5,1.9280877e-17,3.21186e-18
136,136,4722.6,4.4565e-17,1.42899e-17
137,137,4723.7,3.83634e-17,1.16671e-17
138,138,4724.79,3.81218e-17,1.15227e-17
139,139,4725.89,2.7956120000000004e-17,4.34696e-18
140,140,4726.98,3.1508e-17,1.05616e-17
141,141,4728.08,2.5847660000000003e-17,4.1048600000000014e-18
142,142,4729.17,3.75729e-17,1.29784e-17
143,143,4730.27,3.62389e-17,1.14413e-17
144,144,4731.36,4.41844e-17,1.40796e-17
145,145,4732.46,3.3840499999999995e-17,1.10057e-17
146,146,4733.55,6.20684e-17,1.78284e-17
147,147,4734.65,3.81957e-17,1.15686e-17
148,148,4735.74,3.16284e-17,1.06643e-17
149,149,4736.84,4.18431e-17,1.36709e-17
150,150,4737.93,4.63872e-17,1.43816e-17
151,151,4739.03,2.148475e-17,3.5074e-18
152,152,4740.12,6.11733e-17,1.72861e-17
153,153,4741.22,2.7308120000000003e-17,9.97268e-18
154,154,4742.32,4.8704e-17,1.47189e-17
155,155,4743.41,2.5129240000000002e-17,9.535510000000001e-18
156,156,4744.51,2.374127e-17,3.8737600000000004e-18
157,157,4745.6,3.54078e-17,1.25238e-17
158,158,4746.7,5.85606e-17,1.68509e-17
159,159,4747.79,4.60312e-17,1.41968e-17
160,160,4748.89,5.02966e-17,1.4695e-17
161,161,4749.98,5.60937e-17,1.64487e-17
162,162,4751.08,4.46562e-17,1.2269e-17
163,163,4752.17,3.59418e-17,1.12492e-17
164,164,4753.27,3.81282e-17,1.1531e-17
165,165,4754.36,2.143852e-17,3.4504100000000007e-18
166,166,4755.46,3.72374e-17,1.27503e-17
167,167,4756.55,3.58888e-17,1.1215e-17
168,168,4757.65,5.04279e-17,1.47573e-17
169,169,4758.74,3.37543e-17,1.09472e-17
170,170,4759.84,2.93736e-17,1.02481e-17
171,171,4760.93,3.58765e-17,1.12076e-17
172,172,4762.03,3.44603e-17,5.09494e-18
173,173,4763.12,6.67626e-17,1.76226e-17
174,174,4764.22,5.02783e-17,1.46881e-17
175,175,4765.31,4.39211e-17,1.39378e-17
176,176,4766.41,3.61325e-17,1.13771e-17
177,177,4767.5,1.9262880000000003e-17,3.1644400000000004e-18
178,178,4768.6,3.65154e-17,1.16299e-17
179,179,4769.69,3.66481e-17,1.17175e-17
180,180,4770.79,3.52994e-17,5.36993e-18
181,181,4771.88,4.723890000000001e-17,1.48313e-17
182,182,4772.98,3.4288400000000003e-17,1.13425e-17
183,183,4774.07,3.63913e-17,1.15489e-17
184,184,4775.17,2.819493e-17,4.4672000000000004e-18
185,185,4776.26,3.03707e-17,4.71457e-18
186,186,4777.35,4.41082e-17,1.40434e-17
187,187,4778.45,1.9252666e-17,3.0996800000000007e-18
188,188,4779.54,4.817e-17,1.44596e-17
189,189,4780.64,4.166e-17,1.3568e-17
190,190,4781.73,4.27171e-17,1.21593e-17
191,191,4782.83,3.03977e-17,4.72618e-18
192,192,4783.92,5.93154e-17,1.7175e-17
193,193,4785.02,3.71305e-17,5.472120000000001e-18
194,194,4786.11,3.83941e-17,1.16945e-17
195,195,4787.21,5.63382e-17,1.65603e-17
196,196,4788.3,4.5496e-17,6.186250000000001e-18
197,197,4789.4,2.363452e-17,3.7966e-18
198,198,4790.49,2.72884e-17,9.96238e-18
199,199,4791.59,4.45831e-17,1.43093e-17
200,200,4792.68,2.97934e-17,1.06646e-17
201,201,4793.77,2.98089e-17,1.068e-17
202,202,4794.87,5.602e-17,1.5767e-17
203,203,4795.96,8.3502e-17,2.14343e-17
204,204,4797.06,2.5903850000000003e-17,4.14725e-18
205,205,4798.15,1.9251116e-17,3.1172400000000008e-18
206,206,4799.25,6.4426e-17,1.82305e-17
207,207,4800.34,3.8262e-17,1.1617e-17
208,208,4801.44,2.7238860000000002e-17,9.90599e-18
209,209,4802.53,5.43836e-17,1.63686e-17
210,210,4803.63,5.091140000000001e-17,1.49878e-17
211,211,4804.72,2.7358960000000002e-17,1.00489e-17
212,212,4805.81,4.5277000000000003e-17,1.25698e-17
213,213,4806.91,2.5131530000000003e-17,9.559430000000001e-18
214,214,4808.0,2.9604e-17,1.04823e-17
215,215,4809.1,3.04147e-17,4.735060000000001e-18
216,216,4810.19,2.816984e-17,4.4582400000000004e-18
217,217,4811.29,2.5114420000000002e-17,9.53435e-18
218,218,4812.38,4.07031e-17,1.20158e-17
219,219,4813.48,3.92634e-17,5.6688400000000015e-18
220,220,4814.57,6.33273e-17,1.75209e-17
221,221,4815.66,5.48625e-17,1.65904e-17
222,222,4816.76,5.86655e-17,1.61601e-17
223,223,4817.85,3.93853e-17,1.22918e-17
224,224,4818.95,2.164533e-17,3.74664e-18
225,225,4820.04,4.37158e-17,1.47966e-17
226,226,4821.13,6.26825e-17,1.70637e-17
227,227,4822.23,4.18132e-17,1.26278e-17
228,228,4823.32,2.3870830000000002e-17,3.98968e-18
229,229,4824.42,4.93349e-17,1.50384e-17
230,230,4825.51,4.92131e-17,1.49783e-17
231,231,4826.61,6.5696e-17,1.87405e-17
232,232,4827.7,6.77782e-17,1.70177e-17
233,233,4828.79,4.7391e-17,1.49161e-17
234,234,4829.89,2.76131e-17,1.03545e-17
235,235,4830.98,4.7375900000000004e-17,1.49083e-17
236,236,4832.08,3.20011e-17,1.09922e-17
237,237,4833.17,3.17733e-17,1.08015e-17
238,238,4834.27,6.34852e-17,1.60881e-17
239,239,4835.36,2.92703e-17,1.01599e-17
240,240,4836.45,3.57692e-17,1.11453e-17
241,241,4837.55,3.6707e-17,5.347580000000001e-18
242,242,4838.64,2.94178e-17,1.03044e-17
243,243,4839.74,2.5890620000000003e-17,4.1431000000000015e-18
244,244,4840.83,5.32215e-17,1.52844e-17
245,245,4841.92,6.58081e-17,1.78644e-17
246,246,4843.02,2.59294e-17,4.16623e-18
247,247,4844.11,6.33221e-17,1.75203e-17
248,248,4845.21,3.91119e-17,5.62786e-18
249,249,4846.3,4.4057900000000003e-17,1.40213e-17
250,250,4847.39,3.02568e-17,4.67233e-18
251,251,4848.49,4.9811500000000003e-17,1.55948e-17
252,252,4849.58,4.61656e-17,1.42763e-17
253,253,4850.68,5.48818e-17,1.52871e-17
254,254,4851.77,3.23667e-17,4.89163e-18
