Wavelength (Ang),Flux
3238.44,1.02394e-17
3239.19,-4.53174e-18
3239.94,-4.53107e-18
3240.70,-4.51774e-18
3241.45,2.48951e-17
3242.21,3.97371e-17
3242.96,2.01585e-17
3243.71,2.51659e-17
3244.47,3.25965e-17
3245.22,1.39818e-17
3245.98,1.39391e-17
3246.73,2.12249e-17
3247.48,2.48738e-17
3248.24,4.29355e-18
3248.99,2.79294e-17
3249.74,1.90514e-17
3250.50,2.19401e-17
3251.25,2.18477e-17
3252.01,1.33197e-18
3252.76,2.73538e-17
3253.51,1.28144e-17
3254.27,1.27710e-17
3255.02,9.95327e-18
3255.78,1.57163e-17
3256.53,3.01026e-17
3257.28,2.71182e-17
3258.04,-1.56942e-18
3258.79,2.13931e-17
3259.54,2.42730e-17
3260.30,-1.57663e-18
3261.05,7.05139e-18
3261.80,2.15326e-17
3262.56,1.00088e-17
3263.31,7.11317e-18
3264.07,1.57346e-17
3264.82,2.71020e-17
3265.57,1.27996e-18
3266.33,1.84693e-17
3267.08,2.71326e-17
3267.83,1.28673e-18
3268.59,1.27641e-17
3269.34,9.87378e-18
3270.09,2.12454e-17
3270.85,9.85177e-18
3271.60,7.03923e-18
3272.36,3.04110e-17
3273.11,7.17834e-18
3273.86,2.18248e-17
3274.62,7.10565e-18
3275.37,4.15410e-18
3276.12,4.12766e-18
3276.88,6.94897e-18
3277.63,4.08215e-18
3278.38,1.81933e-17
3279.14,1.24624e-18
3279.89,9.76260e-18
3280.64,-4.44843e-18
3281.40,9.85349e-18
3282.15,-1.60907e-18
3282.91,2.12682e-17
3283.66,2.40358e-17
3284.41,2.39804e-17
3285.17,1.24256e-18
3285.92,4.08658e-18
3286.67,2.11831e-17
3287.43,1.83315e-17
3288.18,4.06003e-18
3288.93,1.51526e-17
3289.69,3.95153e-18
3290.44,1.48771e-17
3291.19,2.03583e-17
3291.95,1.18759e-18
3292.70,9.39677e-18
3293.45,4.50772e-17
3294.21,2.32500e-17
3294.96,1.78434e-17
3295.71,6.77969e-18
3296.47,9.58808e-18
3297.22,9.55527e-18
3297.97,4.28658e-17
3298.73,6.74207e-18
3299.48,2.06631e-17
3300.23,9.56135e-18
3300.99,9.57546e-18
3301.74,3.99076e-18
3302.49,1.22997e-17
3303.25,-4.34040e-18
3304.00,2.32081e-17
3304.75,6.68713e-18
3305.51,6.69735e-18
3306.26,-1.57808e-18
3307.01,-4.32725e-18
3307.77,9.37978e-18
3308.52,9.34003e-18
3309.27,1.74433e-17
3310.03,1.73672e-17
3310.78,1.93214e-17
3311.53,1.92863e-17
3312.28,3.60090e-17
3313.04,2.59612e-17
3313.79,2.94623e-17
3314.54,1.63078e-17
3315.30,2.61605e-18
3316.05,1.36740e-17
3316.80,2.75732e-18
3317.56,6.52456e-18
3318.31,2.87337e-17
3319.06,3.53057e-17
3319.82,2.74406e-17
3320.57,-9.18922e-19
3321.32,2.58033e-18
3322.08,1.68097e-17
3322.83,6.25593e-18
3323.58,1.35944e-17
3324.33,3.88086e-17
3325.09,-4.48459e-18
3325.84,3.90497e-18
3326.59,2.78825e-17
3327.35,2.99181e-17
3328.10,3.67617e-18
3328.85,1.40553e-17
3329.61,1.15455e-17
3330.36,1.42826e-17
3331.11,1.69868e-17
3331.86,1.43110e-17
3332.62,1.16121e-17
3333.37,8.93350e-18
3334.12,1.94078e-17
3334.88,1.42256e-17
3335.63,2.49226e-17
3336.38,2.51108e-17
3337.14,1.45665e-17
3337.89,9.20420e-18
3338.64,1.18308e-17
3339.39,2.75704e-17
3340.15,1.67536e-17
3340.90,1.91902e-17
3341.65,-1.51466e-18
3342.41,1.14665e-17
3343.16,1.68837e-17
3343.91,-1.56460e-18
3344.66,1.45460e-17
3345.42,1.72532e-17
3346.17,1.98921e-17
3346.92,3.30805e-17
3347.68,-4.19969e-18
3348.43,1.41927e-17
3349.18,8.90686e-18
3349.93,2.45574e-17
3350.69,3.69281e-18
3351.44,1.42135e-17
3352.19,6.34355e-18
3352.95,1.68552e-17
3353.70,8.95144e-18
3354.45,8.94390e-18
3355.20,1.68457e-17
3355.96,1.07569e-18
3356.71,1.94992e-17
3357.46,2.73592e-17
3358.21,1.68340e-17
3358.97,2.19752e-17
3359.72,1.05993e-18
3360.47,2.42962e-17
3361.23,-1.51979e-18
3361.98,6.14795e-18
3362.73,1.88473e-17
3363.48,3.16550e-17
3364.24,-1.51356e-18
3364.99,1.12592e-17
3365.74,1.89495e-17
3366.49,1.38670e-17
3367.25,1.38697e-17
3368.00,3.59439e-18
3368.75,1.12389e-17
3369.50,8.69132e-18
3370.26,1.13223e-17
3371.01,2.18446e-17
3371.76,6.32974e-18
3372.51,-4.23867e-18
3373.27,1.44396e-17
3374.02,1.18485e-17
3374.77,1.46649e-17
3375.53,1.48458e-17
3376.28,9.45962e-18
3377.03,3.47236e-17
3377.78,1.23097e-17
3378.54,2.32575e-17
3379.29,1.73781e-17
3380.04,1.43341e-17
3380.79,1.14034e-17
3381.55,1.89296e-17
3382.30,1.37727e-17
3383.05,8.70822e-18
3383.80,8.72759e-18
3384.56,3.58353e-18
3385.31,3.40756e-17
3386.06,1.87383e-17
3386.81,2.12400e-17
3387.57,6.08950e-18
3388.32,1.62853e-17
3389.07,6.13504e-18
3389.82,3.58519e-18
3390.58,2.41024e-17
3391.33,1.90409e-17
3392.08,1.13881e-17
3392.83,1.93335e-17
3393.58,3.68374e-18
3394.34,1.96009e-17
3395.09,1.96324e-17
3395.84,6.35461e-18
3396.59,3.66998e-18
3397.35,1.91719e-17
3398.10,8.70747e-18
3398.85,2.64966e-17
3399.60,1.62324e-17
3400.36,3.13738e-17
3401.11,1.61485e-17
3401.86,6.05068e-18
3402.61,1.61835e-17
3403.37,2.88045e-17
3404.12,3.52276e-18
3404.87,1.10298e-17
3405.62,1.10337e-17
3406.37,2.11788e-17
3407.13,1.37276e-17
3407.88,1.02099e-18
3408.63,6.22508e-18
3409.38,1.67840e-17
3410.14,6.33833e-18
3410.89,2.76125e-17
3411.64,1.43362e-17
3412.39,2.21085e-17
3413.14,3.63199e-18
3413.90,2.13336e-17
3414.65,8.45691e-18
3415.40,1.80566e-17
3416.15,-1.46466e-18
3416.91,9.65394e-19
3417.66,5.93822e-18
3418.41,1.36829e-17
3419.16,1.39229e-17
3419.91,2.18687e-17
3420.67,1.65909e-17
3421.42,1.89968e-17
3422.17,1.36561e-17
3422.92,1.09899e-17
3423.68,2.08468e-17
3424.43,2.33609e-17
3425.18,1.35762e-17
3425.93,1.63866e-17
3426.68,1.14253e-17
3427.44,1.02366e-18
3428.19,1.12009e-17
3428.94,5.97446e-18
3429.69,1.07759e-17
3430.44,1.55368e-17
3431.20,2.03223e-17
3431.95,8.26261e-18
3432.70,2.54539e-17
3433.45,2.30839e-17
3434.20,8.32885e-18
3434.96,1.80831e-17
3435.71,3.52096e-17
3436.46,1.07417e-17
3437.21,2.29968e-17
3437.96,1.56443e-17
3438.72,8.33066e-18
3439.47,1.57882e-17
3440.22,3.59143e-17
3440.97,8.54331e-18
3441.72,2.12757e-17
3442.48,1.87243e-17
3443.23,1.36059e-17
3443.98,2.61289e-17
3444.73,1.35459e-17
3445.48,1.35030e-17
3446.24,-6.48466e-18
3446.99,1.08496e-17
3447.74,1.57133e-17
3448.49,1.08053e-17
3449.24,2.56854e-17
3450.00,8.43935e-18
3450.75,2.59285e-17
3451.50,2.08474e-17
3452.25,3.79647e-17
3453.00,-1.48712e-18
3453.75,8.27699e-18
3454.51,-3.92485e-18
3455.26,2.30379e-17
3456.01,5.89975e-18
3456.76,8.40127e-18
3457.51,2.82251e-17
3458.27,1.33183e-17
3459.02,1.08397e-17
3459.77,8.35807e-18
3460.52,1.32950e-17
3461.27,1.82644e-17
3462.02,1.33853e-17
3462.78,3.32456e-17
3463.53,2.57204e-17
3464.28,1.08250e-17
3465.03,3.29827e-17
3465.78,2.56009e-17
3466.54,1.07798e-17
3467.29,1.80571e-17
3468.04,1.79592e-17
3468.79,2.51923e-17
3469.54,1.06358e-17
3470.29,-3.88658e-18
3471.05,5.78768e-18
3471.80,1.30747e-17
3472.55,4.22105e-17
3473.30,1.30310e-17
3474.05,2.01721e-17
3474.80,2.48854e-17
