Wavelength (Ang),Flux
4569.10,7.16795e-17
4570.20,1.06461e-16
4571.30,9.48492e-17
4572.39,9.46361e-17
4573.49,2.01558e-17
4574.59,3.15452e-17
4575.69,3.15377e-17
4576.78,4.89076e-17
4577.88,1.06961e-16
4578.98,8.08480e-17
4580.08,6.14395e-17
4581.17,4.19590e-17
4582.27,4.64991e-17
4583.37,6.04168e-17
4584.46,4.84628e-17
4585.56,2.83067e-17
4586.66,3.66891e-17
4587.76,5.71444e-17
4588.85,7.58416e-17
4589.95,6.24689e-17
4591.05,6.91370e-17
4592.14,4.15182e-17
4593.24,5.93678e-17
4594.34,4.33894e-17
4595.44,4.98961e-17
4596.53,4.30435e-17
4597.63,5.20766e-17
4598.73,3.87310e-17
4599.82,4.32105e-17
4600.92,5.21399e-17
4602.02,5.90425e-17
4603.11,4.58605e-17
4604.21,5.96409e-17
4605.31,3.70314e-17
4606.41,4.15191e-17
4607.50,5.95537e-17
4608.60,5.70565e-17
4609.70,2.53886e-17
4610.79,4.99907e-17
4611.89,3.00786e-17
4612.99,3.94059e-17
4614.08,4.19761e-17
4615.18,3.97957e-17
4616.28,3.52390e-17
4617.37,5.57558e-17
4618.47,6.89743e-17
4619.57,5.26109e-17
4620.66,4.11971e-17
4621.76,2.77314e-17
4622.86,5.50373e-17
4623.95,4.39904e-17
4625.05,3.51212e-17
4626.15,4.69721e-17
4627.24,6.34552e-17
4628.34,6.32398e-17
4629.44,5.78702e-17
4630.53,2.54691e-17
4631.63,3.19489e-17
4632.73,5.21310e-17
4633.82,6.60179e-17
4634.92,3.94713e-17
4636.02,7.90990e-17
4637.11,3.78875e-17
4638.21,5.41463e-17
4639.31,7.24723e-17
4640.40,4.68590e-17
4641.50,5.59940e-17
4642.60,4.90973e-17
4643.69,4.66840e-17
4644.79,6.23087e-17
4645.89,4.81463e-17
4646.98,5.02099e-17
4648.08,4.57850e-17
4649.17,7.53162e-17
4650.27,6.18833e-17
4651.37,5.52600e-17
4652.46,5.30461e-17
4653.56,5.53550e-17
4654.66,4.38907e-17
4655.75,3.02045e-17
4656.85,6.65064e-17
4657.95,3.93883e-17
4659.04,3.51891e-17
4660.14,2.15963e-17
4661.23,3.80817e-17
4662.33,3.56931e-17
4663.43,6.33865e-17
4664.52,5.82396e-17
4665.62,5.79835e-17
4666.71,4.87207e-17
4667.81,2.82752e-17
4668.91,6.52752e-17
4670.00,5.38935e-17
4671.10,3.53633e-17
4672.20,6.28535e-17
4673.29,4.19765e-17
4674.39,3.94393e-17
4675.48,7.57830e-17
4676.58,5.74317e-17
4677.68,5.31101e-17
4678.77,6.27739e-17
4679.87,5.45932e-17
4680.96,7.50357e-17
4682.06,4.36622e-17
4683.16,4.93338e-17
4684.25,3.75012e-17
4685.35,4.85757e-17
4686.44,4.84896e-17
4687.54,4.30714e-17
4688.63,6.37980e-17
4689.73,4.41413e-17
4690.83,6.23297e-17
4691.92,5.08288e-17
4693.02,8.35148e-17
4694.11,6.81207e-17
4695.21,3.21200e-17
4696.31,4.30380e-17
4697.40,3.68789e-17
4698.50,5.36789e-17
4699.59,4.23416e-17
4700.69,4.80431e-17
4701.78,6.84973e-17
4702.88,7.11462e-17
4703.98,7.35212e-17
4705.07,3.93551e-17
4706.17,6.84458e-17
4707.26,5.45659e-17
4708.36,8.34424e-17
4709.45,7.26114e-17
4710.55,6.85736e-17
4711.65,4.60160e-17
4712.74,5.49145e-17
4713.84,5.01183e-17
4714.93,4.79818e-17
4716.03,6.17433e-17
4717.12,7.14306e-17
4718.22,6.27355e-17
4719.31,5.17359e-17
4720.41,4.73823e-17
4721.50,4.97202e-17
4722.60,6.76942e-17
4723.70,6.43899e-17
4724.79,4.11222e-17
4725.89,4.31136e-17
4726.98,5.66081e-17
4728.08,5.02879e-17
4729.17,5.31303e-17
4730.27,5.55791e-17
4731.36,4.84850e-17
4732.46,4.81623e-17
4733.55,3.22611e-17
4734.65,4.80511e-17
4735.74,4.36010e-17
4736.84,6.18051e-17
4737.93,3.70880e-17
4739.03,6.22371e-17
4740.12,7.59841e-17
4741.22,4.85648e-17
4742.32,6.46175e-17
4743.41,3.28145e-17
4744.51,5.81503e-17
4745.60,3.95834e-17
4746.70,3.45682e-17
4747.79,4.33477e-17
4748.89,5.43958e-17
4749.98,5.00254e-17
4751.08,4.33326e-17
4752.17,6.58847e-17
4753.27,5.46362e-17
4754.36,6.12221e-17
4755.46,7.45914e-17
4756.55,4.77475e-17
4757.65,5.23765e-17
4758.74,5.01487e-17
4759.84,5.68765e-17
4760.93,4.54743e-17
4762.03,4.30848e-17
4763.12,6.98599e-17
4764.22,5.66046e-17
4765.31,6.82690e-17
4766.41,6.66306e-17
4767.50,6.73718e-17
4768.60,4.48612e-17
4769.69,4.98839e-17
4770.79,5.48214e-17
4771.88,4.29324e-17
4772.98,5.66174e-17
4774.07,4.91650e-17
4775.17,4.65894e-17
4776.26,7.37668e-17
4777.35,5.28902e-17
4778.45,6.82432e-17
4779.54,4.55252e-17
4780.64,5.45889e-17
4781.73,4.37895e-17
4782.83,6.70778e-17
4783.92,6.05587e-17
4785.02,5.34834e-17
4786.11,6.45262e-17
4787.21,4.80981e-17
4788.30,3.66270e-17
4789.40,4.79711e-17
4790.49,2.80033e-17
4791.59,6.08291e-17
4792.68,7.32199e-17
4793.77,7.33251e-17
4794.87,3.09059e-17
4795.96,7.18716e-17
4797.06,4.16782e-17
4798.15,5.95647e-17
4799.25,3.69022e-17
4800.34,4.37069e-17
4801.44,6.63466e-17
4802.53,3.93327e-17
4803.63,6.46018e-17
4804.72,6.27080e-17
4805.81,5.81870e-17
4806.91,4.66878e-17
4808.00,5.81668e-17
4809.10,5.57288e-17
4810.19,3.50347e-17
4811.29,5.57433e-17
4812.38,4.18978e-17
4813.48,6.46536e-17
4814.57,4.85307e-17
4815.66,6.29165e-17
4816.76,4.52920e-17
4817.85,5.10371e-17
4818.95,6.64651e-17
4820.04,3.99214e-17
4821.13,4.71573e-17
4822.23,5.36587e-17
4823.32,5.51398e-17
4824.42,5.43387e-17
4825.51,4.48270e-17
4826.61,5.88844e-17
4827.70,4.29225e-17
4828.79,5.96880e-17
4829.89,5.27738e-17
4830.98,5.49390e-17
4832.08,5.65656e-17
4833.17,7.38901e-17
4834.27,3.88266e-17
4835.36,4.96868e-17
4836.45,5.63491e-17
4837.55,5.89894e-17
4838.64,4.58719e-17
4839.74,6.89428e-17
4840.83,4.41672e-17
4841.92,4.42198e-17
4843.02,4.18624e-17
4844.11,3.94085e-17
4845.21,5.05700e-17
4846.30,5.95972e-17
4847.39,7.08312e-17
4848.49,6.63208e-17
4849.58,6.16431e-17
4850.68,4.34821e-17
4851.77,7.25982e-17
4852.86,5.89207e-17
4853.96,5.42066e-17
4855.05,7.82987e-17
4856.14,6.94003e-17
4857.24,7.86025e-17
4858.33,9.32178e-17
4859.43,6.03525e-17
4860.52,4.52410e-17
4861.61,5.33873e-17
4862.71,3.71582e-17
4863.80,7.65426e-17
4864.90,6.42943e-17
4865.99,5.93522e-17
4867.08,3.98015e-17
4868.18,5.45610e-17
4869.27,6.45560e-17
4870.36,4.48748e-17
4871.46,5.19772e-17
4872.55,5.12578e-17
4873.65,4.59013e-17
4874.74,3.57392e-17
4875.83,7.43507e-17
4876.93,4.37900e-17
4878.02,2.98867e-17
4879.11,4.77410e-17
4880.21,5.44846e-17
4881.30,7.27760e-17
4882.39,7.77118e-17
4883.49,3.93249e-17
4884.58,4.88347e-17
4885.67,3.74690e-17
4886.77,5.36847e-17
4887.86,3.96487e-17
4888.96,7.42247e-17
4890.05,4.21853e-17
4891.14,5.88893e-17
4892.24,6.16628e-17
4893.33,4.79859e-17
4894.42,4.81974e-17
4895.52,6.74528e-17
4896.61,4.12723e-17
4897.70,2.93063e-17
4898.80,6.25683e-17
4899.89,5.76884e-17
4900.98,4.81165e-17
4902.08,5.98502e-17
4903.17,3.82776e-17
4904.26,3.81498e-17
4905.36,4.97620e-17
4906.45,4.99004e-17
4907.54,7.08459e-17
4908.64,4.72193e-17
4909.73,4.92331e-17
4910.82,4.88792e-17
4911.92,6.45445e-17
4913.01,6.88107e-17
4914.10,4.83541e-17
4915.20,4.83626e-17
4916.29,3.94075e-17
4917.38,5.77593e-17
4918.48,5.10414e-17
4919.57,6.46632e-17
4920.66,5.53717e-17
4921.75,5.51657e-17
4922.85,6.19722e-17
4923.94,5.53836e-17
4925.03,7.83202e-17
4926.13,5.78259e-17
4927.22,5.52898e-17
4928.31,5.06529e-17
4929.41,3.70393e-17
4930.50,5.75456e-17
4931.59,6.25093e-17
4932.69,5.12583e-17
4933.78,3.75905e-17
4934.87,7.64544e-17
4935.96,1.44012e-17
4937.06,3.96230e-17
4938.15,4.21546e-17
4939.24,4.93596e-17
4940.34,5.18140e-17
4941.43,6.31701e-17
4942.52,5.35596e-17
4943.62,6.70226e-17
4944.71,6.71667e-17
4945.80,6.51927e-17
4946.89,6.76946e-17
4947.99,5.60256e-17
4949.08,3.04395e-17
4950.17,6.45852e-17
4951.27,5.32664e-17
4952.36,6.05384e-17
4953.45,7.50608e-17
4954.54,5.94064e-17
4955.64,5.97762e-17
4956.73,6.23486e-17
4957.82,5.98108e-17
4958.92,3.37539e-17
4960.01,3.60732e-17
4961.10,5.02315e-17
4962.19,5.47214e-17
4963.29,6.34006e-17
4964.38,7.86505e-17
4965.47,4.84622e-17
4966.56,5.74555e-17
4967.66,7.11372e-17
4968.75,6.88694e-17
4969.84,8.74778e-17
4970.94,7.20437e-17
4972.03,6.80337e-17
4973.12,4.74842e-17
4974.21,7.33844e-17
4975.31,4.99164e-17
4976.40,5.67950e-17
4977.49,5.91723e-17
4978.58,4.72730e-17
4979.68,5.40735e-17
4980.77,6.10618e-17
4981.86,3.82314e-17
4982.95,6.92058e-17
4984.05,5.26948e-17
4985.14,3.10635e-17
4986.23,4.92647e-17
4987.32,3.97999e-17
4988.42,5.62930e-17
4989.51,4.05094e-17
4990.60,5.02708e-17
4991.69,5.49288e-17
4992.79,6.41235e-17
4993.88,5.43296e-17
4994.97,7.03940e-17
4996.06,4.00605e-17
4997.16,7.69600e-17
4998.25,5.63676e-17
4999.34,6.83680e-17
5000.43,6.64552e-17
5001.52,4.75118e-17
5002.62,3.50453e-17
5003.71,7.84906e-17
5004.80,5.23511e-17
5005.89,6.97182e-17
5006.99,6.70189e-17
5008.08,6.73929e-17
5009.17,5.29952e-17
5010.26,3.83963e-17
5011.36,3.54164e-17
5012.45,6.78094e-17
5013.54,5.29990e-17
5014.63,2.95000e-17
5015.72,5.01422e-17
5016.82,4.61979e-17
5017.91,6.97553e-17
5019.00,4.62249e-17
5020.09,6.60832e-17
5021.19,5.02719e-17
5022.28,4.22135e-17
5023.37,3.78458e-17
5024.46,8.63089e-17
5025.55,6.00959e-17
5026.65,6.04410e-17
5027.74,5.49473e-17
5028.83,4.91071e-17
5029.92,5.42516e-17
5031.01,6.47819e-17
5032.11,5.57300e-17
5033.20,5.85871e-17
5034.29,5.56075e-17
5035.38,9.89317e-17
5036.47,8.47237e-17
5037.57,9.08606e-17
5038.66,8.20005e-17
5039.75,1.08551e-16
5040.84,1.06555e-16
5041.93,9.95643e-17
5043.03,1.26258e-16
5044.12,7.81864e-17
5045.21,6.25217e-17
5046.30,7.98629e-17
5047.39,8.69737e-17
5048.49,6.79178e-17
5049.58,6.18780e-17
5050.67,6.83817e-17
5051.76,3.33013e-17
5052.85,4.91740e-17
5053.94,5.61457e-17
5055.04,5.80580e-17
5056.13,5.01620e-17
5057.22,3.96500e-17
5058.31,6.97886e-17
5059.40,4.27899e-17
5060.50,6.73760e-17
5061.59,4.86911e-17
5062.68,6.24565e-17
5063.77,4.20745e-17
5064.86,4.23353e-17
5065.95,4.95358e-17
5067.05,4.04265e-17
5068.14,6.65195e-17
5069.23,6.44083e-17
5070.32,6.24859e-17
5071.41,4.14547e-17
5072.50,4.41283e-17
5073.60,8.27446e-17
5074.69,3.90157e-17
5075.78,7.43212e-17
5076.87,6.68551e-17
5077.96,6.44492e-17
5079.05,6.24087e-17
5080.15,5.31967e-17
5081.24,5.57635e-17
5082.33,7.50034e-17
5083.42,6.29668e-17
5084.51,6.04865e-17
5085.60,7.47104e-17
5086.70,4.36233e-17
5087.79,5.79355e-17
5088.88,4.35895e-17
5089.97,6.48220e-17
5091.06,6.22179e-17
5092.15,3.36949e-17
5093.24,5.25819e-17
5094.34,4.79736e-17
5095.43,5.05014e-17
5096.52,6.01031e-17
5097.61,8.38640e-17
5098.70,5.79020e-17
5099.79,6.75278e-17
5100.88,4.12309e-17
5101.98,5.74251e-17
5103.07,5.47342e-17
5104.16,5.47612e-17
5105.25,4.56090e-17
5106.34,4.59621e-17
5107.43,5.32243e-17
5108.52,6.76376e-17
5109.62,6.96939e-17
5110.71,4.10160e-17
5111.80,5.51447e-17
5112.89,7.41351e-17
5113.98,6.92292e-17
5115.07,6.43983e-17
5116.16,6.43034e-17
5117.25,4.55143e-17
5118.35,7.12776e-17
5119.44,7.12909e-17
5120.53,4.55182e-17
5121.62,8.86663e-17
5122.71,6.30707e-17
5123.80,6.37431e-17
5124.89,8.88830e-17
5125.98,5.26419e-17
5127.08,5.30471e-17
5128.17,7.84603e-17
5129.26,5.58261e-17
5130.35,5.06698e-17
5131.44,8.52285e-17
5132.53,9.49724e-17
5133.62,1.26669e-16
5134.71,9.38120e-17
5135.81,1.31163e-16
5136.90,1.79195e-16
5137.99,1.90507e-16
5139.08,2.40002e-16
5140.17,3.47763e-16
5141.26,4.42636e-16
5142.35,3.55660e-16
5143.44,2.28505e-16
5144.53,1.72722e-16
5145.62,1.46985e-16
5146.72,8.86016e-17
5147.81,9.17315e-17
5148.90,7.97430e-17
5149.99,8.84926e-17
5151.08,1.09615e-16
5152.17,7.72673e-17
5153.26,7.75246e-17
5154.35,6.93991e-17
5155.44,4.41447e-17
5156.53,3.14782e-17
5157.63,8.29228e-17
5158.72,4.67166e-17
5159.81,5.66011e-17
5160.90,4.18039e-17
5161.99,5.09360e-17
5163.08,5.37324e-17
5164.17,7.45148e-17
5165.26,3.63338e-17
5166.35,6.50419e-17
5167.44,3.64981e-17
5168.53,7.96847e-17
5169.63,3.18399e-17
5170.72,5.10321e-17
5171.81,7.99043e-17
5172.90,8.73490e-17
5173.99,4.40914e-17
5175.08,6.84970e-17
5176.17,8.54513e-17
5177.26,8.33558e-17
5178.35,9.25730e-17
5179.44,1.28945e-16
5180.53,1.50499e-16
5181.62,1.65848e-16
5182.71,1.48528e-16
5183.81,2.25287e-16
5184.90,2.50114e-16
5185.99,3.48614e-16
5187.08,3.89240e-16
