Wavelength (Ang),Flux
3400.36,8.11944e-18
3401.11,8.09790e-18
3401.86,-7.24461e-18
3402.61,-7.26361e-18
3403.37,-7.25746e-18
3404.12,4.23615e-19
3404.87,1.56703e-17
3405.62,4.21202e-19
3406.37,1.57572e-17
3407.13,8.15829e-18
3407.88,4.30541e-19
3408.63,-1.53539e-17
3409.38,8.41512e-18
3410.14,8.48099e-18
3410.89,1.65916e-17
3411.64,4.43676e-19
3412.39,4.39492e-19
3413.14,8.34028e-18
3413.90,-7.30052e-18
3414.65,4.14882e-19
3415.40,3.75154e-17
3416.15,7.77625e-18
3416.91,-7.00645e-18
3417.66,7.94686e-18
3418.41,8.13040e-18
3419.16,8.27293e-18
3419.91,-7.48640e-18
3420.67,4.30270e-19
3421.42,4.25824e-19
3422.17,-7.27539e-18
3422.92,3.84217e-17
3423.68,4.10994e-19
3424.43,7.97049e-18
3425.18,4.16078e-19
3425.93,-1.51567e-17
3426.68,8.33295e-18
3427.44,1.62018e-17
3428.19,-7.32798e-18
3428.94,1.55824e-17
3429.69,7.85914e-18
3430.44,7.78711e-18
3431.20,3.98745e-19
3431.95,1.52023e-17
3432.70,7.84773e-18
3433.45,4.04180e-19
3434.20,3.02460e-17
3434.96,4.01922e-19
3435.71,7.83831e-18
3436.46,-7.03101e-18
3437.21,4.01811e-19
3437.96,7.84019e-18
3438.72,1.53291e-17
3439.47,1.54195e-17
3440.22,1.55800e-17
3440.97,1.57209e-17
3441.72,8.12128e-18
3442.48,1.58136e-17
3443.23,4.12788e-19
3443.98,1.56972e-17
3444.73,4.10682e-19
3445.48,2.32453e-17
3446.24,4.06347e-19
3446.99,4.03408e-19
3447.74,4.01330e-19
3448.49,2.28365e-17
3449.24,7.91686e-18
3450.00,7.96860e-18
3450.75,3.07460e-17
3451.50,7.95676e-18
3452.25,4.01937e-19
3453.00,1.52734e-17
3453.75,3.97395e-19
3454.51,3.97409e-19
3455.26,3.99259e-19
3456.01,7.89965e-18
3456.76,7.93270e-18
3457.51,4.02955e-19
3458.27,2.29292e-17
3459.02,7.90458e-18
3459.77,7.89194e-18
3460.52,3.78820e-17
3461.27,4.01356e-19
3462.02,1.54977e-17
3462.78,4.03051e-19
3463.53,1.54508e-17
3464.28,4.00017e-19
3465.03,-7.08792e-18
3465.78,3.99628e-19
3466.54,-7.06457e-18
3467.29,3.96115e-19
3468.04,3.93890e-19
3468.79,3.92938e-19
3469.54,2.98454e-17
3470.29,-6.95255e-18
3471.05,7.75046e-18
3471.80,-6.98004e-18
3472.55,2.25288e-17
3473.30,7.73960e-18
3474.05,1.50057e-17
3474.80,7.66823e-18
3475.56,3.86449e-19
3476.31,3.86085e-19
3477.06,3.86748e-19
3477.81,3.86712e-19
3478.56,1.48890e-17
3479.31,2.20109e-17
3480.07,2.90758e-17
3480.82,7.54158e-18
3481.57,3.81936e-19
3482.32,-6.85484e-18
3483.07,7.66635e-18
3483.82,3.87518e-19
3484.58,7.63006e-18
3485.33,3.83644e-19
3486.08,-6.82858e-18
3486.83,3.84732e-19
3487.58,7.65395e-18
3488.33,-6.89333e-18
3489.08,-6.88198e-18
3489.84,3.85152e-19
3490.59,3.83840e-19
3491.34,2.92380e-17
3492.09,7.58761e-18
3492.84,3.82275e-19
3493.59,-6.79722e-18
3494.35,3.79008e-19
3495.10,-6.71833e-18
3495.85,1.44612e-17
3496.60,1.44188e-17
3497.35,2.15543e-17
3498.10,3.78809e-19
3498.85,-6.84172e-18
3499.61,-6.92052e-18
3500.36,-6.96130e-18
3501.11,3.89514e-19
3501.86,7.64850e-18
3502.61,2.19188e-17
3503.36,-1.38864e-17
3504.11,3.78948e-19
3504.87,3.83107e-19
3505.62,1.49883e-17
3506.37,3.89108e-19
3507.12,3.68691e-17
3507.87,7.58743e-18
3508.62,7.48661e-18
3509.37,7.41698e-18
3510.13,7.37936e-18
3510.88,2.13490e-17
3511.63,7.34797e-18
3512.38,7.35444e-18
3513.13,1.43804e-17
3513.88,7.42154e-18
3514.63,-1.38371e-17
3515.39,-6.77094e-18
3516.14,1.47073e-17
3516.89,-6.75558e-18
3517.64,1.46145e-17
3518.39,3.77913e-19
3519.14,7.52722e-18
3519.89,3.81656e-19
3520.64,7.60063e-18
3521.40,3.83074e-19
3522.15,2.19703e-17
3522.90,2.17700e-17
3523.65,1.45321e-17
3524.40,-6.64930e-18
3525.15,2.13704e-17
3525.90,7.36800e-18
3526.65,3.72424e-19
3527.41,-1.36870e-17
3528.16,1.44878e-17
3528.91,7.44330e-18
3529.66,2.85549e-17
3530.41,-1.36167e-17
3531.16,-6.56698e-18
3531.91,7.27509e-18
3532.66,3.67608e-19
3533.42,3.83697e-18
3534.17,3.84684e-18
3534.92,3.85943e-18
3535.67,3.85716e-18
3536.42,-4.85823e-18
3537.17,1.25576e-17
3537.92,3.85089e-18
3538.67,1.25779e-17
3539.43,3.86877e-18
3540.18,1.26770e-17
3540.93,3.03699e-17
3541.68,-4.93082e-18
3542.43,9.79485e-18
3543.18,-1.96945e-18
3543.93,-1.35893e-17
3544.68,9.61729e-18
3545.43,-1.94031e-18
3546.19,-1.94691e-18
3546.94,9.67119e-18
3547.69,2.12030e-17
3548.44,-4.80249e-18
3549.19,-4.76221e-18
3549.94,3.76225e-18
3550.69,3.74113e-18
3551.44,-4.69789e-18
3552.19,3.73191e-18
3552.94,3.74600e-17
3553.70,2.05752e-17
3554.45,-1.31059e-17
3555.20,-1.31306e-17
3555.95,2.06777e-17
3556.70,4.32592e-17
3557.45,1.22242e-17
3558.20,3.73860e-18
3558.95,-4.68338e-18
3559.70,3.72076e-17
3560.46,-4.65261e-18
3561.21,1.20668e-17
3561.96,3.70893e-18
3562.71,2.89830e-17
3563.46,3.75569e-18
3564.21,1.23105e-17
3564.96,-1.33875e-17
3565.71,-1.34485e-17
3566.46,-1.34720e-17
3567.21,-4.80976e-18
3567.96,-4.77942e-18
3568.72,2.08590e-17
3569.47,7.16576e-18
3570.22,3.64456e-19
3570.97,2.06667e-17
3571.72,1.39145e-17
3572.47,-6.41272e-18
3573.22,-6.41736e-18
3573.97,3.41509e-17
3574.72,1.38278e-17
3575.47,3.60295e-19
3576.22,4.69720e-17
3576.98,3.57131e-19
3577.73,3.56911e-19
3578.48,-6.31316e-18
3579.23,1.38107e-17
3579.98,2.07701e-17
3580.73,7.23951e-18
3581.48,7.28902e-18
3582.23,3.73678e-19
3582.98,-1.34287e-17
3583.73,2.09243e-17
3584.48,1.39765e-17
3585.23,1.39218e-17
3585.99,7.12885e-18
3586.74,2.05712e-17
3587.49,1.37798e-17
3588.24,7.04038e-18
3588.99,2.71218e-17
3589.74,-6.37815e-18
3590.49,3.69237e-19
3591.24,3.74123e-19
3591.99,3.75622e-19
3592.74,7.29370e-18
3593.49,1.40575e-17
3594.24,7.11464e-18
3594.99,1.36708e-17
3595.75,3.55207e-19
3596.50,-6.16372e-18
3597.25,6.86463e-18
3598.00,1.34458e-17
3598.75,2.01121e-17
3599.50,6.96217e-18
3600.25,1.35514e-17
3601.00,3.56908e-19
3601.75,3.55507e-19
3602.50,-6.19851e-18
3603.25,6.91692e-18
3604.00,-6.23096e-18
3604.75,6.94401e-18
3605.50,3.56349e-19
3606.25,3.53753e-19
3607.01,1.33196e-17
3607.76,-1.25844e-17
3608.51,6.84306e-18
3609.26,3.55288e-19
3610.01,6.96015e-18
3610.76,-6.31173e-18
3611.51,-6.35772e-18
3612.26,-6.34299e-18
3613.01,3.62684e-19
3613.76,6.96885e-18
3614.51,-1.28088e-17
3615.26,6.90613e-18
3616.01,3.56362e-19
3616.76,2.66579e-17
3617.51,1.36096e-17
3618.26,3.63871e-19
3619.01,2.04634e-17
3619.77,2.04718e-17
3620.52,3.63678e-19
3621.27,6.95492e-18
3622.02,6.86456e-18
3622.77,1.96735e-17
3623.52,-1.24795e-17
3624.27,3.51645e-19
3625.02,-6.12890e-18
3625.77,-1.26845e-17
3626.52,1.17581e-17
3627.27,-1.26043e-17
3628.02,-4.47745e-18
3628.77,1.15956e-17
3629.52,-1.24977e-17
3630.27,8.95977e-18
3631.02,-1.80429e-18
3631.77,-1.80759e-18
3632.52,3.05955e-17
3633.27,-1.26219e-17
3634.02,9.01574e-18
3634.78,9.05610e-18
3635.53,-1.82336e-18
3636.28,9.09679e-18
3637.03,1.98624e-17
3637.78,-1.25624e-17
3638.53,-1.25007e-17
3639.28,-1.78591e-18
3640.03,8.87831e-18
3640.78,-1.78310e-18
3641.53,1.95807e-17
3642.28,3.55612e-18
3643.03,-4.44222e-18
3643.78,3.52743e-18
3644.53,6.67867e-18
3645.28,-5.96878e-18
3646.03,6.68301e-18
3646.78,1.30349e-17
3647.53,3.47795e-19
3648.28,6.64984e-18
3649.03,3.45976e-19
3649.78,3.46050e-19
3650.53,1.92952e-17
3651.28,3.49570e-19
3652.03,3.52688e-19
3652.78,-1.24837e-17
3653.53,3.50568e-19
3654.28,-5.95723e-18
3655.04,3.45080e-19
3655.79,6.61280e-18
3656.54,-5.95009e-18
3657.29,-1.22680e-17
3658.04,1.29174e-17
3658.79,-5.89356e-18
3659.54,3.75356e-17
3660.29,-5.84540e-18
3661.04,-1.20362e-17
3661.79,6.56991e-18
3662.54,6.63432e-18
3663.29,6.68228e-18
3664.04,3.49113e-19
3664.79,3.46421e-19
3665.54,6.57513e-18
3666.29,3.43254e-19
3667.04,-5.88750e-18
3667.79,6.61350e-18
3668.54,-5.94147e-18
3669.29,-5.95159e-18
3670.04,2.54782e-17
3670.79,1.91503e-17
3671.54,1.91023e-17
3672.29,6.60741e-18
3673.04,1.92266e-17
3673.79,3.53057e-19
3674.54,1.34034e-17
3675.29,7.05908e-18
3676.04,2.08770e-17
3676.79,7.30311e-18
3677.54,7.33624e-18
3678.29,7.33181e-18
3679.04,1.42357e-17
3679.79,-1.33126e-17
3680.54,2.05302e-17
3681.29,3.62047e-19
3682.04,-6.02001e-18
3682.79,-1.21580e-17
3683.54,6.52835e-18
3684.29,6.52862e-18
3685.04,3.75544e-17
3685.79,6.56729e-18
3686.54,3.44606e-19
3687.29,-1.20370e-17
3688.04,6.48209e-18
3688.79,6.43810e-18
3689.54,3.36579e-19
3690.29,3.36721e-19
3691.04,-5.74052e-18
3691.79,1.24765e-17
3692.54,-1.17798e-17
3693.29,1.24187e-17
3694.04,-1.17335e-17
3694.79,3.35202e-19
3695.54,6.41089e-18
3696.29,6.46384e-18
3697.04,-5.80387e-18
3697.79,1.87728e-17
3698.54,1.87264e-17
3699.29,-5.78031e-18
3700.04,1.86669e-17
3700.79,3.38499e-19
3701.54,3.38228e-19
3702.29,-5.76739e-18
3703.04,3.39279e-19
3703.79,3.41136e-19
3704.54,6.53316e-18
3705.29,6.55573e-18
3706.04,3.45357e-19
3706.79,6.61919e-18
3707.54,3.21177e-17
3708.29,3.57454e-19
3709.04,1.98492e-17
3709.79,1.33927e-17
3710.54,2.63083e-17
3711.29,6.79995e-18
3712.04,3.54320e-19
3712.79,3.52817e-19
3713.54,1.30802e-17
3714.29,3.53741e-19
3715.04,-6.01968e-18
3715.79,3.50939e-19
3716.54,6.61236e-18
3717.29,1.27437e-17
3718.04,6.49713e-18
3718.79,6.47835e-18
3719.54,3.40437e-19
3720.29,6.51794e-18
3721.04,3.44200e-19
3721.79,1.27922e-17
3722.54,6.56639e-18
3723.29,3.43977e-19
3724.04,6.53746e-18
3724.79,-5.83397e-18
3725.54,6.49444e-18
3726.29,3.41308e-19
3727.04,3.42433e-19
3727.79,1.89767e-17
3728.54,3.43704e-19
3729.29,-5.81943e-18
3730.04,3.38410e-19
3730.79,6.40191e-18
3731.54,-5.72945e-18
3732.29,1.24671e-17
3733.04,-1.18890e-17
3733.79,-1.19604e-17
3734.54,3.42167e-19
3735.29,1.26705e-17
3736.04,3.38251e-19
3736.79,-5.72559e-18
3737.54,3.33877e-19
3738.29,-5.70956e-18
3739.04,-5.74296e-18
3739.79,1.86683e-17
3740.54,-1.19147e-17
3741.29,3.37543e-19
3742.04,-5.74778e-18
3742.79,6.40422e-18
3743.54,6.40577e-18
3744.29,-5.74912e-18
3745.04,6.42097e-18
3745.79,6.40235e-18
3746.54,2.45172e-17
3747.29,1.84770e-17
3748.03,3.33828e-19
3748.78,-5.74087e-18
3749.53,1.86202e-17
3750.28,3.37535e-19
3751.03,1.87966e-17
3751.78,1.26537e-17
3752.53,6.49846e-18
3753.28,1.87755e-17
3754.03,-5.81742e-18
3754.78,3.12087e-17
3755.53,6.54748e-18
3756.28,6.56161e-18
3757.03,2.52626e-17
3757.78,-5.86948e-18
3758.53,3.40224e-19
3759.28,-5.83409e-18
3760.03,3.39063e-19
3760.78,6.51266e-18
3761.53,3.38445e-19
3762.28,1.26625e-17
3763.03,-1.19608e-17
3763.78,3.36782e-19
3764.53,6.47088e-18
3765.28,-5.80458e-18
3766.03,6.47332e-18
3766.78,6.45603e-18
3767.53,6.47121e-18
3768.28,3.37656e-19
3769.03,3.40210e-19
3769.77,1.27650e-17
3770.52,3.37620e-19
3771.27,-1.19432e-17
3772.02,-1.19276e-17
3772.77,1.25622e-17
3773.52,-5.77715e-18
3774.27,3.33550e-19
3775.02,6.47622e-18
3775.77,1.87972e-17
3776.52,3.34841e-19
3777.27,3.34725e-19
3778.02,-5.82763e-18
3778.77,-5.85145e-18
3779.52,1.27584e-17
3780.27,6.54573e-18
3781.02,6.52140e-18
3781.77,6.47072e-18
3782.52,1.25577e-17
3783.27,6.43197e-18
3784.02,6.42372e-18
3784.77,6.41269e-18
3785.52,1.85151e-17
3786.26,-1.17848e-17
3787.01,1.85436e-17
3787.76,6.43526e-18
3788.51,3.31803e-19
3789.26,3.32674e-19
3790.01,1.26307e-17
3790.76,6.44437e-18
3791.51,6.39854e-18
3792.26,1.84509e-17
3793.01,3.25221e-19
3793.76,-5.72557e-18
3794.51,-5.73821e-18
3795.26,1.24904e-17
3796.01,6.42312e-18
3796.76,3.28502e-19
3797.51,3.28963e-19
3798.26,3.29293e-19
3799.01,6.48477e-18
3799.75,3.30805e-19
3800.50,1.27424e-17
3801.25,1.89882e-17
3802.00,1.27766e-17
3802.75,6.55763e-18
3803.50,-5.86301e-18
3804.25,3.29362e-19
3805.00,1.26509e-17
3805.75,1.89352e-17
3806.50,1.90318e-17
3807.25,3.32665e-19
3808.00,6.58858e-18
3808.75,2.53676e-17
3809.50,3.32147e-19
3810.25,1.28502e-17
3811.00,2.52522e-17
3811.74,-5.88236e-18
3812.49,6.52291e-18
3813.24,-5.84916e-18
3813.99,1.26799e-17
3814.74,6.49567e-18
3815.49,3.27546e-19
