Wavelength (Ang),Flux
4571.30,4.82704e-17
4572.39,1.06607e-16
4573.49,7.90052e-17
4574.59,7.84815e-17
4575.69,6.79868e-17
4576.78,7.79583e-17
4577.88,4.98130e-17
4578.98,7.73139e-17
4580.08,5.00301e-17
4581.17,1.49820e-16
4582.27,1.17987e-16
4583.37,8.80906e-17
4584.46,1.01264e-16
4585.56,1.00986e-16
4586.66,7.07498e-17
4587.76,8.63334e-17
4588.85,6.82085e-17
4589.95,1.19587e-16
4591.05,9.14203e-17
4592.14,6.75328e-17
4593.24,5.96687e-17
4594.34,3.98745e-17
4595.44,6.98141e-17
4596.53,5.46569e-17
4597.63,8.22330e-17
4598.73,5.18453e-17
4599.82,6.62847e-17
4600.92,1.00685e-16
4602.02,1.01570e-16
4603.11,7.06675e-17
4604.21,7.53026e-17
4605.31,7.92004e-17
4606.41,8.72498e-17
4607.50,9.43199e-17
4608.60,7.05597e-17
4609.70,8.61593e-17
4610.79,7.83624e-17
4611.89,1.13219e-16
4612.99,9.15884e-17
4614.08,9.16762e-17
4615.18,8.77105e-17
4616.28,8.89340e-17
4617.37,9.99693e-17
4618.47,7.12315e-17
4619.57,5.58994e-17
4620.66,6.30673e-17
4621.76,1.01746e-16
4622.86,1.05708e-16
4623.95,6.80428e-17
4625.05,6.42967e-17
4626.15,6.92679e-17
4627.24,6.51381e-17
4628.34,7.73021e-17
4629.44,6.86717e-17
4630.53,5.14357e-17
4631.63,3.94270e-17
4632.73,9.33743e-17
4633.82,8.66888e-17
4634.92,1.18843e-16
4636.02,9.25917e-17
4637.11,9.73585e-17
4638.21,8.47504e-17
4639.31,8.05803e-17
4640.40,5.23349e-17
4641.50,9.28787e-17
4642.60,1.08331e-16
4643.69,7.61662e-17
4644.79,7.59777e-17
4645.89,1.14168e-16
4646.98,7.04414e-17
4648.08,4.37706e-17
4649.17,1.01798e-16
4650.27,6.37074e-17
4651.37,7.17058e-17
4652.46,7.95919e-17
4653.56,7.16433e-17
4654.66,7.20698e-17
4655.75,6.37973e-17
4656.85,5.23966e-17
4657.95,9.88192e-17
4659.04,8.38602e-17
4660.14,8.52014e-17
4661.23,1.10363e-16
4662.33,7.35420e-17
