Wavelength (Ang),Flux
4569.10,9.02400e-17
4570.20,5.12444e-17
4571.30,9.05186e-17
4572.39,3.14363e-17
4573.49,4.11199e-17
4574.59,2.15387e-17
4575.69,2.15334e-17
4576.78,3.14781e-17
4577.88,3.82900e-17
4578.98,3.20190e-17
4580.08,4.53683e-17
4581.17,1.86835e-17
4582.27,3.17902e-17
4583.37,3.14996e-17
4584.46,4.09291e-17
4585.56,5.01837e-17
4586.66,3.85485e-17
4587.76,1.16291e-17
4588.85,3.12348e-17
4589.95,2.35381e-17
4591.05,4.69227e-17
4592.14,3.88619e-17
4593.24,3.86824e-17
4594.34,3.08138e-17
4595.44,3.06727e-17
4596.53,2.29309e-17
4597.63,3.06402e-17
4598.73,1.15172e-17
4599.82,4.60197e-17
4600.92,4.21739e-17
4602.02,2.30885e-17
4603.11,4.25705e-17
4604.21,3.49745e-17
4605.31,1.94628e-17
4606.41,5.44017e-17
4607.50,5.81945e-17
4608.60,3.86422e-17
4609.70,1.92359e-17
4610.79,2.30496e-17
4611.89,3.87221e-17
4612.99,1.56133e-17
4614.08,3.14349e-17
4615.18,3.54615e-17
4616.28,2.36707e-17
4617.37,1.96617e-17
4618.47,4.68086e-17
4619.57,1.93477e-17
4620.66,5.39825e-17
4621.76,3.47412e-17
4622.86,1.94067e-17
4623.95,1.56222e-17
4625.05,1.57292e-17
4626.15,2.77492e-17
4627.24,2.38986e-17
4628.34,3.17544e-17
4629.44,1.56792e-17
4630.53,3.08696e-17
4631.63,3.44347e-17
4632.73,2.68333e-17
4633.82,3.47472e-17
4634.92,3.12643e-17
4636.02,4.74202e-17
4637.11,2.78681e-17
4638.21,4.37944e-17
4639.31,3.96745e-17
4640.40,5.14059e-17
4641.50,2.36867e-17
4642.60,2.76413e-17
4643.69,4.33348e-17
4644.79,2.73729e-17
4645.89,2.32328e-17
4646.98,2.31425e-17
4648.08,6.56840e-17
4649.17,3.87543e-17
4650.27,2.71848e-17
4651.37,3.50633e-17
4652.46,4.68046e-17
4653.56,3.90265e-17
4654.66,3.11632e-17
4655.75,2.72222e-17
4656.85,4.27795e-17
4657.95,5.85009e-17
4659.04,3.15118e-17
4660.14,1.98733e-17
4661.23,1.19988e-17
4662.33,2.79666e-17
4663.43,1.98847e-17
4664.52,1.97135e-17
4665.62,4.31907e-17
4666.71,2.35060e-17
4667.81,2.75535e-17
4668.91,2.37053e-17
4670.00,3.96247e-17
4671.10,2.77077e-17
4672.20,3.94433e-17
4673.29,2.35694e-17
4674.39,5.07678e-17
4675.48,2.72889e-17
4676.58,3.49983e-17
4677.68,2.73293e-17
4678.77,1.65814e-17
4679.87,3.14332e-17
4680.96,3.15920e-17
4682.06,2.18730e-17
4683.16,-2.99364e-18
4684.25,5.61628e-17
4685.35,4.10203e-17
4686.44,4.58244e-17
4687.54,3.13917e-17
4688.63,1.68494e-17
4689.73,3.72011e-17
4690.83,1.72434e-17
4691.92,3.26982e-17
4693.02,4.79673e-17
4694.11,5.26823e-17
4695.21,1.69309e-17
4696.31,2.64624e-17
4697.40,5.52335e-17
4698.50,4.05687e-17
4699.59,5.01593e-17
4700.69,3.09053e-17
4701.78,3.87264e-17
4702.88,4.28352e-17
4703.98,2.72882e-17
4705.07,3.50674e-17
4706.17,1.15925e-17
4707.26,3.07677e-17
4708.36,3.06532e-17
4709.45,2.30961e-17
4710.55,3.48892e-17
4711.65,3.88292e-17
4712.74,2.70900e-17
4713.84,3.84983e-17
4714.93,1.54192e-17
4716.03,3.48652e-17
4717.12,1.56209e-17
4718.22,4.72428e-17
4719.31,4.37174e-17
4720.41,2.39777e-17
4721.50,3.99850e-17
4722.60,3.56156e-17
4723.70,2.33731e-17
