Wavelength (Ang),Flux
2221.09,1.19541e-15
2221.62,1.64799e-15
2222.14,1.54038e-15
2222.67,9.89057e-16
2223.19,1.01861e-15
2223.72,7.22494e-16
2224.24,7.53201e-16
2224.76,9.17658e-16
2225.29,8.72308e-16
2225.81,1.18525e-15
2226.34,1.16834e-15
2226.86,1.51665e-15
2227.39,1.55203e-15
2227.91,1.65781e-15
2228.43,1.94426e-15
2228.96,1.94214e-15
2229.48,1.91168e-15
2230.01,1.82285e-15
2230.53,2.12244e-15
2231.06,1.85748e-15
2231.58,2.25291e-15
2232.11,1.93523e-15
2232.63,2.14367e-15
2233.15,1.86869e-15
2233.68,2.26649e-15
2234.20,2.00576e-15
2234.73,1.95348e-15
2235.25,2.08497e-15
2235.78,1.74759e-15
2236.30,1.86787e-15
2236.82,1.99052e-15
2237.35,1.81677e-15
2237.87,1.77223e-15
2238.40,1.42509e-15
2238.92,1.71761e-15
2239.45,1.52050e-15
2239.97,1.22891e-15
2240.50,8.27805e-16
2241.02,6.93170e-16
2241.54,5.68683e-16
2242.07,7.41702e-16
2242.59,8.98588e-16
2243.12,1.08127e-15
2243.64,1.46407e-15
2244.17,1.54161e-15
2244.69,1.71903e-15
2245.22,1.78351e-15
2245.74,2.00518e-15
2246.26,2.15283e-15
2246.79,2.03509e-15
2247.31,2.13004e-15
2247.84,2.11890e-15
2248.36,1.87253e-15
2248.89,2.22858e-15
2249.41,1.91097e-15
2249.94,2.26117e-15
2250.46,1.88624e-15
2250.98,2.19470e-15
2251.51,1.95869e-15
2252.03,2.06255e-15
2252.56,2.06417e-15
2253.08,2.12323e-15
2253.61,1.96075e-15
2254.13,2.13503e-15
2254.66,2.14539e-15
2255.18,2.01042e-15
2255.71,2.03063e-15
2256.23,1.91740e-15
2256.75,2.31458e-15
2257.28,2.17328e-15
2257.80,2.14816e-15
2258.33,1.99951e-15
2258.85,2.12734e-15
2259.38,2.10851e-15
2259.90,1.98370e-15
2260.43,1.91552e-15
2260.95,2.12188e-15
2261.48,2.04786e-15
2262.00,1.98117e-15
2262.53,1.96036e-15
2263.05,2.20497e-15
2263.57,1.99387e-15
2264.10,2.17790e-15
2264.62,2.04460e-15
2265.15,1.95745e-15
2265.67,1.83963e-15
2266.20,2.04697e-15
2266.72,1.76319e-15
2267.25,1.47537e-15
2267.77,1.39792e-15
2268.30,1.43549e-15
2268.82,1.07639e-15
2269.35,8.62587e-16
2269.87,7.12644e-16
2270.40,4.81410e-16
2270.92,5.13342e-16
2271.44,7.62270e-16
2271.97,9.63592e-16
2272.49,1.27365e-15
2273.02,1.51655e-15
2273.54,1.68105e-15
2274.07,1.73565e-15
2274.59,1.68694e-15
2275.12,1.67739e-15
2275.64,1.49643e-15
2276.17,1.53546e-15
2276.69,1.42548e-15
2277.22,1.46141e-15
2277.74,1.60101e-15
2278.27,1.69235e-15
2278.79,1.79534e-15
2279.32,1.92056e-15
2279.84,1.95593e-15
2280.37,2.03126e-15
2280.89,1.95575e-15
2281.41,2.12473e-15
2281.94,1.92819e-15
2282.46,1.87534e-15
2282.99,1.91618e-15
2283.51,2.09107e-15
2284.04,1.93303e-15
2284.56,2.12399e-15
2285.09,1.96743e-15
2285.61,1.87975e-15
2286.14,2.03255e-15
2286.66,2.03688e-15
2287.19,1.86586e-15
2287.71,2.07944e-15
2288.24,1.88372e-15
2288.76,2.02655e-15
2289.29,2.08344e-15
2289.81,1.76608e-15
2290.34,2.23452e-15
2290.86,2.01108e-15
2291.39,2.15331e-15
2291.91,1.87949e-15
2292.44,2.15849e-15
2292.96,2.02071e-15
2293.49,2.09412e-15
2294.01,1.88452e-15
2294.54,1.88767e-15
2295.06,1.99321e-15
2295.58,1.83423e-15
2296.11,2.10381e-15
2296.63,1.98000e-15
2297.16,1.79045e-15
2297.68,1.97202e-15
2298.21,1.75291e-15
2298.73,1.86706e-15
2299.26,1.87886e-15
2299.78,2.01177e-15
2300.31,2.26281e-15
2300.83,1.78669e-15
2301.36,1.82036e-15
2301.88,1.99276e-15
2302.41,1.81347e-15
2302.93,1.80062e-15
2303.46,2.02950e-15
2303.98,1.89225e-15
2304.51,1.71549e-15
2305.03,1.76023e-15
2305.56,1.89190e-15
2306.08,1.67234e-15
2306.61,1.63800e-15
2307.13,1.39784e-15
2307.66,1.36848e-15
2308.18,1.31344e-15
2308.71,1.13337e-15
2309.23,1.45657e-15
2309.76,1.51095e-15
2310.28,1.47051e-15
2310.81,1.75578e-15
2311.33,2.06161e-15
2311.86,1.69948e-15
2312.38,1.75437e-15
2312.91,1.74760e-15
2313.43,1.55949e-15
2313.96,1.36841e-15
2314.48,1.28648e-15
2315.01,1.11179e-15
2315.53,1.31144e-15
2316.06,1.26005e-15
2316.58,1.74953e-15
2317.11,1.72204e-15
2317.63,1.96155e-15
2318.16,1.76818e-15
2318.68,1.77703e-15
2319.21,1.76596e-15
2319.73,1.77077e-15
2320.26,1.98120e-15
2320.78,1.82033e-15
2321.31,1.82231e-15
2321.83,1.85297e-15
2322.36,1.78115e-15
2322.88,1.47167e-15
2323.41,1.09451e-15
2323.93,9.64645e-16
2324.46,6.44776e-16
2324.98,3.50671e-16
2325.51,2.38476e-16
2326.03,2.42256e-16
2326.56,4.16656e-16
2327.08,6.03831e-16
2327.61,9.56384e-16
2328.13,1.39690e-15
2328.66,1.56833e-15
2329.18,1.75731e-15
2329.71,1.80882e-15
2330.24,1.75213e-15
2330.76,2.15041e-15
2331.29,1.93555e-15
2331.81,1.95666e-15
2332.34,1.93618e-15
2332.86,1.74074e-15
2333.39,1.72160e-15
2333.91,1.75962e-15
2334.44,1.24981e-15
2334.96,9.58774e-16
2335.49,8.93628e-16
2336.01,6.95138e-16
2336.54,6.03073e-16
2337.06,6.01991e-16
2337.59,6.88215e-16
2338.11,9.34305e-16
2338.64,1.44264e-15
2339.16,1.54154e-15
2339.69,1.48477e-15
2340.21,1.55928e-15
2340.74,1.27536e-15
2341.26,1.50116e-15
2341.79,1.60512e-15
2342.31,1.64597e-15
2342.84,1.80157e-15
2343.36,1.78289e-15
2343.89,1.67240e-15
2344.41,1.32261e-15
2344.94,1.54085e-15
2345.46,1.65828e-15
2345.99,1.84749e-15
2346.52,1.93891e-15
2347.04,2.21893e-15
2347.57,2.16816e-15
2348.09,2.14989e-15
2348.62,2.12407e-15
2349.14,2.06760e-15
2349.67,1.84845e-15
2350.19,2.02112e-15
2350.72,1.91314e-15
2351.24,1.81647e-15
2351.77,1.57690e-15
2352.29,1.39275e-15
2352.82,1.48707e-15
2353.34,1.78462e-15
2353.87,1.75978e-15
2354.39,1.76167e-15
2354.92,1.76817e-15
2355.44,1.99426e-15
2355.97,2.17458e-15
2356.49,2.19162e-15
2357.02,2.10262e-15
2357.55,2.06725e-15
2358.07,2.09077e-15
2358.60,2.20346e-15
2359.12,2.15977e-15
2359.65,2.25019e-15
2360.17,2.25628e-15
2360.70,2.13240e-15
2361.22,2.12435e-15
2361.75,1.92787e-15
2362.27,1.94054e-15
2362.80,1.78514e-15
2363.32,1.54942e-15
2363.85,1.18783e-15
2364.37,8.70394e-16
2364.90,6.85758e-16
2365.42,7.43007e-16
2365.95,8.50159e-16
2366.48,1.07816e-15
2367.00,1.15582e-15
2367.53,1.25645e-15
2368.05,1.26733e-15
2368.58,1.30885e-15
2369.10,1.74098e-15
2369.63,1.78723e-15
2370.15,2.05860e-15
2370.68,2.13202e-15
2371.20,2.00591e-15
2371.73,2.12826e-15
2372.25,2.11551e-15
2372.78,2.02487e-15
2373.30,1.89826e-15
2373.83,1.94897e-15
2374.36,2.08835e-15
2374.88,1.83407e-15
2375.41,1.59169e-15
2375.93,1.73005e-15
2376.46,1.85163e-15
2376.98,1.80104e-15
2377.51,2.00415e-15
2378.03,2.25325e-15
2378.56,2.17946e-15
2379.08,2.03640e-15
2379.61,1.98358e-15
2380.13,1.84195e-15
2380.66,2.10042e-15
2381.19,2.02010e-15
2381.71,1.74501e-15
2382.24,1.85514e-15
2382.76,1.70945e-15
2383.29,1.45121e-15
2383.81,1.45758e-15
2384.34,1.37488e-15
2384.86,1.63285e-15
2385.39,1.73310e-15
2385.91,1.97380e-15
2386.44,2.12666e-15
2386.96,2.25358e-15
2387.49,2.01796e-15
2388.02,2.18514e-15
2388.54,2.11526e-15
2389.07,2.31368e-15
2389.59,2.09939e-15
2390.12,2.46688e-15
2390.64,2.13736e-15
2391.17,2.07082e-15
2391.69,2.21771e-15
2392.22,2.07436e-15
2392.74,2.01124e-15
2393.27,2.17043e-15
2393.80,2.10960e-15
2394.32,2.10462e-15
2394.85,1.96161e-15
2395.37,2.17993e-15
2395.90,2.11521e-15
2396.42,2.11579e-15
2396.95,2.14015e-15
2397.47,2.22229e-15
2398.00,2.00400e-15
2398.52,2.05649e-15
2399.05,2.21904e-15
2399.58,2.13163e-15
2400.10,1.84325e-15
2400.63,2.09010e-15
2401.15,2.00403e-15
2401.68,2.14048e-15
2402.20,2.20300e-15
2402.73,2.25461e-15
2403.25,2.22573e-15
2403.78,2.19859e-15
2404.30,2.12090e-15
2404.83,2.04856e-15
2405.36,2.21706e-15
2405.88,2.15317e-15
2406.41,2.08691e-15
2406.93,1.99188e-15
2407.46,2.17044e-15
2407.98,2.07798e-15
2408.51,2.18877e-15
2409.03,2.02719e-15
2409.56,1.93703e-15
2410.08,1.97370e-15
2410.61,1.88274e-15
2411.14,1.99611e-15
2411.66,2.02541e-15
2412.19,1.91938e-15
2412.71,1.69205e-15
2413.24,1.57747e-15
2413.76,1.67272e-15
2414.29,1.73263e-15
2414.81,1.70591e-15
2415.34,1.71131e-15
2415.87,1.71841e-15
2416.39,1.93098e-15
2416.92,1.91885e-15
2417.44,1.93302e-15
2417.97,2.03618e-15
2418.49,1.80605e-15
2419.02,1.94888e-15
2419.54,2.19730e-15
2420.07,1.71459e-15
2420.60,1.69408e-15
2421.12,1.57765e-15
2421.65,1.51206e-15
2422.17,1.65392e-15
2422.70,1.40673e-15
2423.22,1.48379e-15
2423.75,1.78005e-15
2424.27,1.58451e-15
2424.80,1.52807e-15
2425.33,1.71781e-15
2425.85,1.80568e-15
2426.38,1.77304e-15
2426.90,1.78325e-15
2427.43,1.79479e-15
2427.95,1.86864e-15
2428.48,1.86733e-15
2429.00,1.91379e-15
2429.53,2.02169e-15
2430.06,2.06696e-15
2430.58,1.93670e-15
2431.11,1.81569e-15
2431.63,1.83271e-15
2432.16,1.83392e-15
2432.68,1.73438e-15
2433.21,1.82474e-15
2433.73,1.86507e-15
2434.26,2.18268e-15
2434.79,2.03658e-15
2435.31,1.95154e-15
2435.84,1.98048e-15
2436.36,1.78361e-15
2436.89,1.90584e-15
2437.41,1.78428e-15
2437.94,1.70159e-15
2438.47,2.03926e-15
2438.99,2.00712e-15
2439.52,1.81582e-15
2440.04,2.06775e-15
2440.57,1.96191e-15
2441.09,2.05809e-15
2441.62,2.01728e-15
2442.14,1.95951e-15
2442.67,1.90563e-15
2443.20,2.05703e-15
2443.72,1.88565e-15
2444.25,2.17245e-15
2444.77,1.96309e-15
2445.30,2.05500e-15
2445.82,2.11077e-15
2446.35,2.14600e-15
2446.88,2.19508e-15
2447.40,2.07627e-15
2447.93,1.98808e-15
2448.45,2.04142e-15
2448.98,2.00577e-15
2449.50,2.04103e-15
2450.03,1.79063e-15
2450.55,1.73960e-15
2451.08,1.65268e-15
2451.61,1.48709e-15
2452.13,1.49640e-15
2452.66,1.25984e-15
2453.18,1.14759e-15
2453.71,9.63745e-16
2454.23,7.01450e-16
2454.76,6.45318e-16
2455.29,5.53471e-16
2455.81,5.75368e-16
2456.34,8.03271e-16
2456.86,9.89082e-16
2457.39,1.15579e-15
2457.91,1.50747e-15
2458.44,1.62825e-15
2458.96,1.71034e-15
2459.49,1.95138e-15
2460.02,2.07013e-15
2460.54,2.13188e-15
2461.07,2.12538e-15
2461.59,2.20980e-15
2462.12,1.97537e-15
2462.64,2.04082e-15
2463.17,2.21987e-15
2463.70,2.30357e-15
