Wavelength (Ang),Flux
2221.09,2.23734e-15
2221.62,1.98639e-15
2222.14,1.86388e-15
2222.67,2.20749e-15
2223.19,2.27467e-15
2223.72,2.01923e-15
2224.24,1.07196e-15
2224.76,1.14787e-15
2225.29,8.54741e-16
2225.81,7.98321e-16
2226.34,7.15733e-16
2226.86,7.79227e-16
2227.39,1.12453e-15
2227.91,1.24096e-15
2228.43,1.70781e-15
2228.96,1.74600e-15
2229.48,2.14912e-15
2230.01,2.35901e-15
2230.53,2.28603e-15
2231.06,1.84984e-15
2231.58,2.02147e-15
2232.11,1.87995e-15
2232.63,2.11851e-15
2233.15,1.74685e-15
2233.68,2.03618e-15
2234.20,2.30375e-15
2234.73,1.96095e-15
2235.25,1.91518e-15
2235.78,1.89037e-15
2236.30,2.19194e-15
2236.82,1.87387e-15
2237.35,2.12843e-15
2237.87,2.00579e-15
2238.40,1.98696e-15
2238.92,1.65511e-15
2239.45,1.72674e-15
2239.97,1.39286e-15
2240.50,1.51468e-15
2241.02,1.58832e-15
2241.54,1.12665e-15
2242.07,9.76884e-16
2242.59,8.26639e-16
2243.12,8.40834e-16
2243.64,5.86433e-16
2244.17,7.00141e-16
2244.69,1.11706e-15
2245.22,2.01903e-15
2245.74,1.73387e-15
2246.26,2.25256e-15
2246.79,1.88273e-15
2247.31,2.17723e-15
2247.84,2.33737e-15
2248.36,2.12726e-15
2248.89,1.79018e-15
2249.41,2.17104e-15
2249.94,2.14566e-15
2250.46,1.76836e-15
2250.98,1.91307e-15
2251.51,1.89332e-15
2252.03,2.36587e-15
2252.56,2.26560e-15
2253.08,2.06117e-15
2253.61,1.87415e-15
2254.13,2.10045e-15
2254.66,2.05386e-15
2255.18,1.58561e-15
2255.71,2.12139e-15
2256.23,1.89367e-15
2256.75,2.14049e-15
2257.28,2.01033e-15
2257.80,2.07676e-15
2258.33,2.12208e-15
2258.85,2.17305e-15
2259.38,2.24063e-15
2259.90,1.93633e-15
2260.43,1.96271e-15
2260.95,2.19682e-15
2261.48,1.60659e-15
2262.00,2.24940e-15
2262.53,2.07928e-15
2263.05,2.06601e-15
2263.57,2.33809e-15
2264.10,1.94461e-15
2264.62,2.24121e-15
2265.15,1.84993e-15
2265.67,2.19897e-15
2266.20,1.93577e-15
2266.72,2.19731e-15
2267.25,1.96718e-15
2267.77,2.07028e-15
2268.30,1.94957e-15
2268.82,1.67158e-15
