Wavelength (Ang),Flux
1590.30,3.22444e-14
1590.66,4.56865e-14
1591.02,6.83326e-15
1591.38,-1.70514e-14
1591.74,3.29483e-16
1592.10,3.05971e-15
1592.46,1.50208e-14
1592.82,1.93397e-15
1593.18,1.41985e-14
1593.55,-5.49114e-15
1593.91,-6.14423e-16
1594.27,-8.18974e-15
1594.63,4.95690e-15
1594.99,2.72713e-15
1595.35,9.97951e-15
1595.71,1.47356e-14
1596.07,6.55106e-15
1596.43,1.43377e-14
1596.79,-4.57523e-16
1597.15,-1.63560e-15
1597.51,1.34090e-15
1597.87,1.38063e-14
1598.23,9.13025e-15
1598.59,1.44630e-14
1598.95,1.95961e-14
1599.31,8.78322e-15
1599.67,1.13911e-14
1600.03,9.57313e-15
1600.39,3.72532e-15
1600.75,1.93471e-14
1601.11,7.97493e-15
1601.47,4.86488e-15
1601.83,1.10938e-14
1602.19,6.32909e-15
1602.55,1.60650e-14
1602.91,7.48188e-15
1603.27,7.48406e-15
1603.63,8.99914e-15
1603.99,6.63393e-15
1604.35,5.24967e-15
1604.71,8.53548e-15
1605.07,1.14007e-14
1605.43,6.94810e-15
1605.79,3.09007e-15
1606.15,5.62837e-15
1606.51,8.35707e-15
1606.87,3.78389e-15
1607.23,4.50015e-15
1607.59,5.96245e-15
1607.95,6.49065e-15
1608.31,3.21525e-15
1608.67,3.71922e-15
1609.03,5.50290e-15
1609.39,9.47021e-15
1609.75,5.82093e-15
1610.11,2.61361e-15
1610.47,2.31204e-15
1610.83,1.30337e-14
1611.19,5.53368e-15
1611.55,7.50897e-15
1611.91,1.32773e-14
1612.27,6.77810e-15
1612.63,9.03621e-15
1612.99,9.58522e-15
1613.35,6.60660e-15
1613.71,7.93919e-15
1614.07,5.92009e-15
1614.43,6.27221e-15
1614.79,9.96803e-15
1615.15,8.44504e-15
1615.51,5.12551e-15
1615.87,1.01817e-14
1616.23,6.34361e-15
1616.59,7.77472e-15
1616.95,7.64761e-15
1617.31,8.26590e-15
1617.67,8.43551e-15
1618.03,8.58365e-15
1618.39,6.91550e-15
1618.75,4.12580e-15
1619.11,7.90655e-15
1619.47,7.21440e-15
1619.83,3.84637e-15
1620.19,7.03930e-15
1620.55,6.53539e-15
1620.91,6.15700e-15
1621.27,6.32904e-15
1621.63,3.34368e-15
1621.99,8.98433e-15
1622.35,7.14010e-15
1622.71,4.62941e-15
1623.07,8.57518e-15
1623.43,7.03596e-15
1623.79,7.38381e-15
1624.15,8.06998e-15
1624.51,6.81702e-15
1624.87,7.26820e-15
1625.23,7.40193e-15
1625.59,4.32799e-15
1625.95,6.75651e-15
1626.31,8.96314e-15
1626.67,5.19541e-15
1627.03,6.56519e-15
1627.39,5.12366e-15
1627.75,5.72845e-15
1628.11,7.37879e-15
1628.47,6.73884e-15
1628.83,5.17231e-15
1629.19,6.30063e-15
1629.55,4.95832e-15
1629.91,6.00905e-15
1630.27,3.23261e-15
1630.63,4.58151e-15
1630.99,5.47947e-15
1631.35,5.34179e-15
1631.71,6.04654e-15
1632.07,5.32542e-15
1632.43,3.57832e-15
1632.79,5.13624e-15
1633.15,3.74239e-15
1633.51,5.84134e-15
1633.87,5.27757e-15
1634.23,5.05126e-15
1634.59,5.18981e-15
1634.95,3.72314e-15
1635.31,5.05138e-15
1635.67,3.62764e-15
1636.03,5.36584e-15
1636.39,5.13092e-15
1636.75,5.07900e-15
1637.11,4.85771e-15
1637.47,4.62784e-15
1637.83,3.99862e-15
1638.19,4.15034e-15
1638.55,3.69060e-15
1638.91,4.13670e-15
1639.27,5.50505e-15
1639.63,3.09067e-15
1639.99,5.47342e-15
1640.35,2.79209e-15
1640.71,4.59461e-15
1641.07,6.55715e-15
1641.43,4.83533e-15
1641.79,4.76793e-15
1642.15,3.77599e-15
1642.51,3.97315e-15
1642.87,3.44321e-15
1643.23,4.14328e-15
1643.59,5.63888e-15
1643.95,3.30280e-15
1644.31,4.94857e-15
1644.67,3.27377e-15
1645.03,4.43885e-15
1645.39,4.77674e-15
1645.75,5.53892e-15
1646.11,3.38368e-15
1646.47,2.97635e-15
1646.83,4.11038e-15
1647.19,4.73146e-15
1647.55,4.37658e-15
1647.91,4.30324e-15
1648.27,3.84025e-15
1648.63,3.67320e-15
1648.99,4.71862e-15
1649.35,4.41122e-15
1649.71,5.77578e-15
1650.07,3.20618e-15
1650.43,4.41034e-15
1650.79,4.20800e-15
1651.15,4.23018e-15
1651.51,5.12321e-15
1651.86,4.28129e-15
1652.22,3.39809e-15
1652.58,3.93712e-15
1652.94,3.69757e-15
1653.30,5.35347e-15
1653.66,4.82937e-15
1654.02,5.90985e-15
1654.38,4.00887e-15
1654.74,3.26139e-15
1655.10,3.68534e-15
1655.46,4.03080e-15
1655.82,5.14958e-15
1656.18,2.96386e-15
1656.54,2.77839e-15
1656.90,3.43663e-15
1657.26,4.43111e-15
1657.62,4.11596e-15
1657.98,3.66292e-15
1658.34,3.54810e-15
1658.70,4.23539e-15
1659.06,4.93953e-15
1659.42,3.49407e-15
1659.78,3.83510e-15
1660.14,3.29203e-15
1660.50,3.70866e-15
1660.86,5.05942e-15
1661.22,4.17182e-15
1661.58,3.40417e-15
1661.94,3.24973e-15
1662.30,3.65702e-15
1662.66,4.00127e-15
1663.02,4.94731e-15
1663.38,3.28548e-15
1663.74,4.17316e-15
1664.10,2.77202e-15
1664.45,4.41112e-15
1664.81,3.48757e-15
1665.17,3.56766e-15
1665.53,4.43019e-15
1665.89,3.14889e-15
1666.25,3.87451e-15
1666.61,3.57491e-15
1666.97,3.00394e-15
1667.33,2.39449e-15
1667.69,3.34600e-15
1668.05,3.62391e-15
1668.41,3.09972e-15
1668.77,2.68403e-15
1669.13,3.20799e-15
1669.49,2.40635e-15
1669.85,3.41935e-15
1670.21,3.51417e-15
1670.57,3.75630e-15
1670.93,4.47186e-15
1671.29,3.69698e-15
1671.65,3.49072e-15
1672.01,3.99893e-15
