Wavelength (Ang),Flux
3540.06,7.39048e-16
3546.19,-2.68262e-16
3552.32,-4.24642e-17
3558.44,9.82575e-17
3564.57,-1.27388e-16
3570.70,-1.98463e-17
3576.83,-1.55657e-17
3582.96,1.11674e-16
3589.09,5.01281e-17
3595.22,4.09882e-17
3601.35,6.81971e-18
3607.48,-5.59460e-18
3613.60,4.82038e-18
3619.73,1.22301e-17
3625.86,3.54426e-18
3631.99,-2.97826e-18
3638.12,1.33403e-17
3644.25,-2.30477e-18
3650.38,1.05854e-17
3656.51,5.76677e-18
3662.63,8.76436e-18
3668.76,-4.79104e-18
3674.89,1.06006e-17
3681.02,1.57271e-17
3687.15,-1.31252e-18
3693.28,1.34728e-18
3699.41,3.78677e-18
3705.54,-1.14560e-18
3711.66,-1.09161e-18
3717.79,-1.03883e-18
3723.92,7.28624e-18
3730.05,8.91772e-18
3736.18,-2.77590e-18
3742.31,-2.65107e-18
3748.44,-4.25968e-18
3754.56,2.11212e-18
3760.69,4.01810e-18
3766.82,4.35763e-20
3772.95,1.89481e-18
3779.08,1.83776e-18
3785.21,1.78690e-18
3791.33,-1.65500e-18
3797.46,-1.61427e-18
3803.59,4.34692e-20
3809.72,4.36486e-20
3815.85,6.27877e-18
3821.98,1.57601e-18
3828.11,4.44146e-20
3834.23,4.49961e-18
3840.36,1.50923e-18
3846.49,2.93489e-18
3852.62,4.57396e-20
3858.75,4.27269e-18
3864.88,1.43861e-18
3871.00,1.69830e-18
3877.13,2.76928e-18
3883.26,1.66336e-18
3889.39,1.64708e-18
3895.52,2.68709e-18
3901.65,3.70748e-18
3907.78,4.70950e-18
3913.90,-1.49033e-18
3920.03,5.58296e-19
3926.16,-4.54475e-19
3932.29,3.55222e-18
3938.42,5.46932e-19
3944.55,4.92634e-20
3950.67,2.41505e-18
3956.80,2.40400e-18
3962.93,5.04327e-20
3969.06,5.84720e-18
3975.19,1.20087e-18
3981.32,5.75731e-18
3987.44,1.19122e-18
3993.57,1.19491e-18
3999.70,-1.09585e-18
4005.83,2.34852e-18
4011.96,-1.08404e-18
4018.09,-2.19599e-18
