Wavelength (Ang),Flux
2222.29,3.96022e-16
2222.80,3.85367e-16
2223.31,4.14557e-16
2223.83,1.63085e-16
2224.34,3.43583e-16
2224.86,4.46908e-16
2225.37,2.77193e-16
2225.89,2.30119e-16
2226.40,3.42559e-16
2226.91,3.52015e-16
2227.43,4.15994e-16
2227.94,3.83380e-16
2228.46,3.56446e-16
2228.97,4.11688e-16
2229.49,3.71930e-16
2230.00,4.35392e-16
2230.52,3.08553e-16
2231.03,3.53028e-16
2231.54,2.45254e-16
2232.06,1.56386e-16
2232.57,1.28680e-16
2233.09,1.27618e-16
2233.60,2.84535e-16
2234.12,2.50481e-16
2234.63,3.25140e-16
2235.14,3.91897e-16
2235.66,3.58068e-16
2236.17,3.15087e-16
2236.69,3.56383e-16
2237.20,4.07732e-16
2237.72,4.10438e-16
2238.23,4.94692e-16
2238.74,3.20669e-16
2239.26,3.43041e-16
2239.77,4.60217e-16
2240.29,3.79991e-16
2240.80,4.56316e-16
2241.31,4.20673e-16
2241.83,3.37214e-16
2242.34,2.39732e-16
2242.86,1.87204e-16
2243.37,2.76639e-16
2243.89,1.87524e-16
2244.40,2.68490e-16
2244.91,3.99947e-16
2245.43,4.13727e-16
2245.94,3.38623e-16
2246.46,4.81829e-16
2246.97,4.71659e-16
2247.48,4.65529e-16
2248.00,3.39064e-16
2248.51,4.10226e-16
2249.03,4.19826e-16
2249.54,3.14435e-16
2250.06,4.15918e-16
2250.57,4.35208e-16
2251.08,5.04734e-16
2251.60,4.55750e-16
2252.11,4.05558e-16
2252.63,5.13052e-16
2253.14,4.31946e-16
2253.65,4.29288e-16
2254.17,3.84905e-16
2254.68,3.65460e-16
2255.20,3.97834e-16
2255.71,3.72332e-16
2256.22,3.57269e-16
2256.74,3.99389e-16
2257.25,4.17646e-16
2257.77,3.68334e-16
2258.28,3.29755e-16
2258.79,3.36446e-16
2259.31,3.11404e-16
2259.82,3.96409e-16
2260.34,4.33635e-16
2260.85,3.51421e-16
2261.36,4.26891e-16
2261.88,4.38198e-16
2262.39,4.04270e-16
2262.91,4.20436e-16
2263.42,3.63438e-16
2263.93,4.47839e-16
2264.45,4.05127e-16
2264.96,4.33146e-16
2265.48,5.09681e-16
2265.99,5.42219e-16
2266.50,4.76205e-16
2267.02,3.82388e-16
2267.53,4.62046e-16
2268.05,4.47622e-16
2268.56,4.99596e-16
2269.07,4.39701e-16
2269.59,4.67908e-16
2270.10,4.91834e-16
2270.62,4.06453e-16
2271.13,4.28504e-16
2271.64,3.07850e-16
2272.16,3.72184e-16
2272.67,2.50206e-16
2273.19,3.35247e-16
2273.70,4.91986e-16
2274.21,4.79892e-16
2274.73,5.65652e-16
2275.24,4.54908e-16
2275.75,3.71870e-16
2276.27,3.32063e-16
2276.78,4.61873e-16
2277.30,4.60819e-16
2277.81,3.83502e-16
2278.32,4.69763e-16
2278.84,3.98266e-16
2279.35,4.46703e-16
2279.86,3.71859e-16
2280.38,2.70889e-16
2280.89,4.77197e-16
2281.41,4.63092e-16
2281.92,4.19347e-16
2282.43,4.17537e-16
2282.95,4.64433e-16
2283.46,4.75138e-16
2283.98,4.33642e-16
2284.49,4.87713e-16
2285.00,4.32159e-16
2285.52,4.53911e-16
2286.03,4.78843e-16
2286.54,3.60774e-16
2287.06,3.85078e-16
2287.57,3.39630e-16
2288.08,5.13352e-16
2288.60,4.06684e-16
2289.11,3.78361e-16
2289.63,3.49000e-16
2290.14,4.38857e-16
2290.65,5.16002e-16
2291.17,4.21518e-16
2291.68,4.52755e-16
2292.19,5.16861e-16
2292.71,4.33575e-16
2293.22,5.16549e-16
2293.74,5.06465e-16
2294.25,6.07972e-16
2294.76,4.86151e-16
2295.28,5.21207e-16
2295.79,5.26365e-16
2296.30,5.44745e-16
2296.82,4.73007e-16
2297.33,5.77985e-16
2297.84,4.00590e-16
2298.36,4.70346e-16
2298.87,5.32762e-16
2299.39,5.08789e-16
2299.90,5.34332e-16
2300.41,5.38719e-16
2300.93,4.71889e-16
2301.44,5.17403e-16
2301.95,5.76847e-16
2302.47,5.46088e-16
2302.98,4.57236e-16
2303.49,5.36016e-16
2304.01,4.45674e-16
2304.52,4.17279e-16
2305.03,5.33680e-16
2305.55,5.26513e-16
2306.06,4.16641e-16
2306.58,4.71122e-16
2307.09,5.04704e-16
2307.60,4.61504e-16
2308.12,4.29449e-16
2308.63,4.51985e-16
2309.14,4.53964e-16
2309.66,4.59281e-16
2310.17,4.68782e-16
2310.68,4.44466e-16
2311.20,4.97808e-16
2311.71,4.93887e-16
2312.22,4.96190e-16
2312.74,5.31535e-16
2313.25,4.95295e-16
2313.76,4.61886e-16
2314.28,4.69292e-16
2314.79,4.45527e-16
2315.30,4.37472e-16
2315.82,5.06098e-16
2316.33,4.25974e-16
2316.84,3.39079e-16
2317.36,4.82358e-16
2317.87,4.01066e-16
2318.39,3.73899e-16
2318.90,3.18643e-16
2319.41,4.36579e-16
2319.93,4.15746e-16
2320.44,4.67529e-16
2320.95,3.25119e-16
2321.47,3.12261e-16
2321.98,1.86760e-16
2322.49,2.33360e-16
2323.01,2.83883e-16
2323.52,2.89730e-16
2324.03,3.08802e-16
2324.55,3.18604e-16
2325.06,4.40756e-16
2325.57,4.12328e-16
2326.09,4.18864e-16
2326.60,4.14111e-16
2327.11,4.56372e-16
2327.63,4.59812e-16
2328.14,4.07983e-16
2328.65,4.80221e-16
2329.17,3.92192e-16
2329.68,4.31127e-16
2330.19,4.38598e-16
2330.71,3.71675e-16
2331.22,4.97750e-16
2331.73,4.20385e-16
2332.25,2.98529e-16
2332.76,2.60337e-16
2333.27,3.92762e-16
2333.78,4.54607e-16
2334.30,4.91676e-16
2334.81,4.06321e-16
2335.32,3.41660e-16
2335.84,3.30110e-16
2336.35,1.89029e-16
2336.86,2.73056e-16
2337.38,2.98143e-16
2337.89,2.56324e-16
2338.40,2.77968e-16
2338.92,3.69039e-16
2339.43,3.85657e-16
2339.94,3.99656e-16
2340.46,5.14444e-16
2340.97,5.25659e-16
2341.48,4.26272e-16
2342.00,3.66495e-16
2342.51,3.84227e-16
2343.02,3.27725e-16
2343.54,3.82875e-16
2344.05,3.83132e-16
2344.56,3.28154e-16
2345.08,4.43670e-16
2345.59,4.75203e-16
2346.10,4.03146e-16
2346.61,4.10895e-16
2347.13,4.44044e-16
2347.64,4.41694e-16
2348.15,2.83245e-16
2348.67,3.26219e-16
2349.18,3.90538e-16
2349.69,3.45994e-16
2350.21,3.09784e-16
2350.72,4.22683e-16
2351.23,3.42286e-16
2351.75,3.61720e-16
2352.26,2.65607e-16
2352.77,3.07802e-16
2353.29,3.28425e-16
2353.80,2.11908e-16
2354.31,9.10586e-17
2354.82,1.40144e-16
2355.34,1.86786e-16
2355.85,3.45430e-16
2356.36,3.65390e-16
2356.88,3.42006e-16
2357.39,4.01517e-16
2357.90,4.36274e-16
2358.42,5.46300e-16
2358.93,4.08749e-16
2359.44,3.83311e-16
2359.96,3.98613e-16
2360.47,4.69826e-16
2360.98,3.90513e-16
2361.49,4.97385e-16
2362.01,4.25221e-16
2362.52,4.49859e-16
2363.03,4.53672e-16
2363.55,4.88017e-16
2364.06,4.50426e-16
2364.57,4.55759e-16
2365.08,4.17360e-16
2365.60,4.02161e-16
2366.11,3.53897e-16
2366.62,3.88884e-16
2367.14,2.61711e-16
2367.65,3.08713e-16
2368.16,2.08070e-16
2368.68,3.13500e-16
2369.19,3.18601e-16
2369.70,4.20749e-16
2370.21,4.16808e-16
2370.73,4.38656e-16
2371.24,3.86459e-16
2371.75,4.06998e-16
2372.27,2.99296e-16
2372.78,2.42039e-16
2373.29,1.86114e-16
