Wavelength (Ang),Flux
2222.29,5.44356e-16
2222.80,4.14407e-16
2223.31,2.18723e-16
2223.83,4.10012e-16
2224.34,4.66271e-16
2224.86,3.77339e-16
2225.37,3.50857e-16
2225.89,4.69609e-16
2226.40,5.14094e-16
2226.91,3.95803e-16
2227.43,3.40037e-16
2227.94,2.50858e-16
2228.46,3.38436e-16
2228.97,5.17781e-16
2229.49,4.12632e-16
2230.00,5.96702e-16
2230.52,5.09810e-16
2231.03,5.00624e-16
2231.54,6.06960e-16
2232.06,5.29520e-16
2232.57,4.71124e-16
2233.09,4.62937e-16
2233.60,5.30960e-16
2234.12,4.81949e-16
2234.63,5.90528e-16
2235.14,5.88784e-16
2235.66,4.14698e-16
2236.17,4.59457e-16
2236.69,4.95359e-16
2237.20,6.64741e-16
2237.72,6.25110e-16
2238.23,6.20968e-16
2238.74,5.94973e-16
2239.26,5.35592e-16
2239.77,4.71708e-16
2240.29,5.02576e-16
2240.80,6.26767e-16
2241.31,6.63211e-16
2241.83,5.78382e-16
2242.34,5.85956e-16
2242.86,4.33126e-16
2243.37,4.89777e-16
2243.89,4.92999e-16
2244.40,4.78932e-16
2244.91,5.67046e-16
2245.43,4.90050e-16
2245.94,6.34410e-16
2246.46,5.79649e-16
2246.97,4.87727e-16
2247.48,5.79045e-16
2248.00,5.24020e-16
2248.51,5.41805e-16
2249.03,5.56354e-16
2249.54,5.27276e-16
2250.06,6.03631e-16
2250.57,5.62731e-16
2251.08,5.81167e-16
2251.60,5.50508e-16
2252.11,5.65613e-16
2252.63,6.30127e-16
2253.14,5.30681e-16
2253.65,5.16241e-16
2254.17,4.93025e-16
2254.68,5.72214e-16
2255.20,5.19989e-16
2255.71,5.46732e-16
2256.22,5.07969e-16
2256.74,5.46092e-16
2257.25,4.77056e-16
2257.77,5.16172e-16
2258.28,5.76959e-16
2258.79,5.11014e-16
2259.31,4.82250e-16
2259.82,5.66074e-16
2260.34,4.65872e-16
2260.85,5.89987e-16
2261.36,6.29394e-16
2261.88,5.82009e-16
2262.39,6.01924e-16
2262.91,5.63949e-16
2263.42,5.18879e-16
2263.93,5.29014e-16
2264.45,5.73062e-16
2264.96,6.27370e-16
2265.48,6.33294e-16
2265.99,6.59436e-16
2266.50,6.76293e-16
2267.02,5.53604e-16
