Wavelength (Ang),Flux
1140.20,7.44868e-14
1140.45,-6.64594e-15
1140.70,6.13254e-14
1140.95,-3.37741e-14
1141.20,-8.29539e-15
1141.46,4.65914e-14
1141.71,5.20633e-14
1141.96,-1.18244e-14
1142.21,3.19933e-14
1142.46,-1.52576e-14
1142.71,1.97458e-14
1142.96,-1.26795e-14
1143.22,-6.16780e-14
1143.47,3.08596e-14
1143.72,-4.31955e-14
1143.97,-3.52619e-14
1144.22,-2.60617e-14
1144.47,-1.09392e-14
1144.73,3.85885e-14
1144.98,4.09496e-16
1145.23,-4.20115e-14
1145.48,7.47207e-14
1145.73,-1.84805e-14
1145.98,-2.22434e-14
1146.23,-4.69009e-14
1146.49,2.90124e-14
1146.74,-2.76280e-14
1146.99,-1.00337e-14
1147.24,-1.75625e-14
1147.49,-1.21381e-14
1147.74,2.26848e-14
1147.99,5.85067e-15
1148.25,-6.65092e-15
1148.50,2.90967e-14
1148.75,-2.67373e-14
1149.00,4.43935e-15
1149.25,6.24515e-15
1149.50,-2.62001e-14
1149.76,7.71826e-15
1150.01,5.22131e-15
1150.26,2.12319e-14
1150.51,-2.06667e-14
1150.76,3.34265e-14
1151.01,3.44987e-14
1151.26,-3.88109e-15
1151.52,2.60258e-14
1151.77,8.43852e-17
1152.02,5.30568e-15
1152.27,-4.37597e-15
1152.52,1.10751e-14
1152.77,-2.78762e-15
1153.03,1.25712e-14
1153.28,1.71036e-14
1153.53,3.53094e-14
1153.78,1.35119e-14
1154.03,1.38982e-14
1154.28,-1.58751e-14
1154.54,2.44542e-14
1154.79,4.38246e-15
1155.04,1.28876e-15
1155.29,-1.40496e-14
1155.54,3.18516e-14
1155.79,-3.31461e-15
1156.04,1.23110e-15
1156.30,4.05026e-15
1156.55,2.71048e-14
1156.80,5.49965e-15
1157.05,-2.10054e-14
1157.30,2.15525e-15
1157.55,4.19275e-15
1157.81,6.31342e-16
1158.06,5.53888e-15
1158.31,-1.40524e-14
1158.56,6.32833e-15
1158.81,1.50452e-15
1159.06,1.96004e-14
1159.32,-1.65991e-14
1159.57,-2.04914e-15
1159.82,9.18413e-15
1160.07,-2.46741e-15
1160.32,-1.10742e-14
1160.57,-2.29781e-15
1160.83,-3.38438e-15
1161.08,-6.53922e-15
1161.33,1.01758e-14
1161.58,1.25126e-14
1161.83,1.32316e-14
1162.08,2.77684e-15
1162.34,1.80669e-15
1162.59,1.31496e-15
1162.84,2.08519e-14
1163.09,-1.56596e-14
1163.34,7.09105e-15
1163.59,-2.84489e-15
1163.85,-4.18268e-15
1164.10,-1.46351e-15
1164.35,4.43236e-15
1164.60,2.11467e-15
1164.85,5.60816e-15
1165.10,8.42847e-15
1165.36,-8.10484e-15
1165.61,-1.18309e-15
1165.86,-3.13033e-15
1166.11,1.46141e-14
1166.36,-6.14092e-15
1166.62,3.87769e-15
1166.87,-1.39616e-15
1167.12,1.47424e-14
1167.37,1.96880e-15
1167.62,1.02352e-14
1167.87,-7.13654e-15
1168.13,1.33142e-14
1168.38,1.11080e-14
1168.63,-4.85383e-15
1168.88,2.67310e-14
1169.13,1.94877e-14
1169.38,8.22214e-15
1169.64,1.50719e-15
1169.89,9.34441e-16
1170.14,-8.07298e-15
1170.39,8.20463e-15
1170.64,9.25789e-15
1170.90,-9.33799e-15
1171.15,5.09751e-15
1171.40,3.35908e-15
1171.65,1.15853e-14
1171.90,4.96984e-15
1172.15,-3.53680e-16
1172.41,1.29711e-14
1172.66,3.66909e-15
1172.91,-7.09697e-15
1173.16,-3.57248e-15
1173.41,7.53852e-15
1173.66,1.31960e-14
1173.92,8.67894e-15
1174.17,-2.92262e-15
1174.42,3.18130e-15
1174.67,9.20865e-15
1174.92,-6.11301e-15
1175.18,5.09097e-15
1175.43,4.41432e-15
