Wavelength (Ang),Flux
1590.30,-5.73357e-15
1590.66,-5.30282e-16
1591.02,1.67010e-14
1591.38,1.93439e-14
1591.74,1.46585e-14
1592.10,-6.48634e-15
1592.46,3.51719e-15
1592.82,-1.00290e-14
1593.18,2.13916e-14
1593.55,-2.66686e-16
1593.91,6.23961e-15
1594.27,-7.10293e-15
1594.63,-6.05119e-15
1594.99,-1.57642e-15
1595.35,3.02371e-15
1595.71,2.91583e-15
1596.07,4.21145e-16
1596.43,4.46620e-15
1596.79,6.10600e-15
1597.15,-1.96352e-16
1597.51,1.06831e-14
1597.87,9.55608e-16
1598.23,5.47995e-15
1598.59,3.64333e-16
1598.95,-2.38561e-15
1599.31,-7.09507e-16
1599.67,-6.76244e-16
1600.03,-7.68444e-15
1600.39,4.64951e-15
1600.75,6.61029e-16
1601.11,-1.30756e-16
1601.47,7.07932e-15
1601.83,2.23096e-16
1602.19,5.34124e-16
1602.55,-4.44306e-15
1602.91,1.97550e-15
1603.27,-9.64477e-16
1603.63,4.63983e-15
1603.99,1.23863e-15
1604.35,3.00862e-15
1604.71,-8.34519e-16
1605.07,-1.04713e-15
1605.43,8.38850e-16
1605.79,5.41033e-15
1606.15,4.57937e-15
1606.51,3.78417e-15
1606.87,3.33176e-15
1607.23,2.39072e-15
1607.59,2.58865e-15
1607.95,7.78298e-16
1608.31,2.77363e-15
1608.67,-4.58384e-16
1609.03,-8.52982e-16
1609.39,2.05448e-15
1609.75,-6.29212e-17
1610.11,-6.07457e-17
1610.47,-2.32510e-16
1610.83,1.44710e-15
1611.19,9.18985e-16
1611.55,1.54203e-15
1611.91,1.01870e-16
1612.27,8.49492e-16
1612.63,5.28141e-16
1612.99,-8.87354e-16
1613.35,3.63023e-16
1613.71,-3.07595e-16
1614.07,8.55384e-16
1614.43,9.64902e-16
1614.79,8.20901e-16
1615.15,1.52027e-15
1615.51,1.19813e-15
1615.87,7.01129e-16
1616.23,1.20417e-15
1616.59,3.05084e-16
1616.95,2.14515e-15
1617.31,9.56184e-16
1617.67,1.18077e-15
1618.03,3.63231e-16
1618.39,5.12183e-16
1618.75,-2.65979e-16
1619.11,7.21610e-16
1619.47,5.56691e-16
1619.83,1.83175e-16
1620.19,1.59580e-15
1620.55,1.31385e-15
1620.91,7.45422e-16
1621.27,8.11225e-16
1621.63,-5.16564e-16
1621.99,7.04119e-16
1622.35,4.91098e-16
1622.71,7.34638e-16
1623.07,1.46972e-15
1623.43,6.42714e-16
1623.79,1.75401e-15
1624.15,-2.01600e-16
1624.51,4.84761e-16
1624.87,9.24936e-16
1625.23,1.02713e-15
1625.59,9.54408e-16
1625.95,7.75525e-16
1626.31,9.48974e-16
1626.67,8.58691e-16
1627.03,4.91092e-16
1627.39,2.90530e-16
1627.75,2.81570e-16
1628.11,6.35681e-17
1628.47,5.21563e-16
1628.83,8.05664e-16
1629.19,6.31287e-16
1629.55,3.01172e-16
1629.91,-5.99329e-17
1630.27,1.05911e-15
1630.63,1.08934e-15
1630.99,1.18064e-15
1631.35,6.47437e-16
1631.71,1.08255e-15
1632.07,4.03589e-16
1632.43,4.60834e-16
1632.79,6.15660e-16
1633.15,-1.76102e-17
1633.51,8.43249e-16
1633.87,5.90065e-16
1634.23,1.05464e-15
1634.59,4.84981e-16
1634.95,7.15610e-16
1635.31,2.49937e-16
1635.67,8.38778e-16
1636.03,8.40344e-16
1636.39,5.24804e-16
1636.75,8.25368e-17
1637.11,5.34069e-16
1637.47,6.79380e-16
1637.83,7.64548e-16
1638.19,6.39402e-16
1638.55,9.32711e-16
1638.91,1.13177e-15
1639.27,5.10160e-16
1639.63,5.60677e-16
1639.99,5.22705e-16
1640.35,1.05212e-15
1640.71,6.91757e-16
1641.07,2.55110e-16
1641.43,4.39503e-16
1641.79,5.85180e-16
1642.15,3.44882e-16
1642.51,6.36748e-16
1642.87,-5.34724e-17
1643.23,5.71081e-16
1643.59,5.44495e-16
1643.95,4.59349e-16
1644.31,8.84787e-16
1644.67,3.30317e-16
1645.03,7.60526e-16
1645.39,9.96041e-16
1645.75,3.12293e-16
1646.11,6.98102e-16
1646.47,6.32879e-16
1646.83,2.98127e-16
1647.19,5.71227e-16
1647.55,3.37147e-16
1647.91,5.99932e-16
1648.27,5.47581e-16
1648.63,7.50791e-16
1648.99,3.54959e-16
1649.35,7.07604e-16
1649.71,4.47606e-16
1650.07,4.26093e-16
1650.43,1.01473e-15
1650.79,6.03002e-16
1651.15,9.80894e-16
1651.51,7.62086e-16
1651.86,6.83217e-16
1652.22,9.10989e-16
1652.58,7.49334e-16
1652.94,6.94729e-16
1653.30,8.10917e-16
1653.66,1.04068e-15
1654.02,8.04379e-16
1654.38,6.76247e-16
1654.74,1.17709e-15
1655.10,5.94968e-16
1655.46,1.14115e-15
1655.82,7.82960e-16
1656.18,5.30622e-16
1656.54,8.34448e-16
1656.90,6.00824e-16
1657.26,9.01596e-16
1657.62,3.93519e-16
1657.98,8.67467e-16
1658.34,7.13138e-16
1658.70,9.84226e-16
1659.06,6.46278e-16
1659.42,8.61382e-16
1659.78,5.36174e-16
1660.14,6.85929e-16
1660.50,8.16312e-16
1660.86,6.58101e-16
1661.22,3.85209e-16
1661.58,9.08387e-16
1661.94,3.61680e-16
1662.30,7.34646e-16
1662.66,3.79621e-16
1663.02,8.25845e-16
1663.38,1.03168e-15
1663.74,5.21651e-16
1664.10,5.20643e-16
1664.45,5.73854e-16
1664.81,5.27936e-16
1665.17,6.67743e-16
1665.53,7.60863e-16
1665.89,6.83628e-16
1666.25,5.59450e-16
1666.61,6.74512e-16
1666.97,5.67596e-16
1667.33,6.46572e-16
1667.69,5.92555e-16
1668.05,8.90617e-16
1668.41,4.93584e-16
1668.77,4.92495e-16
1669.13,4.08816e-16
1669.49,5.55658e-16
1669.85,2.82823e-16
1670.21,2.11361e-16
1670.57,2.60840e-16
1670.93,7.89836e-16
1671.29,7.45217e-16
1671.65,5.76239e-16
1672.01,5.01876e-16
1672.37,5.90199e-16
1672.73,6.02899e-16
1673.09,6.07032e-16
1673.45,1.81119e-16
1673.81,4.47604e-16
1674.17,6.37859e-16
1674.52,1.81757e-16
1674.88,4.43289e-16
1675.24,4.50316e-16
1675.60,6.90113e-16
1675.96,4.87184e-16
1676.32,5.38895e-16
1676.68,5.65303e-16
1677.04,4.08329e-16
1677.40,5.63455e-16
1677.76,4.91265e-16
1678.12,7.25201e-16
1678.48,6.98262e-16
1678.84,4.70700e-16
1679.20,6.76550e-16
1679.56,4.62778e-16
1679.92,5.01372e-16
1680.28,3.68332e-16
1680.64,3.14435e-16
1681.00,4.33350e-16
1681.36,4.69420e-16
1681.72,3.88071e-16
1682.08,3.83570e-16
1682.44,3.89022e-16
1682.79,1.29200e-16
1683.15,4.33637e-16
1683.51,6.97591e-16
1683.87,4.56484e-16
1684.23,2.66410e-16
1684.59,3.17898e-16
1684.95,6.70019e-16
1685.31,6.22412e-16
1685.67,6.05842e-16
1686.03,5.83917e-16
1686.39,4.04577e-16
1686.75,3.97164e-16
1687.11,2.89329e-16
1687.47,4.43573e-16
1687.83,3.23196e-16
1688.19,4.30897e-16
1688.55,5.48455e-16
1688.91,3.55537e-16
1689.27,4.36758e-16
1689.63,7.73018e-16
1689.98,3.48597e-16
1690.34,4.38168e-16
1690.70,4.55277e-16
1691.06,3.32951e-16
1691.42,1.62303e-16
1691.78,4.19253e-16
1692.14,4.86065e-16
1692.50,6.12150e-16
1692.86,6.68554e-16
1693.22,5.08876e-16
1693.58,4.08691e-16
1693.94,5.07739e-16
1694.30,6.41558e-16
1694.66,5.02708e-16
1695.02,6.01558e-16
1695.38,7.00718e-16
1695.74,6.37856e-16
1696.10,5.81276e-16
1696.46,4.52105e-16
1696.81,6.79832e-16
1697.17,5.52243e-16
1697.53,3.70132e-16
1697.89,7.76114e-16
1698.25,5.45632e-16
1698.61,5.60888e-16
1698.97,6.56339e-16
1699.33,7.38457e-16
1699.69,4.00886e-16
1700.05,4.99071e-16
1700.41,6.15318e-16
1700.77,2.78788e-16
1701.13,2.79966e-16
1701.49,2.89401e-16
1701.85,2.54252e-16
1702.21,5.81395e-16
1702.57,5.01979e-16
1702.92,4.65290e-16
1703.28,4.98989e-16
1703.64,1.22878e-16
1704.00,4.14853e-16
1704.36,3.55293e-16
1704.72,3.72442e-16
1705.08,2.93468e-16
1705.44,4.29575e-16
1705.80,3.79523e-16
1706.16,4.52603e-16
1706.52,5.53377e-16
1706.88,5.93533e-16
1707.24,4.81112e-16
1707.60,6.41145e-16
1707.96,5.45060e-16
1708.32,6.34306e-16
1708.67,6.62024e-16
1709.03,5.98580e-16
1709.39,3.94928e-16
1709.75,8.09673e-16
1710.11,6.10284e-16
1710.47,5.23036e-16
1710.83,4.73733e-16
1711.19,4.93659e-16
1711.55,5.99180e-16
1711.91,5.72274e-16
1712.27,3.72225e-16
1712.63,3.39949e-16
1712.99,6.70313e-16
1713.35,6.08971e-16
1713.71,5.46930e-16
1714.06,7.51040e-16
1714.42,5.86732e-16
1714.78,5.68315e-16
1715.14,5.08544e-16
1715.50,8.30281e-16
1715.86,4.21086e-16
1716.22,4.35299e-16
1716.58,6.82979e-16
1716.94,4.11509e-16
1717.30,4.28807e-16
1717.66,5.84495e-16
