Wavelength (Ang),Flux
1590.30,-3.98879e-14
1590.66,-1.83216e-14
1591.02,-8.61047e-16
1591.38,-1.19762e-15
1591.74,3.80610e-15
1592.10,-7.79282e-15
1592.46,-5.34606e-15
1592.82,4.88054e-15
1593.18,-5.83823e-15
1593.55,-3.72402e-15
1593.91,8.08727e-15
1594.27,-1.97755e-15
1594.63,-1.09523e-14
1594.99,-2.71364e-15
1595.35,-4.90257e-15
1595.71,-7.32092e-15
1596.07,-7.41596e-15
1596.43,-7.23574e-16
1596.79,-2.10815e-15
1597.15,1.21727e-15
1597.51,7.82469e-16
1597.87,1.06162e-15
1598.23,-6.86502e-15
1598.59,-8.27208e-16
1598.95,-2.17968e-15
1599.31,-5.05370e-16
1599.67,5.05217e-15
1600.03,1.64359e-15
1600.39,-1.74155e-15
1600.75,-7.24661e-16
1601.11,-4.45725e-15
1601.47,-1.65496e-15
1601.83,-3.19800e-15
1602.19,6.87210e-16
1602.55,1.68400e-15
1602.91,-2.85272e-15
1603.27,-2.43507e-15
1603.63,1.19836e-15
1603.99,-1.30421e-15
1604.35,-1.01263e-16
1604.71,-2.30125e-15
1605.07,-7.60816e-16
1605.43,-3.13109e-15
1605.79,5.47876e-16
1606.15,-1.44787e-15
1606.51,1.94292e-15
1606.87,-1.88838e-16
1607.23,1.13973e-15
1607.59,-1.80146e-15
1607.95,-5.36995e-16
1608.31,3.89148e-16
1608.67,-1.11006e-15
1609.03,4.91589e-17
1609.39,-1.07303e-15
1609.75,-3.11174e-16
1610.11,-1.06180e-15
1610.47,1.15380e-18
1610.83,-4.15635e-16
1611.19,1.81796e-15
1611.55,7.51276e-16
1611.91,2.12894e-16
1612.27,4.55046e-16
1612.63,-1.63731e-16
1612.99,1.97965e-15
1613.35,-4.20558e-16
1613.71,8.05557e-16
1614.07,-3.97657e-16
1614.43,-8.78486e-16
1614.79,1.67687e-16
1615.15,-4.33044e-17
1615.51,1.38697e-16
1615.87,6.04406e-16
1616.23,-6.37938e-16
1616.59,-4.23266e-16
1616.95,2.66408e-16
1617.31,-9.40229e-16
1617.67,-4.66055e-16
1618.03,3.13470e-16
1618.39,8.56505e-16
1618.75,5.81924e-18
1619.11,-2.05651e-16
1619.47,-2.82693e-16
1619.83,-7.93464e-16
1620.19,6.73877e-16
1620.55,-2.14095e-16
1620.91,8.47408e-17
1621.27,3.76361e-16
1621.63,-3.03347e-16
1621.99,3.18985e-16
1622.35,4.39571e-16
1622.71,3.03484e-16
1623.07,1.07530e-16
1623.43,3.08071e-16
1623.79,3.03234e-16
1624.15,2.43731e-16
1624.51,3.97465e-16
1624.87,1.89241e-16
1625.23,-3.20345e-16
1625.59,6.70803e-16
1625.95,5.66676e-16
1626.31,5.15339e-16
1626.67,4.80195e-16
1627.03,6.61603e-16
1627.39,7.81562e-16
1627.75,4.84118e-16
1628.11,-3.27574e-16
1628.47,9.05989e-16
1628.83,6.20391e-16
1629.19,3.54409e-17
1629.55,4.48387e-16
1629.91,5.26967e-16
1630.27,1.25240e-18
1630.63,4.37697e-16
1630.99,-1.39175e-16
1631.35,2.53095e-16
1631.71,3.61549e-16
1632.07,7.68585e-16
1632.43,4.62644e-16
1632.79,1.39160e-16
1633.15,3.81395e-16
1633.51,4.25008e-16
1633.87,5.88551e-16
1634.23,6.03271e-16
1634.59,4.48354e-16
1634.95,5.70694e-16
1635.31,8.52638e-16
1635.67,-4.25582e-17
1636.03,7.65089e-17
