Wavelength (Ang),Flux
2222.29,9.35723e-16
2222.80,1.22205e-15
2223.31,7.16151e-16
2223.83,4.78709e-16
2224.34,8.19483e-16
2224.86,7.82334e-16
2225.37,9.84545e-16
2225.89,7.00789e-16
2226.40,8.17762e-16
2226.91,8.84251e-16
2227.43,1.02267e-15
2227.94,9.24515e-16
2228.46,9.34222e-16
2228.97,8.17106e-16
2229.49,9.26423e-16
2230.00,1.09761e-15
2230.52,7.24887e-16
2231.03,9.06240e-16
2231.54,7.74315e-16
2232.06,7.98833e-16
2232.57,7.83773e-16
2233.09,6.91121e-16
2233.60,7.26365e-16
2234.12,9.17044e-16
2234.63,6.58817e-16
2235.14,8.21289e-16
2235.66,8.04354e-16
2236.17,9.32390e-16
2236.69,6.97265e-16
2237.20,8.38944e-16
2237.72,8.97050e-16
2238.23,8.48996e-16
2238.74,8.09416e-16
2239.26,8.40201e-16
2239.77,8.46551e-16
2240.29,9.33332e-16
2240.80,6.49476e-16
2241.31,8.12186e-16
2241.83,5.57738e-16
2242.34,8.89363e-16
2242.86,9.80789e-16
2243.37,7.22988e-16
2243.89,8.42187e-16
2244.40,8.39027e-16
2244.91,6.20019e-16
2245.43,1.03090e-15
2245.94,7.61971e-16
2246.46,9.26076e-16
2246.97,8.18706e-16
2247.48,8.70883e-16
2248.00,1.00687e-15
2248.51,7.66557e-16
2249.03,6.69324e-16
2249.54,8.03304e-16
2250.06,8.35140e-16
2250.57,7.66181e-16
2251.08,8.28574e-16
2251.60,7.63043e-16
2252.11,1.00036e-15
2252.63,8.25038e-16
2253.14,8.11457e-16
2253.65,7.50851e-16
2254.17,8.46708e-16
2254.68,6.37538e-16
2255.20,1.01121e-15
2255.71,6.96983e-16
2256.22,7.67809e-16
2256.74,9.50474e-16
2257.25,6.98988e-16
2257.77,8.11997e-16
2258.28,9.50954e-16
2258.79,9.41017e-16
2259.31,7.99498e-16
2259.82,8.12557e-16
2260.34,8.13791e-16
2260.85,9.69559e-16
2261.36,8.80757e-16
2261.88,8.09413e-16
2262.39,9.04651e-16
2262.91,8.91872e-16
2263.42,8.99555e-16
2263.93,7.52605e-16
2264.45,9.47259e-16
2264.96,9.63702e-16
2265.48,8.09534e-16
2265.99,7.87458e-16
2266.50,1.03077e-15
2267.02,8.50972e-16
2267.53,8.43472e-16
2268.05,6.77924e-16
2268.56,8.75542e-16
2269.07,9.22297e-16
2269.59,1.02255e-15
2270.10,7.62554e-16
2270.62,8.24493e-16
2271.13,7.57802e-16
2271.64,8.28947e-16
2272.16,8.11293e-16
2272.67,1.00139e-15
2273.19,8.30714e-16
2273.70,5.91420e-16
2274.21,1.03840e-15
2274.73,6.78501e-16
2275.24,8.95147e-16
2275.75,6.05672e-16
2276.27,8.76329e-16
2276.78,7.73889e-16
2277.30,6.64728e-16
