Wavelength (Ang),Flux
4569.10,6.07703e-16
4570.20,5.05009e-16
4571.30,7.10448e-16
4572.39,4.53677e-16
4573.49,5.57015e-16
4574.59,6.10487e-16
4575.69,6.22625e-16
4576.78,5.99994e-16
4577.88,6.36284e-16
4578.98,6.06771e-16
4580.08,5.53852e-16
4581.17,5.41651e-16
4582.27,5.85086e-16
4583.37,6.68364e-16
4584.46,5.71227e-16
4585.56,6.51625e-16
4586.66,5.81072e-16
4587.76,6.15311e-16
4588.85,6.56931e-16
4589.95,6.37779e-16
4591.05,5.86233e-16
4592.14,5.96136e-16
4593.24,6.76852e-16
4594.34,6.23340e-16
4595.44,5.58788e-16
4596.53,6.37088e-16
4597.63,5.28541e-16
4598.73,6.01037e-16
4599.82,5.91969e-16
4600.92,5.60835e-16
4602.02,6.26772e-16
4603.11,5.72574e-16
4604.21,5.05298e-16
4605.31,5.84146e-16
4606.41,5.53901e-16
4607.50,5.58074e-16
4608.60,6.53724e-16
4609.70,5.67223e-16
4610.79,5.79167e-16
4611.89,5.22424e-16
4612.99,5.52736e-16
4614.08,5.17955e-16
4615.18,5.59017e-16
4616.28,5.80706e-16
4617.37,6.05545e-16
4618.47,6.25145e-16
4619.57,6.10036e-16
4620.66,5.61345e-16
4621.76,6.09856e-16
4622.86,4.98220e-16
4623.95,6.87067e-16
4625.05,5.88291e-16
4626.15,5.74923e-16
4627.24,6.51564e-16
4628.34,5.82785e-16
4629.44,5.34017e-16
4630.53,5.94161e-16
4631.63,5.65383e-16
4632.73,4.61758e-16
4633.82,5.81392e-16
4634.92,5.58312e-16
4636.02,5.56067e-16
4637.11,6.40710e-16
4638.21,4.95637e-16
4639.31,6.44202e-16
4640.40,5.15438e-16
4641.50,5.91883e-16
4642.60,6.07272e-16
4643.69,5.36464e-16
4644.79,5.34428e-16
4645.89,6.06830e-16
4646.98,6.00329e-16
4648.08,5.89287e-16
4649.17,6.13598e-16
4650.27,5.47776e-16
4651.37,6.20374e-16
4652.46,4.99703e-16
4653.56,5.67951e-16
4654.66,5.18022e-16
4655.75,5.58423e-16
4656.85,6.10145e-16
4657.95,5.12852e-16
4659.04,6.17680e-16
4660.14,6.33885e-16
4661.23,5.21347e-16
4662.33,6.04252e-16
4663.43,5.26302e-16
4664.52,6.27029e-16
4665.62,6.12016e-16
4666.71,6.38979e-16
4667.81,5.85159e-16
4668.91,5.72449e-16
4670.00,6.17503e-16
4671.10,5.79324e-16
4672.20,5.65463e-16
4673.29,6.32329e-16
4674.39,6.33454e-16
4675.48,5.47796e-16
4676.58,5.89143e-16
4677.68,5.68464e-16
4678.77,6.43456e-16
4679.87,5.82748e-16
4680.96,6.33706e-16
4682.06,6.11721e-16
4683.16,5.41993e-16
4684.25,5.33414e-16
4685.35,5.41894e-16
4686.44,5.76934e-16
4687.54,6.99601e-16
4688.63,5.55011e-16
4689.73,6.92942e-16
4690.83,7.11959e-16
4691.92,6.60489e-16
4693.02,5.37713e-16
4694.11,6.89398e-16
4695.21,5.77219e-16
4696.31,5.12715e-16
4697.40,6.08663e-16
4698.50,5.05533e-16
4699.59,6.69277e-16
4700.69,6.74600e-16
4701.78,5.84860e-16
4702.88,6.91625e-16
4703.98,6.44495e-16
4705.07,6.12533e-16
4706.17,6.38061e-16
