Wavelength (Ang),Flux
1153.03,2.95901e-14
1153.28,-1.55260e-14
1153.53,-6.81117e-15
1153.78,2.34562e-15
1154.03,-2.00968e-14
1154.28,-2.89480e-14
1154.54,-2.50138e-16
1154.79,1.07333e-14
1155.04,6.65978e-15
1155.29,4.96909e-15
1155.54,1.04703e-16
1155.79,-1.12290e-14
1156.04,-8.17488e-15
1156.30,6.27534e-15
1156.55,7.20071e-15
1156.80,3.04582e-15
1157.05,-4.29980e-15
1157.30,1.63226e-15
1157.55,5.54253e-15
1157.81,-4.04113e-15
1158.06,-3.94003e-15
1158.31,-6.42086e-15
1158.56,-5.11140e-15
1158.81,-1.20064e-16
1159.06,-6.12388e-15
1159.32,-3.63889e-15
1159.57,-1.13231e-14
1159.82,-1.12185e-14
1160.07,8.03805e-15
1160.32,-4.52135e-15
1160.57,-1.28254e-15
1160.83,1.52492e-14
1161.08,-4.19822e-15
1161.33,-1.08362e-14
1161.58,1.38438e-15
1161.83,7.77987e-15
1162.08,-8.82731e-15
1162.34,1.27255e-14
1162.59,2.06109e-14
1162.84,-7.08266e-15
1163.09,-1.15306e-14
1163.34,1.01373e-15
1163.59,-3.29675e-15
1163.85,-5.80715e-15
1164.10,2.27492e-15
1164.35,1.16112e-14
1164.60,-2.24109e-15
1164.85,-6.64823e-15
1165.10,-3.11689e-15
1165.36,2.11402e-15
1165.61,1.61997e-15
1165.86,-3.30661e-15
1166.11,-3.25548e-15
1166.36,3.43956e-15
1166.62,1.24037e-16
1166.87,-1.42154e-15
1167.12,2.49287e-15
1167.37,1.07446e-14
1167.62,-3.00461e-15
1167.87,-1.48244e-15
1168.13,1.23875e-16
1168.38,-3.62065e-15
1168.63,-6.43740e-16
1168.88,-4.16585e-15
1169.13,-2.00576e-15
1169.38,-7.54611e-16
1169.64,-4.70360e-15
1169.89,4.18607e-15
1170.14,-6.10335e-16
1170.39,1.25345e-16
1170.64,-1.87264e-15
1170.90,-2.53968e-15
1171.15,-6.87989e-15
1171.40,-4.34683e-15
1171.65,-3.16775e-15
1171.90,6.47197e-18
1172.15,3.12108e-15
1172.41,6.23088e-15
1172.66,-3.07618e-15
1172.91,-2.39641e-15
1173.16,1.22146e-17
1173.41,-1.06569e-15
1173.66,-1.17054e-15
1173.92,1.01216e-14
1174.17,-1.12650e-15
1174.42,-3.99488e-15
1174.67,-5.59966e-15
1174.92,-5.10006e-15
1175.18,-6.81784e-15
1175.43,-5.57683e-15
1175.68,-2.10237e-15
1175.93,-4.77742e-16
1176.18,5.03319e-15
1176.43,1.28871e-16
1176.69,-4.81507e-15
1176.94,6.84736e-15
1177.19,1.15483e-15
1177.44,1.14057e-15
1177.69,-5.55771e-15
1177.95,-8.72907e-16
1178.20,2.67235e-15
1178.45,-4.22243e-16
1178.70,9.23038e-15
1178.95,3.11618e-15
1179.20,-2.50011e-15
1179.46,3.20062e-15
1179.71,-2.92500e-15
1179.96,-2.36186e-15
1180.21,3.58192e-15
1180.46,4.11096e-15
1180.72,-1.89843e-15
1180.97,6.56873e-16
1181.22,1.29161e-16
1181.47,3.41025e-15
1181.72,-5.47363e-15
1181.98,1.09777e-15
1182.23,8.50161e-15
