,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,3236.93,2.94969e-17,1.63993e-17
1,1,3237.68,2.20625e-17,1.46624e-17
2,2,3238.44,1.472492e-17,6.3410800000000014e-18
3,3,3239.19,2.2039e-17,9.432390000000001e-18
4,4,3239.94,1.1060718e-17,8.13612e-18
5,5,3240.7,1.834862e-17,9.40851e-18
6,6,3241.45,1.2271920000000001e-17,6.6386400000000015e-18
7,7,3242.21,2.69053e-17,9.12322e-18
8,8,3242.96,3.43353e-17,9.712800000000001e-18
9,9,3243.71,0.0,4.194e-18
10,10,3244.47,7.369250000000001e-18,5.169660000000001e-18
11,11,3245.22,1.840746e-17,6.8081300000000015e-18
12,12,3245.98,1.288345e-17,5.91222e-18
13,13,3246.73,2.0166870000000002e-17,7.02817e-18
14,14,3247.48,3.0299699999999997e-18,3.84603e-18
15,15,3248.24,5.93963e-18,4.36883e-18
16,16,3248.99,1.9093770000000002e-17,6.19988e-18
17,17,3249.74,1.3235710000000001e-17,5.47107e-18
18,18,3250.5,1.322772e-17,5.399020000000001e-18
19,19,3251.25,1.1764125e-17,5.134240000000001e-18
20,20,3252.01,1.320434e-17,5.3530000000000015e-18
21,21,3252.76,2.17859e-17,6.41215e-18
22,22,3253.51,1.601897e-17,5.6908500000000016e-18
23,23,3254.27,3.44714e-17,7.64115e-18
24,24,3255.02,2.745e-17,6.98985e-18
25,25,3255.78,1.0312150000000001e-17,4.9302400000000014e-18
26,26,3256.53,2.45843e-17,6.5790800000000004e-18
27,27,3257.28,3.3061900000000004e-17,7.48007e-18
28,28,3258.04,4.44306e-17,8.44566e-18
29,29,3258.79,2.4537700000000002e-17,6.6460100000000004e-18
30,30,3259.54,3.16599e-17,7.364630000000001e-18
31,31,3260.3,4.16464e-17,8.29216e-18
32,32,3261.05,3.3120300000000004e-17,7.54093e-18
33,33,3261.8,4.32482e-17,8.473950000000001e-18
34,34,3262.56,2.89908e-17,7.153330000000001e-18
35,35,3263.31,3.3324800000000003e-17,7.61611e-18
36,36,3264.07,2.6041e-17,6.8623600000000016e-18
37,37,3264.82,2.8782e-17,7.09579e-18
38,38,3265.57,4.28534e-17,8.36556e-18
39,39,3266.33,2.73353e-17,6.94949e-18
40,40,3267.08,3.73424e-17,7.91659e-18
41,41,3267.83,3.02717e-17,7.27121e-18
42,42,3268.59,2.87902e-17,7.078220000000001e-18
43,43,3269.34,4.01171e-17,8.15748e-18
44,44,3270.09,3.00945e-17,7.162890000000001e-18
45,45,3270.85,1.8795960000000002e-17,6.004150000000001e-18
46,46,3271.6,4.3112e-17,8.421600000000001e-18
47,47,3272.36,2.1826e-17,6.421660000000001e-18
48,48,3273.11,2.1921500000000002e-17,6.37358e-18
49,49,3273.86,2.62606e-17,6.954970000000001e-18
50,50,3274.62,2.61353e-17,6.912240000000001e-18
51,51,3275.37,3.02631e-17,7.27232e-18
52,52,3276.12,3.86553e-17,7.989170000000001e-18
53,53,3276.88,2.7212e-17,6.85532e-18
54,54,3277.63,2.0112820000000002e-17,6.010320000000001e-18
55,55,3278.38,3.26877e-17,7.40369e-18
56,56,3279.14,2.29038e-17,6.3788700000000016e-18
57,57,3279.89,1.8721810000000003e-17,5.930310000000001e-18
58,58,3280.64,1.4518240000000002e-17,5.445540000000001e-18
59,59,3281.4,3.1575600000000003e-17,7.37747e-18
60,60,3282.15,1.73812e-17,5.7297300000000004e-18
61,61,3282.91,2.58631e-17,6.49234e-18
