Wavelength (Ang),Flux
4569.10,2.07339e-17
4570.20,3.35513e-17
4571.30,4.58956e-17
4572.39,1.29422e-17
4573.49,1.79387e-17
4574.59,2.96355e-17
4575.69,3.16043e-17
4576.78,2.71806e-17
4577.88,1.85060e-17
4578.98,2.43809e-17
4580.08,2.86539e-17
4581.17,2.01616e-17
4582.27,1.55150e-17
4583.37,8.70182e-18
4584.46,1.18045e-17
4585.56,1.97761e-17
4586.66,1.71963e-17
4587.76,1.28901e-17
4588.85,1.80422e-17
4589.95,1.07395e-17
4591.05,1.71949e-17
4592.14,4.15833e-18
4593.24,8.10736e-18
4594.34,5.26839e-18
4595.44,1.77454e-17
4596.53,3.16932e-18
4597.63,8.70226e-18
4598.73,1.15912e-17
4599.82,6.99018e-18
4600.92,8.96040e-18
4602.02,2.53828e-17
4603.11,1.84869e-17
4604.21,1.21247e-17
4605.31,1.89635e-17
4606.41,1.97726e-17
4607.50,1.80793e-17
4608.60,1.66970e-17
4609.70,9.12037e-18
4610.79,1.26307e-17
4611.89,5.27402e-18
4612.99,1.35088e-17
4614.08,8.78344e-18
4615.18,1.07935e-17
4616.28,1.88092e-17
4617.37,1.11443e-17
4618.47,1.62144e-17
4619.57,1.55138e-17
4620.66,2.05861e-17
4621.76,1.55589e-17
4622.86,2.63511e-17
4623.95,1.27659e-17
4625.05,2.18564e-17
4626.15,2.48224e-17
4627.24,1.02194e-17
4628.34,1.62879e-17
4629.44,2.89523e-18
4630.53,6.93586e-18
4631.63,7.10551e-18
4632.73,1.47624e-17
4633.82,1.59549e-17
4634.92,1.00081e-17
4636.02,1.41883e-17
4637.11,3.16206e-17
4638.21,2.74977e-17
4639.31,2.81324e-17
4640.40,1.90405e-17
4641.50,2.03645e-17
4642.60,1.57422e-17
4643.69,1.83194e-17
4644.79,1.46910e-17
4645.89,1.50171e-17
4646.98,2.11553e-17
4648.08,2.22085e-17
4649.17,1.95133e-17
4650.27,4.82526e-19
4651.37,2.42521e-18
4652.46,-1.42387e-18
4653.56,2.05001e-18
4654.66,-2.41136e-19
4655.75,9.16860e-18
4656.85,1.71557e-17
4657.95,1.21145e-17
4659.04,1.08099e-17
4660.14,6.89502e-18
4661.23,6.27092e-18
4662.33,7.11133e-18
4663.43,1.49828e-17
4664.52,2.15918e-17
4665.62,1.93482e-17
4666.71,1.88354e-17
4667.81,2.53431e-17
4668.91,2.09711e-17
4670.00,2.54454e-17
4671.10,1.89361e-17
4672.20,2.03167e-17
4673.29,2.12056e-17
4674.39,2.26264e-17
4675.48,2.29042e-17
4676.58,2.11108e-17
4677.68,2.19840e-17
4678.77,2.68510e-17
4679.87,1.57672e-17
4680.96,8.66683e-18
4682.06,4.67734e-18
4683.16,1.47711e-17
4684.25,1.84573e-17
4685.35,1.88307e-17
4686.44,1.06287e-17
4687.54,7.84626e-18
4688.63,1.24725e-17
4689.73,1.22170e-17
4690.83,1.19882e-17
4691.92,1.83231e-17
4693.02,1.60550e-17
4694.11,2.42525e-17
4695.21,2.69676e-17
4696.31,2.16097e-17
4697.40,2.23778e-17
4698.50,1.49464e-17
4699.59,2.13462e-17
4700.69,1.30305e-17
4701.78,1.01001e-17
4702.88,1.04278e-17
4703.98,2.11619e-17
4705.07,8.40473e-18
4706.17,1.03125e-17
4707.26,2.07924e-17
4708.36,2.10893e-17
4709.45,1.77953e-17
4710.55,1.49413e-17
4711.65,2.34460e-17
4712.74,2.49236e-17
4713.84,2.43851e-17
4714.93,2.96415e-17
4716.03,2.92252e-17
4717.12,2.12723e-17
4718.22,3.03726e-17
4719.31,2.27093e-17
4720.41,2.63464e-17
4721.50,2.57130e-17
4722.60,2.41055e-17
4723.70,2.55041e-17
4724.79,2.39231e-17
4725.89,2.89576e-17
4726.98,1.81175e-17
4728.08,1.86710e-17
4729.17,1.82658e-17
4730.27,9.33369e-18
4731.36,9.77990e-18
4732.46,1.23853e-17
4733.55,6.04663e-18
4734.65,1.05802e-17
4735.74,1.53105e-17
4736.84,2.14615e-17
4737.93,2.87981e-17
4739.03,2.48786e-17
4740.12,1.65520e-17
4741.22,2.58422e-17
4742.32,2.77201e-17
4743.41,2.50250e-17
4744.51,1.97135e-17
4745.60,1.38245e-17
4746.70,1.30638e-17
4747.79,1.02976e-17
4748.89,1.48335e-17
4749.98,1.95803e-18
4751.08,7.27532e-18
4752.17,5.77994e-18
4753.27,1.04804e-17
4754.36,1.46829e-17
4755.46,2.12607e-17
4756.55,1.35140e-17
4757.65,2.61416e-17
4758.74,2.80105e-17
4759.84,2.44008e-17
4760.93,3.10663e-17
4762.03,3.61007e-17
4763.12,2.94708e-17
4764.22,2.74311e-17
4765.31,2.88940e-17
4766.41,3.33122e-17
4767.50,2.16811e-17
4768.60,1.93869e-17
4769.69,2.50458e-17
4770.79,7.83019e-18
4771.88,1.37902e-17
4772.98,1.77374e-17
4774.07,2.40597e-17
4775.17,1.75980e-17
4776.26,1.88071e-17
4777.35,2.88157e-17
4778.45,2.00830e-17
4779.54,2.41554e-17
4780.64,1.98865e-17
4781.73,3.21589e-17
4782.83,2.78769e-17
4783.92,2.96068e-17
4785.02,3.16814e-17
4786.11,2.65635e-17
4787.21,1.92567e-17
4788.30,4.66681e-17
4789.40,1.91908e-17
4790.49,2.54320e-17
4791.59,2.61079e-17
4792.68,1.63801e-17
4793.77,1.30308e-17
4794.87,7.07829e-18
4795.96,1.20273e-17
4797.06,1.73580e-17
4798.15,2.34154e-17
4799.25,3.29982e-17
4800.34,3.90079e-17
4801.44,3.08787e-17
4802.53,3.64151e-17
4803.63,4.27134e-17
4804.72,3.59774e-17
4805.81,2.43716e-17
4806.91,2.86588e-17
4808.00,2.79597e-17
4809.10,2.23732e-17
4810.19,3.50210e-17
4811.29,1.91990e-17
4812.38,1.77871e-17
4813.48,1.17321e-17
4814.57,4.88011e-18
4815.66,3.87410e-18
4816.76,1.40729e-17
4817.85,7.93410e-18
4818.95,1.94228e-17
4820.04,1.55725e-17
4821.13,1.74642e-17
4822.23,1.81252e-17
4823.32,6.89259e-18
4824.42,7.44032e-18
4825.51,1.22576e-17
4826.61,5.36456e-18
4827.70,1.10772e-17
