Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,2222.29,5.745741e-16,3.36747e-16
1,1,2222.8,5.788921e-16,3.39084e-16
2,2,2223.31,7.028610000000002e-17,1.69576e-16
3,3,2223.83,7.039910000000001e-17,1.69745e-16
4,4,2224.34,6.970910000000002e-17,1.19333e-16
5,5,2224.86,3.222951e-16,1.88401e-16
6,6,2225.37,2.361911e-16,1.67425e-16
7,7,2225.89,3.996141e-16,2.03239e-16
8,8,2226.4,3.4166709999999997e-16,1.55405e-16
9,9,2226.91,4.494171e-16,1.73007e-16
10,10,2227.43,7.794681000000003e-16,2.19315e-16
11,11,2227.94,4.520621e-16,1.73929e-16
12,12,2228.46,4.4291609999999997e-16,1.50141e-16
13,13,2228.97,3.6208409999999996e-16,1.38941e-16
14,14,2229.49,6.191291e-16,1.74213e-16
15,15,2230.0,5.763971e-16,1.68883e-16
16,16,2230.52,8.484681e-16,1.79101e-16
17,17,2231.03,2.385651e-16,1.06789e-16
18,18,2231.54,3.069511e-16,1.17262e-16
19,19,2232.06,4.094751e-16,1.31383e-16
20,20,2232.57,2.737281e-16,1.12492e-16
21,21,2233.09,6.775091e-16,1.61943e-16
22,22,2233.6,4.021491e-16,1.29284e-16
23,23,2234.12,1.9892810000000003e-16,9.89685e-17
24,24,2234.63,1.647501e-16,9.27925e-17
25,25,2235.14,2.3144409999999997e-16,1.04149e-16
26,26,2235.66,4.659291e-16,1.36843e-16
27,27,2236.17,3.360791e-16,1.20579e-16
28,28,2236.69,5.717551e-16,1.49943e-16
29,29,2237.2,6.053591e-16,1.53664e-16
30,30,2237.72,1.6810010000000002e-16,9.42616e-17
31,31,2238.23,2.989991e-16,1.14653e-16
32,32,2238.74,2.652041e-16,1.09529e-16
33,33,2239.26,4.963071e-16,1.40094e-16
34,34,2239.77,3.3304009999999997e-16,1.19634e-16
35,35,2240.29,3.672651e-16,1.24464e-16
36,36,2240.8,3.6920709999999997e-16,1.25047e-16
37,37,2241.31,3.033511e-16,1.16097e-16
38,38,2241.83,3.365551e-16,1.20741e-16
39,39,2242.34,2.682601e-16,1.10606e-16
40,40,2242.86,3.660421e-16,1.24103e-16
41,41,2243.37,2.647421e-16,1.09379e-16
42,42,2243.89,4.581881e-16,1.34798e-16
43,43,2244.4,3.234251e-16,1.16626e-16
44,44,2244.91,2.871651e-16,1.1076e-16
45,45,2245.43,5.405101000000003e-16,1.424e-16
46,46,2245.94,6.332801e-16,1.52093e-16
47,47,2246.46,6.988911e-16,1.59033e-16
48,48,2246.97,3.186951e-16,1.15147e-16
49,49,2247.48,2.8961609999999997e-16,1.11574e-16
50,50,2248.0,2.911011e-16,1.12066e-16
51,51,2248.51,4.545831e-16,1.33846e-16
52,52,2249.03,2.925521e-16,1.12547e-16
53,53,2249.54,3.250011e-16,1.17131e-16
54,54,2250.06,4.200141e-16,1.29271e-16
55,55,2250.57,1.920961e-16,9.62756e-17
56,56,2251.08,3.11837e-17,6.38219e-17
57,57,2251.6,4.113911e-16,1.26893e-16
58,58,2252.11,3.458601e-16,1.18073e-16
59,59,2252.63,2.9721799999999995e-17,6.26543e-17
60,60,2253.14,1.859181e-16,9.38065e-17
61,61,2253.65,1.234841e-16,8.27812e-17
62,62,2254.17,6.10581e-17,7.00608e-17
63,63,2254.68,9.19751e-17,7.65228e-17
64,64,2255.2,2.156561e-16,9.83148e-17
65,65,2255.71,4.324571e-16,1.27967e-16
66,66,2256.22,2.787101e-16,1.07989e-16
67,67,2256.74,3.453181e-16,1.17919e-16
68,68,2257.25,4.468781e-16,1.31809e-16
69,69,2257.77,1.944161e-16,9.72216e-17
70,70,2258.28,2.286031e-16,1.03145e-16
71,71,2258.79,3.910291e-16,1.26137e-16
72,72,2259.31,3.5464309999999996e-16,1.20717e-16
73,73,2259.82,2.229861e-16,1.01055e-16
74,74,2260.34,4.1169309999999997e-16,1.2699e-16
75,75,2260.85,5.349291000000003e-16,1.41071e-16
76,76,2261.36,6.07571e-17,6.98932e-17
77,77,2261.88,3.981971e-16,1.23265e-16
78,78,2262.39,4.242931e-16,1.25803e-16
79,79,2262.91,2.1077610000000003e-16,9.65115e-17
80,80,2263.42,3.061881e-16,1.1125e-16
81,81,2263.93,3.4294409999999996e-16,1.17219e-16
82,82,2264.45,3.479391e-16,1.18716e-16
83,83,2264.96,3.1399200000000005e-17,6.40567e-17
84,84,2265.48,9.59281e-17,7.87124e-17
85,85,2265.99,2.560951e-16,1.06402e-16
86,86,2266.5,3.506951e-16,1.19545e-16
87,87,2267.02,3.788651e-16,1.22656e-16
88,88,2267.53,2.814351e-16,1.08908e-16
89,89,2268.05,2.163901e-16,9.86128e-17
90,90,2268.56,1.221441e-16,8.21724e-17
91,91,2269.07,3.986551e-16,1.23402e-16
92,92,2269.59,3.328811e-16,1.14212e-16
93,93,2270.1,3.883401e-16,1.20555e-16
94,94,2270.62,2.938651e-16,1.07393e-16
95,95,2271.13,2.913341e-16,1.06599e-16
96,96,2271.64,1.135401e-16,7.80292e-17
97,97,2272.16,4.388021e-16,1.25344e-16
98,98,2272.67,4.114591e-16,1.22399e-16
99,99,2273.19,2.650291e-16,1.03497e-16
100,100,2273.7,2.0677110000000003e-16,1.06256e-16
101,101,2274.21,9.492510000000002e-17,8.45084e-17
102,102,2274.73,2.086311e-16,1.07033e-16
103,103,2275.24,3.588671e-16,1.30725e-16
104,104,2275.75,3.940691e-16,1.35288e-16
105,105,2276.27,2.802291e-16,1.18198e-16
106,106,2276.78,2.426071e-16,1.12039e-16
107,107,2277.3,2.429431e-16,1.1217e-16
108,108,2277.81,3.5532409999999998e-16,1.29591e-16
109,109,2278.32,5.054941e-16,1.49783e-16
110,110,2278.84,4.656651e-16,1.44358e-16
111,111,2279.35,2.768531e-16,1.16988e-16
112,112,2279.86,4.1921409999999996e-16,1.36779e-16
113,113,2280.38,2.7091509999999997e-16,1.14853e-16
114,114,2280.89,3.7928109999999997e-16,1.30771e-16
115,115,2281.41,3.0760709999999996e-16,1.20586e-16
116,116,2281.92,2.3597709999999997e-16,1.09493e-16
117,117,2282.43,2.736811e-16,1.15851e-16
118,118,2282.95,5.40831e-17,7.34249e-17
119,119,2283.46,5.4021100000000006e-17,7.33816e-17
120,120,2283.98,3.187771e-16,1.10003e-16
121,121,2284.49,2.904261e-16,1.06331e-16
122,122,2285.0,1.731641e-16,8.8755e-17
123,123,2285.52,2.612301e-16,1.02258e-16
124,124,2286.03,2.607511e-16,1.02101e-16
125,125,2286.54,2.612391e-16,1.02263e-16
126,126,2287.06,1.733521e-16,8.88333e-17
127,127,2287.57,4.103911e-16,1.2213e-16
128,128,2288.08,2.600251e-16,1.01863e-16
129,129,2288.6,4.608361e-16,1.26922e-16
130,130,2289.11,5.142671e-16,1.32306e-16
131,131,2289.63,1.661941e-16,8.59673e-17
132,132,2290.14,3.9260109999999996e-16,1.17395e-16
133,133,2290.65,1.913441e-16,8.93119e-17
134,134,2291.17,3.310041e-16,1.08938e-16
135,135,2291.68,7.81801e-17,6.90774e-17
136,136,2292.19,3.624161e-16,1.13419e-16
137,137,2292.71,2.232691e-16,9.49615e-17
138,138,2293.22,4.2567309999999996e-16,1.21985e-16
139,139,2293.74,1.380671e-16,8.12876e-17
140,140,2294.25,2.790621e-16,1.02774e-16
141,141,2294.76,3.889291e-16,1.16421e-16
142,142,2295.28,2.181981e-16,9.31906e-17
143,143,2295.79,2.184631e-16,9.32839e-17
144,144,2296.3,1.356871e-16,8.02527e-17
145,145,2296.82,4.267731e-16,1.22271e-16
146,146,2297.33,1.119201e-16,7.72941e-17
147,147,2297.84,3.1947209999999996e-16,1.10226e-16
148,148,2298.36,2.3061709999999997e-16,9.75379e-17
149,149,2298.87,1.994251e-16,9.23347e-17
150,150,2299.39,2.269151e-16,9.6244e-17
151,151,2299.9,1.101961e-16,7.64661e-17
152,152,2300.41,3.4083709999999996e-16,1.11771e-16
153,153,2300.93,5.113371000000001e-16,1.31625e-16
154,154,2301.44,2.506081e-16,9.87657e-17
155,155,2301.95,5.014921e-16,1.2931e-16
156,156,2302.47,4.3895409999999997e-16,1.21477e-16
157,157,2302.98,2.964161e-16,1.03319e-16
158,158,2303.49,2.117831e-16,9.09552e-17
159,159,2304.01,2.376751e-16,9.44936e-17
160,160,2304.52,1.269971e-16,7.64708e-17
161,161,2305.03,7.19661e-17,6.57032e-17
162,162,2305.55,1.7683599999999997e-17,5.31344e-17
163,163,2306.06,2.5497009999999996e-16,9.52188e-17
164,164,2306.58,2.267371e-16,9.08807e-17
165,165,2307.09,3.038101e-16,1.01139e-16
166,166,2307.6,2.501181e-16,9.36964e-17
167,167,2308.12,2.2226009999999997e-16,8.94025e-17
168,168,2308.63,2.208791e-16,8.89462e-17
169,169,2309.14,3.726961e-16,1.0836e-16
170,170,2309.66,3.465551e-16,1.05147e-16
171,171,2310.17,2.713131e-16,9.57986e-17
172,172,2310.68,2.993071e-16,9.98482e-17
173,173,2311.2,2.510811e-16,9.40014e-17
174,174,2311.71,2.020221e-16,8.7548e-17
175,175,2312.22,9.91331e-17,7.11419e-17
176,176,2312.74,2.124591e-16,9.11998e-17
177,177,2313.25,2.4709009999999997e-16,9.76133e-17
178,178,2313.76,1.3899410000000002e-16,8.17172e-17
179,179,2314.28,1.4397210000000002e-16,8.38907e-17
180,180,2314.79,1.791871e-16,9.12079e-17
