Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,2226.4,7.55134e-17,3.53639e-17
1,1,2226.91,9.11072e-17,3.85767e-17
2,2,2227.43,4.3867330000000005e-17,2.73393e-17
3,3,2227.94,1.2208200000000004e-17,1.58352e-17
4,4,2228.46,7.98876e-17,3.17219e-17
5,5,2228.97,9.2194e-17,3.41187e-17
6,6,2229.49,3.181177e-17,2.10748e-17
7,7,2230.0,1.9654400000000002e-17,1.71957e-17
8,8,2230.52,6.34759e-17,2.57916e-17
9,9,2231.03,3.4238960000000005e-17,1.94535e-17
10,10,2231.54,2.44722e-17,1.68889e-17
11,11,2232.06,4.3980670000000004e-17,2.18517e-17
12,12,2232.57,8.306290000000001e-17,2.93145e-17
13,13,2233.09,3.422454e-17,1.94579e-17
14,14,2233.6,8.23709e-17,2.88548e-17
15,15,2234.12,7.23602e-17,2.68875e-17
16,16,2234.63,8.163110000000001e-17,2.83629e-17
17,17,2235.14,6.2812e-17,2.51128e-17
18,18,2235.66,6.29919e-17,2.53087e-17
19,19,2236.17,1.49734e-17,1.36323e-17
20,20,2236.69,2.457100000000001e-17,1.674e-17
21,21,2237.2,1.4898300000000003e-17,1.36708e-17
22,22,2237.72,9.19078e-17,3.03833e-17
23,23,2238.23,5.33764e-17,2.33746e-17
24,24,2238.74,5.33434e-17,2.33246e-17
25,25,2239.26,1.5252600000000002e-17,1.34658e-17
26,26,2239.77,1.39523e-16,3.7059e-17
27,27,2240.29,1.5065100000000002e-17,1.35672e-17
28,28,2240.8,3.4224720000000005e-17,1.92781e-17
29,29,2241.31,7.287440000000001e-17,2.7342e-17
30,30,2241.83,7.284690000000001e-17,2.73221e-17
31,31,2242.34,2.4605100000000002e-17,1.66632e-17
32,32,2242.86,5.33879e-17,2.34389e-17
33,33,2243.37,4.379088e-17,2.12763e-17
34,34,2243.89,6.26163e-17,2.49581e-17
35,35,2244.4,3.4366780000000005e-17,1.86675e-17
36,36,2244.91,7.132840000000001e-17,2.60974e-17
37,37,2245.43,3.44383e-17,1.83787e-17
38,38,2245.94,7.106709999999998e-17,2.58887e-17
39,39,2246.46,3.443753000000001e-17,1.8361e-17
40,40,2246.97,7.12884e-17,2.60738e-17
41,41,2247.48,2.50715e-17,1.61043e-17
42,42,2248.0,9.03805e-17,2.95337e-17
43,43,2248.51,6.244070000000001e-17,2.47967e-17
44,44,2249.03,4.369732e-17,2.09759e-17
45,45,2249.54,2.4933700000000002e-17,1.62473e-17
46,46,2250.06,3.4337170000000005e-17,1.86646e-17
47,47,2250.57,4.3636920000000005e-17,2.07232e-17
48,48,2251.08,6.746100000000005e-18,9.21607e-18
49,49,2251.6,1.6095700000000006e-17,1.29576e-17
50,50,2252.11,8.91327e-17,2.88237e-17
