Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,1590.3,0.3046254008356816,1.78054e-14
1,1,1590.66,0.4261260288565701,1.34635e-14
2,2,1591.02,0.0,1.00305e-14
3,3,1591.38,0.1588730893949045,7.99719e-15
4,4,1591.74,0.5598786426111273,7.69103e-15
5,5,1592.1,0.5693219893686321,7.16915e-15
6,6,1592.46,0.3441723620423454,6.15102e-15
7,7,1592.82,0.4420298930744951,5.90097e-15
8,8,1593.18,0.5049161979003588,6.09834e-15
9,9,1593.55,0.7327852096582055,6.26046e-15
10,10,1593.91,0.3311077280759527,4.97654e-15
11,11,1594.27,1.0,6.33144e-15
12,12,1594.63,0.6464427745207066,5.08027e-15
13,13,1594.99,0.5186196496759125,4.46045e-15
14,14,1595.35,0.7284149760488309,5.02063e-15
15,15,1595.71,0.5131762021471477,4.30435e-15
16,16,1596.07,0.4981220555897457,4.15138e-15
17,17,1596.43,0.7535466085072537,4.60472e-15
18,18,1596.79,0.4693439431074258,3.77175e-15
19,19,1597.15,0.4706741237399093,3.83008e-15
20,20,1597.51,0.3647876425643406,3.53133e-15
21,21,1597.87,0.69733999863239,4.4293e-15
22,22,1598.23,0.523593431153435,3.98653e-15
23,23,1598.59,0.4901431311789877,3.75578e-15
24,24,1598.95,0.5880513357590414,3.75396e-15
25,25,1599.31,0.6088261119928596,3.8122e-15
26,26,1599.67,0.7383024361452114,4.02085e-15
27,27,1600.03,0.580835753643061,3.35606e-15
28,28,1600.39,0.4846950049845784,2.33012e-15
29,29,1600.75,0.6076362589389506,2.89319e-15
30,30,1601.11,0.5255232007831366,2.38828e-15
31,31,1601.47,0.6216109725506286,2.67127e-15
32,32,1601.83,0.5153222700885707,2.30391e-15
33,33,1602.19,0.5706086224208855,2.2234e-15
34,34,1602.55,0.6373637518579701,2.30397e-15
35,35,1602.91,0.5739959763475456,2.08962e-15
36,36,1603.27,0.5826543509791008,2.02315e-15
37,37,1603.63,0.6085503730336108,1.97992e-15
38,38,1603.99,0.4464008464785843,1.54505e-15
39,39,1604.35,0.6938241613491832,1.99756e-15
40,40,1604.71,0.6457995299740513,1.84053e-15
41,41,1605.07,0.50168180035054,1.49263e-15
42,42,1605.43,0.5026434460891753,1.36635e-15
43,43,1605.79,0.5814958773757725,1.58257e-15
44,44,1606.15,0.6621369985280198,1.67985e-15
45,45,1606.51,0.6428865927437495,1.64685e-15
46,46,1606.87,0.5353282443847015,1.20756e-15
47,47,1607.23,0.5623086695674393,1.18562e-15
48,48,1607.59,0.5714554609025506,1.16639e-15
49,49,1607.95,0.6268144405215632,1.37705e-15
50,50,1608.31,0.5836205674141735,1.23838e-15
51,51,1608.67,0.6640538118528595,1.44177e-15
52,52,1609.03,0.6323528649629125,1.32239e-15
53,53,1609.39,0.6261283681893923,1.28434e-15
54,54,1609.75,0.6257760286766214,1.24965e-15
55,55,1610.11,0.6360176997520307,1.22629e-15
56,56,1610.47,0.5711661034273026,9.6875e-16
57,57,1610.83,0.5977838960328514,9.87862e-16
58,58,1611.19,0.6396750126863818,1.13754e-15
59,59,1611.55,0.604388264466974,1.02104e-15
60,60,1611.91,0.6558182806263654,1.08845e-15
61,61,1612.27,0.6104805025606697,1.00035e-15
62,62,1612.63,0.586501617738621,8.32761e-16
63,63,1612.99,0.6052011646278481,8.96962e-16
64,64,1613.35,0.6333125312660829,9.08707e-16
65,65,1613.71,0.5965986820558776,7.77656e-16
66,66,1614.07,0.616182532741662,7.94499e-16
67,67,1614.43,0.6095395545190512,8.13569e-16
68,68,1614.79,0.6411280622766387,8.88966e-16
69,69,1615.15,0.6316291833569065,7.59937e-16
70,70,1615.51,0.5990122617029623,6.71011e-16
71,71,1615.87,0.6219305254141518,7.06342e-16
72,72,1616.23,0.5987245597555577,5.73539e-16
73,73,1616.59,0.6097841551589487,6.03477e-16
74,74,1616.95,0.5943967220548699,5.33156e-16
75,75,1617.31,0.6427952148047377,6.6444e-16
76,76,1617.67,0.6527717494970434,6.84178e-16
77,77,1618.03,0.6101883702767971,5.6799e-16
78,78,1618.39,0.6272158700338664,6.07863e-16
79,79,1618.75,0.6168278287032538,5.53237e-16
80,80,1619.11,0.6096180085439632,4.97059e-16
81,81,1619.47,0.6174270937928502,5.54394e-16
82,82,1619.83,0.6191530895388635,5.41662e-16
83,83,1620.19,0.6105511360160082,5.15854e-16
84,84,1620.55,0.620587568425485,5.12709e-16
85,85,1620.91,0.6054498537017242,4.70517e-16
86,86,1621.27,0.6036680378755979,4.79344e-16
87,87,1621.63,0.59139111125507,4.45946e-16
