Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,3235.42,4.833230000000001e-18,1.06057e-17
1,1,3236.18,1.9734380000000002e-17,1.48655e-17
2,2,3236.93,4.9016700000000014e-18,1.04246e-17
3,3,3237.68,1.9584980000000002e-17,1.41628e-17
4,4,3238.44,2.323128e-17,1.09661e-17
5,5,3239.19,1.5903740000000002e-17,9.444120000000001e-18
6,6,3239.94,8.584664000000001e-18,8.13612e-18
7,7,3240.7,3.774538e-17,1.31329e-17
8,8,3241.45,2.9237380000000005e-17,9.70056e-18
9,9,3242.21,7.36102e-18,6.434530000000002e-18
10,10,3242.96,0.0,4.7338500000000004e-18
11,11,3243.71,3.437008e-17,1.04071e-17
12,12,3244.47,3.0681580000000005e-17,8.632840000000001e-18
13,13,3245.22,3.6153980000000004e-17,9.19222e-18
14,14,3245.98,2.323888e-17,7.729650000000001e-18
15,15,3246.73,2.316378e-17,7.68964e-18
16,16,3247.48,3.407628e-17,7.96469e-18
17,17,3248.24,1.513334e-17,5.990060000000001e-18
18,18,3248.99,1.51531e-17,6.031940000000002e-18
19,19,3249.74,2.2456880000000006e-17,6.851240000000002e-18
20,20,3250.5,1.9502480000000006e-17,6.52138e-18
21,21,3251.25,2.962298e-17,7.51306e-18
22,22,3252.01,2.5193580000000002e-17,7.026470000000001e-18
23,23,3252.76,2.9359480000000005e-17,7.28687e-18
24,24,3253.51,2.781498e-17,7.24704e-18
25,25,3254.27,2.0647880000000006e-17,6.509230000000002e-18
26,26,3255.02,2.927368e-17,7.356610000000001e-18
27,27,3255.78,3.4988180000000004e-17,7.926040000000001e-18
28,28,3256.53,2.640598000000001e-17,7.1351e-18
29,29,3257.28,3.629178e-17,8.04338e-18
30,30,3258.04,3.344308e-17,7.76938e-18
31,31,3258.79,4.626838000000001e-17,8.825690000000001e-18
32,32,3259.54,4.770678e-17,8.95737e-18
33,33,3260.3,4.488558e-17,8.769430000000001e-18
34,34,3261.05,5.2050680000000004e-17,9.33511e-18
35,35,3261.8,4.794778000000001e-17,9.04859e-18
36,36,3262.56,5.0970280000000004e-17,9.29504e-18
37,37,3263.31,4.9569480000000005e-17,9.096420000000001e-18
38,38,3264.07,5.649698000000001e-17,9.68638e-18
39,39,3264.82,4.480648000000001e-17,8.751940000000001e-18
40,40,3265.57,4.322908e-17,8.57022e-18
41,41,3266.33,4.333548000000001e-17,8.61644e-18
42,42,3267.08,3.773048000000001e-17,8.15394e-18
43,43,3267.83,4.065448000000001e-17,8.441730000000001e-18
44,44,3268.59,4.340568e-17,8.65407e-18
45,45,3269.34,5.0441380000000004e-17,9.203930000000005e-18
46,46,3270.09,3.8954480000000004e-17,8.24691e-18
47,47,3270.85,2.767878e-17,7.17835e-18
48,48,3271.6,5.349548000000001e-17,9.30337e-18
49,49,3272.36,4.8221880000000004e-17,9.127810000000001e-18
50,50,3273.11,3.9828980000000003e-17,8.45583e-18
