Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,3235.42,1.7140360000000006e-17,8.16426e-18
1,1,3236.18,2.91238e-17,1.66995e-17
2,2,3236.93,1.2182070000000003e-17,6.8496600000000024e-18
3,3,3237.68,2.68569e-17,9.634170000000001e-18
4,4,3238.44,4.874229999999999e-18,3.40194e-18
5,5,3239.19,0.0,1.4083100000000006e-18
6,6,3239.94,1.5665553e-17,9.62417e-18
7,7,3240.7,3.2671600000000004e-17,1.24481e-17
8,8,3241.45,3.62515e-17,1.09469e-17
9,9,3242.21,1.7068480000000002e-17,4.44101e-18
10,10,3242.96,3.6430500000000003e-17,1.10393e-17
11,11,3243.71,2.432778e-17,8.79879e-18
12,12,3244.47,2.005813e-17,6.879430000000001e-18
13,13,3245.22,2.49498e-17,7.350330000000001e-18
14,14,3245.98,2.3179070000000002e-17,4.400620000000001e-18
15,15,3246.73,3.19726e-17,9.221040000000001e-18
16,16,3247.48,1.648962e-17,5.5518600000000015e-18
17,17,3248.24,2.85693e-17,7.310930000000001e-18
18,18,3248.99,2.137316e-17,6.036450000000002e-18
19,19,3249.74,1.4541926e-17,5.35688e-18
20,20,3250.5,1.7307840000000002e-17,6.3486e-18
21,21,3251.25,3.18177e-17,7.98577e-18
22,22,3252.01,1.935949e-17,5.80026e-18
23,23,3252.76,1.5091993e-17,3.306090000000001e-18
24,24,3253.51,3.46066e-17,8.62297e-18
25,25,3254.27,3.18444e-17,8.118950000000001e-18
26,26,3255.02,1.929762e-17,5.7083400000000004e-18
27,27,3255.78,2.69143e-17,6.3837900000000025e-18
28,28,3256.53,2.54045e-17,6.9065000000000025e-18
29,29,3257.28,1.128995e-17,2.86561e-18
30,30,3258.04,2.82033e-17,7.12611e-18
31,31,3258.79,3.05119e-17,7.73573e-18
32,32,3259.54,3.33646e-17,7.990070000000001e-18
33,33,3260.3,5.22255e-17,1.00062e-17
34,34,3261.05,5.11652e-17,1.03033e-17
35,35,3261.8,2.216612e-17,6.0109900000000024e-18
36,36,3262.56,4.92927e-17,9.575810000000001e-18
37,37,3263.31,3.2754100000000004e-17,6.873520000000002e-18
38,38,3264.07,5.04869e-17,9.898160000000001e-18
39,39,3264.82,2.81933e-17,7.112100000000001e-18
40,40,3265.57,1.9240530000000002e-17,5.678070000000002e-18
41,41,3266.33,3.14127e-17,7.80765e-18
42,42,3267.08,1.8862980000000006e-17,3.619300000000001e-18
43,43,3267.83,3.7204e-17,8.307750000000001e-18
44,44,3268.59,1.7362850000000002e-17,5.4955800000000015e-18
45,45,3269.34,2.53317e-17,6.858930000000001e-18
46,46,3270.09,2.71726e-17,7.016090000000001e-18
47,47,3270.85,3.55571e-17,8.410270000000001e-18
48,48,3271.6,3.4895e-17,7.681520000000001e-18
49,49,3272.36,1.8912390000000006e-17,3.62116e-18
50,50,3273.11,2.51821e-17,6.3575e-18
51,51,3273.86,4.09252e-17,8.99968e-18
52,52,3274.62,3.97525e-17,8.906910000000001e-18
53,53,3275.37,2.95844e-17,7.683000000000001e-18
54,54,3276.12,3.0038700000000003e-17,7.211060000000001e-18
55,55,3276.88,2.75276e-17,7.39647e-18
56,56,3277.63,3.25398e-17,8.09981e-18
57,57,3278.38,3.02302e-17,7.61967e-18
58,58,3279.14,2.89217e-17,7.111330000000001e-18
59,59,3279.89,1.4106901e-17,3.155530000000001e-18
60,60,3280.64,2.203849e-17,5.905500000000002e-18
