Unnamed: 0.1,Unnamed: 0,Wavelength (Ang),Flux,Error
0,0,1140.1,0.3722479755897195,7.89989e-15
1,1,1141.83,0.0,4.48284e-15
2,2,1143.56,0.5637770736350716,7.57087e-15
3,3,1145.29,0.4984445944007615,6.34507e-15
4,4,1147.01,0.6416448252030931,6.35953e-15
5,5,1148.74,0.8881162878639701,6.7409e-15
6,6,1150.47,0.3850565270116966,2.18664e-15
7,7,1152.2,0.6040576223447952,4.35709e-15
8,8,1153.92,0.4774400500723702,3.19473e-15
9,9,1155.65,1.0,5.11996e-15
10,10,1157.38,0.4706401830771036,2.37498e-15
11,11,1159.11,0.5730072109428993,2.70185e-15
12,12,1160.84,0.4409677398323097,1.63354e-15
13,13,1162.57,0.455811785262554,1.42603e-15
14,14,1164.29,0.5378462034972421,1.74887e-15
15,15,1166.02,0.7384266322419122,2.50949e-15
16,16,1167.75,0.4773295387865274,1.10699e-15
17,17,1169.48,0.533879565517871,1.30061e-15
18,18,1171.21,0.4635684387591441,4.77903e-16
19,19,1172.94,0.518336886646064,1.06403e-15
20,20,1174.67,0.5339960098579979,1.06989e-15
21,21,1176.4,0.5077853081928309,7.66154e-16
22,22,1178.13,0.5191776525968522,8.42895e-16
23,23,1179.86,0.519395594544198,7.85619e-16
24,24,1181.58,0.5245110250492249,6.7185e-16
25,25,1183.31,0.5414837851582366,7.47361e-16
26,26,1185.04,0.4712977089282687,1.32884e-16
27,27,1186.77,0.5163537795511742,5.70567e-16
28,28,1188.5,0.5127886333111659,5.09412e-16
29,29,1190.23,0.5373156841267979,6.36123e-16
30,30,1191.96,0.517226590514937,4.8804e-16
31,31,1193.69,0.5188353610035338,4.80697e-16
32,32,1195.42,0.5102143397358161,3.80626e-16
33,33,1197.15,0.5380270638553117,5.35339e-16
34,34,1198.88,0.5429795342226396,5.59797e-16
35,35,1200.61,0.5623146735516176,6.26024e-16
36,36,1202.35,0.5222027027996192,4.05386e-16
37,37,1204.08,0.517163576262567,3.70748e-16
38,38,1205.81,0.5138542685391647,3.28883e-16
39,39,1207.54,0.5164380810807286,3.15779e-16
40,40,1209.27,0.5146499171980337,2.98279e-16
41,41,1211.0,0.5362949705955222,4.0093e-16
42,42,1212.73,0.5288891170832845,3.46999e-16
43,43,1214.46,0.5348595626491414,3.59475e-16
44,44,1216.19,0.520583303994054,2.43103e-16
45,45,1217.92,0.5296283691272543,3.08273e-16
46,46,1219.65,0.5245405077651293,2.6594e-16
47,47,1221.39,0.5329953448343309,2.92518e-16
48,48,1223.12,0.5280199898290499,2.61794e-16
49,49,1224.85,0.5314013743822452,2.73194e-16
50,50,1226.58,0.5372043252617716,2.86127e-16
51,51,1228.31,0.5248407463912687,2.2515e-16
52,52,1230.04,0.5096960124659339,1.08932e-16
53,53,1231.78,0.5216630872745766,1.93174e-16
54,54,1233.51,0.5286941738710897,2.22477e-16
55,55,1235.24,0.5211112904067077,1.74357e-16
56,56,1236.97,0.5200994471175788,1.63319e-16
57,57,1238.7,0.5265177209247741,1.88848e-16
58,58,1240.44,0.5259499732686566,1.60454e-16
59,59,1242.17,0.5227688618967519,1.63017e-16
60,60,1243.9,0.5213050470080455,1.48425e-16
61,61,1245.63,0.5344369466285909,2.09766e-16
62,62,1247.37,0.5160089452203054,9.98324e-17
63,63,1249.1,0.5318822125728593,1.88645e-16
64,64,1250.83,0.5265832779146944,1.60402e-16
